AL713999.1	1	-	155169408	0.000700323	2
CD48	1	-	160678745	0.0163399	5
NASP	1	+	45598485,45606227,45615406	0.000226244,0.000238817,0.000286257	2,4,7
PBXIP1	1	-	154944075	0.0021097	1
RPS27	1	+	153991677,153992150	0.1273,0.049202	12,9
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
RPS24	10	+	78040681	0.000737735	2
VIM	10	+	17236570	0.00169924	2
AP002990.1	11	-	62559602	0.00197102	29
ATP5MG	11	+	118409187	0.000892061	2
CORO1B	11	-	67435509	0.000382117	2
EEF1G	11	-	62559600	0.0512821	4
FAU	11	-	65120627	0.0352113	5
FIBP	11	-	65883920	0.00175131	3
PTPRCAP	11	-	67435509	0.00896861	2
RARRES3	11	+	63546321	0.0307692	2
RBM14-RBM4	11	+	66640103	0.023569	7
RPL27A	11	+	8685679	0.00281405	4
RPS25	11	-	119015711,119017216	0.00399998,0.0181945	8,13
AC073610.2	12	-	48921962	0.00921659	2
LDHB	12	-	21635341	0.015	3
NACA	12	-	56712427,56712692	0.00419757,0.00495798	4,4
PEBP1	12	+	118144997	0.0103093	2
RPL41	12	+	56117831	0.117264	36
RPLP0	12	-	120196685	0.00467334	12
SLC38A1	12	-	46183062	0.000338581	2
RPL21	13	+	27256334,27256552	0.0419647,0.0339671	6,7
RPS29	14	-	49583571	0.0210526	2
AC245033.1	15	-	82536787,82538264,82538838	0.00561368,0.000278395,9.76517e-05	11,4,1
GOLGA8B	15	-	34525206	0.00206186	5
RPS17	15	-	82536749,82538226	0.00158111,0.0236029	2,14
KARS	16	-	75627473	0.000444198	4
RPL13	16	+	89562390,89563396	0.201997,0.0291273	25,17
RPS2	16	-	1962051	0.0743243	11
ACTG1	17	-	81509970	0.00973574	7
CCR7	17	-	40553768	0.0020555	2
EIF4A1	17	+	7578710	0.0267857	6
PLSCR3	17	-	7389726	0.000652529	2
RETREG3	17	-	42579512	0.000274156	8
RPL26	17	-	8377515,8379765	0.0675676,0.0317287	10,29
RPL27	17	+	43002777	0.0285264	7
TMEM256-PLSCR3	17	-	7389733	0.000373972	2
MBP	18	-	77012778	0.000495663	2
AC008763.3	19	+	7682693	0.0245098	5
AC010422.8	19	-	12668070	0.000169938	2
AKAP8L	19	-	15380047	0.000127708	3
CATSPERG	19	+	38347711,38370943,38370942	0.000368414,0.000265093,0.000265112	1,7,7
CIRBP	19	+	1274663	0.00568182	2
EEF2	19	-	3976055	0.0160643	7
FOSB	19	+	45475176,45472081	0.00171895,0.00382775	4,4
FTL	19	+	48966783	0.0416667	2
GMFG	19	-	39328352	0.00241741	3
LENG9	19	-	54461795	0.0136054	4
