SAC3D1	11	+	65043364	0.0123967	3
C16orf45	16	+	15591193	0.0222222	2
DPEP2	16	-	67987393	0.000571265	2
GRAPL	17	+	19146466	0.000850702	2
AC008763.3	19	+	7682611	0.0409836	5
CDKN2D	19	-	10566461	0.0033557	2
CLASRP	19	+	45070660	0.00183222	2
JUNB	19	+	12793275	0.00652174	3
LSM14A	19	+	34195371	0.0930233	12
RPL28	19	+	55388316,55403247	0.00990099,0.0172414	3,2
DOCK10	2	-	224765089	1.64745e-05	2
ZAP70	2	+	97739664	0.0120482	2
RNF24	20	-	3927308	0.000592242	3
UBP1	3	-	33388335	0.00100251	2
HLA-A	6	+	29945583	0.015625	2
ACTB	7	-	5527146	0.00105374	1
POLR2J2	7	-	102665367	0.00192308	3
