AL713999.1	1	-	155169408	0.000959507	3
ATP5PB	1	+	111461112	0.0169492	2
BTG2	1	+	203307996	0.00537634	3
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320504	0.029703	6
DDOST	1	-	20651766	0.00490196	3
DHRS3	1	-	12567909	0.00465116	2
ECHDC2	1	-	52895909	0.000138281	3
FCMR	1	-	206904385	0.000467891	4
GNG5	1	-	84498324	0.000803241	2
HIST2H2AA3	1	-	149842187	0.0169492	2
JAK1	1	-	64833228	0.00150038	2
LAMTOR5	1	-	110401248	0.00729927	2
MRPS21	1	+	150308305	0.025974	2
PABPC4	1	-	39560815	0.00226757	2
PMF1	1	+	156220969	0.0157895	3
POLR3GL	1	+	145978544	0.0206186	2
PPIE	1	+	39747601,39753035,39753715,39763837	0.000436489,0.000366454,0.000602859,0.00329761	3,4,8,4
RPL11	1	+	23695225	0.000612182	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991674,153992153	0.545455,0.184783	53,17
SFPQ	1	-	35176377	0.00366972	6
SLC35A3	1	+	99975476	0.0140187	6
SSR2	1	-	156009047	0.000277689	2
TPM3	1	-	154155303,154166920	0.000338343,0.00031142	6,1
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00205973	2
DNAJC9	10	-	73242823	0.00347222	2
GDI2	10	-	5765222	0.00235849	2
PPA1	10	-	70202829	0.00923077	3
RPS24	10	+	78040663	0.0399969	3
AP001931.1	11	+	57742993	0.00513756	3
AP002990.1	11	-	62559602	0.00712441	106
AP003108.2	11	+	61451722	0.00035392	2
ATP5MG	11	+	118409849	0.00135727	3
CCDC73	11	-	32602245	0.00353982	2
CD3G	11	+	118355161	0.000990032	6
CD44	11	+	35186951,35188212	0.0268039,0.00951975	2,13
CORO1B	11	-	67435509	0.0037686	19
ELP4	11	+	31576900	0.000141024	5
FAU	11	-	65120627,65120955	0.083871,0.0223881	13,12
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315224	0.18018	20
IFITM2	11	+	315224	0.18018	20
LDHA	11	+	18398891	0.043956	4
MTA2	11	-	62593213	0.00605144	4
NAP1L4	11	-	2944430	0.000200642	2
PTPRCAP	11	-	67435509	0.0627803	14
RASGRP2	11	-	64726910	0.000141483	2
RPL27A	11	+	8684779,8685717	0.00590032,0.0519275	5,15
RPS25	11	-	119015711,119015873	0.0222781,0.0705432	5,45
SELENOH	11	+	57742993	0.00513756	3
SIGIRR	11	-	405715	0.0106952	1
ARHGDIB	12	-	14942016	0.00792079	4
ATP5MC2	12	-	53665165	0.0135135	2
BIN2	12	-	51281037	0.00433839	2
CD69	12	-	9752485	0.0100503	10
EID3	12	+	104305204	0.0149254	4
GAPDH	12	+	6538208	0.0526316	2
GLIPR1	12	+	75498993	0.00116865	3
MYL6	12	+	56161457	0.0053286	6
NACA	12	-	56712427,56712720	0.0448285,0.0224279	18,15
PEBP1	12	+	118144915	0.0178571	2
RDH5	12	+	55724619	0.027027	2
RPL41	12	+	56117829	0.304918	93
RPLP0	12	-	120196685,120197320	0.0441767,0.00194553	11,4
STAT6	12	-	57095407	0.000251974	3
TUBA1A	12	-	49184795	0.0280374	6
RPL21	13	+	27256333,27256529	0.120068,0.083466	18,16
DEGS2	14	-	100143956	0.00209205	5
EAPP	14	-	34538687	0.0147265	8
ERH	14	-	69380122	0.00722892	3
IRF9	14	+	24166430	0.0299145	7
RPS29	14	-	49583571	0.0631579	6
SNW1	14	-	77717598	5.35189e-05	2
SNX6	14	-	34561093	6.16827e-05	3
AC245033.1	15	-	82536787,82538258	0.000266722,8.99307e-05	4,1
ATP10A	15	-	25841481	9.59877e-05	2
CASC4	15	+	44415755	0.000851426	2
RPLP1	15	+	69455538	0.0645161	2
RPS17	15	-	82536749,82538220	0.00144519,0.00199235	3,2
SERF2	15	+	43793941	0.0178571	3
SPG11	15	-	44600563	0.000561798	2
WDR61	15	-	78283234	0.0101523	1
AC093525.2	16	+	2520218	0.00958084	8
AC120114.4	16	+	29819915	0.0124224	1
ALDOA	16	+	30070364	0.0282258	7
ATP6V0C	16	+	2520218	0.0169133	8
COX4I1	16	+	85806803	0.013289	4
IL4R	16	+	27364776	0.00021208	5
MT1G	16	-	56666730	0.0042735	2
PAGR1	16	+	29819915	0.0124224	1
RPL13	16	+	89562388,89563017,89563279	0.0749465,0.35017,0.0190306	9,91,8
RPS2	16	-	1962051,1962463	0.224599,0.0219257	42,27
SULT1A4	16	+	29461918	0.0392157	2
TRADD	16	-	67154179	0.00639659	3
AC005702.1	17	+	59973038	0.000584771	3
AC120057.2	17	-	7240426	0.0112062	13
ACTG1	17	-	81509970	0.0125174	9
C17orf49	17	+	7017454	0.00920414	4
C1QBP	17	-	5432776	0.00840336	2
CCR7	17	-	40553768	0.00308325	3
CD7	17	-	82314867	0.00314218	4
COPS3	17	-	17246819	6.82058e-05	2
CRLF3	17	-	30782683	0.000220913	3
EIF1	17	+	41691364	0.0130112	7
EIF4A1	17	+	7578598	0.0357143	4
JPT1	17	-	75135247	0.000144311	2
NCOR1	17	-	16126131	6.08494e-05	2
