AC093423.3	1	+	89878708,89933250	8.21585e-05,0.000161915	2,14
AC114490.2	1	-	34981532	0.00209293	4
ADAR	1	-	154582056	0.000255004	2
AL713999.1	1	-	155169408,155169721	0.00895235,0.00609501	11,6
ARHGAP30	1	-	161046947	0.00391134	3
BTG2	1	+	203307843	0.00246914	1
C1orf56	1	+	151050771	0.00958466	3
CCT3	1	-	156308967	7.10757e-05	2
CD247	1	-	167430639	0.00288184	3
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320522	0.122727	27
CDC42SE1	1	-	151050970	0.000610501	2
ECHDC2	1	-	52895909	0.00013039	2
ENO1	1	-	8860999	0.000567295	4
EPB41	1	+	29005936,29015594,29058862,29067398,29067793,29067566	8.37641e-05,0.000169286,0.000128259,8.24677e-05,0.000199481,0.00277008	1,4,7,6,15,5
FCMR	1	-	206904385	0.000233945	2
GALE	1	-	23795598	0.00571429	2
GNG5	1	-	84498324	0.00170027	5
GUK1	1	+	228148939	0.0206612	5
HMGCL	1	-	23801884	5.52792e-05	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.0117398	15
LMNA	1	+	156139236	0.0153846	2
LRIF1	1	-	110947184	0.00258398	2
LY9	1	+	160827952	0.0147059	2
LYPLA2	1	+	23795539	0.00250627	3
MARCKSL1	1	-	32333831	0.00261438	1
MCL1	1	-	150574550	0.00177054	5
MINOS1	1	+	19626570	0.0118343	2
NUDC	1	+	26946275	0.0212766	2
NUDT4B	1	+	148749629	0.0305344	4
OMA1	1	-	58480718	0.00813008	2
PABPC4	1	-	39560815	0.00226757	2
PARK7	1	+	7985115	0.0327869	2
PNRC2	1	+	23963461	0.00315657	5
POLR3GL	1	+	145978580	0.0225564	3
PRG4	1	+	186313876	0.0204082	1
PTP4A2	1	-	31906420	0.000269869	2
RABGAP1L	1	+	174958184	0.0107527	3
RABGGTB	1	+	75794758	0.0185185	2
RPS27	1	+	153991675,153992138	0.444921,0.0658588	44,11
RSRP1	1	-	25242236	0.00070028	2
RUNX3	1	-	24899510	0.00076599	2
S100A10	1	-	151982914	0.0282258	7
S100A11	1	-	152032505	0.0128205	2
S100A4	1	-	153543612	0.0273973	4
SDF4	1	-	1216907	0.00116754	2
SELL	1	-	169690666	0.00447628	5
SRSF10	1	-	23964803	0.000288413	4
SSR2	1	-	156009047	0.000785469	8
TAGLN2	1	-	159918106	0.00721501	5
TMEM35B	1	-	34981534	0.0122249	5
TNFRSF14	1	+	2561626	0.0392157	4
TXNIP	1	-	145992434	0.00776326	10
UBXN11	1	-	26281327	0.0061792	6
UFC1	1	+	161158620	0.015625	2
UQCRH	1	+	46316550,46316687	0.000448037,0.00219589	2,14
AC068896.1	10	-	124617079	2.09309e-05	3
ADAM8	10	-	133262402	0.00155521	2
AL360181.3	10	+	133420392	0.00881057	2
BORCS7	10	+	102863099	0.0114286	2
BORCS7-ASMT	10	+	102863099	0.0114286	2
