CD52	1	+	26320448	0.0410959	6
CD55	1	+	207360964	0.000581058	4
CNR2	1	-	23870525	0.000498878	2
MINOS1	1	+	19626515	0.0438596	5
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991674,153992126	0.12169,0.0308771	12,4
SSR2	1	-	156009047	0.000196367	2
SSU72	1	-	1541672	0.00763359	3
TSNAX-DISC1	1	+	231561184	0.0363636	2
RPS24	10	+	78040223	0.00266312	6
AP002990.1	11	-	62559602	0.00278002	41
ATP5MG	11	+	118409004	0.00194269	4
C11orf98	11	-	62662815	0.0299145	7
CORO1B	11	-	67435509	0.000573175	3
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120945	0.0344828,0.00732601	5,4
IFITM1	11	+	315243	0.0461538	6
IFITM2	11	+	315243	0.0461538	6
LBHD1	11	-	62662816	0.0288462	9
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119017352	0.001839,0.011822	4,6
TMX2-CTNND1	11	+	57791568	0.00161943	4
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719648	0.0111524	6
BLOC1S1-RDH5	12	+	55719648	0.0111524	6
HNRNPA1	12	+	54286703	0.00161165	3
NACA	12	-	56712427	0.00621197	6
PTPN6	12	+	6961181	0.00630915	2
RPL41	12	+	56117812	0.104167	30
RPLP0	12	-	120196685	0.00407314	10
TCTN2	12	+	123708253	0.00740741	4
WASHC3	12	-	102012926	0.000159451	6
RPL21	13	+	27256331,27256505	0.0866308,0.040773	13,9
GPR65	14	+	88011994	0.0150376	2
IGHA2	14	-	105583730,105584096	0.0109321,0.0416791	4,2
NIN	14	-	50719762	0.00020143	2
PPP2R5C	14	+	101921326	0.0208333	2
RPS29	14	-	49583571	0.0210526	2
AC245033.1	15	-	82536787,82538264	0.00043068,0.000165101	7,2
C15orf40	15	-	82990560	0.00040492	8
NGRN	15	+	90272063	0.0618182	17
RPS17	15	-	82536749,82538226	0.00208597,0.00408621	5,4
SERF2	15	+	43794006	0.00858369	2
RPL13	16	+	89562389,89563258	0.0787675,0.0264589	9,11
RPS2	16	-	1962051,1962424	0.0743243,0.0113959	11,14
AC026954.2	17	-	7312660	0.00377868	10
ACTG1	17	-	81509970	0.00973574	7
C1QBP	17	-	5432776	0.00840336	2
DDX5	17	-	64499615	0.00127705	5
GOSR2	17	+	46938691	0.0428571	3
GPATCH8	17	-	44397415,44446503,44451310	7.70799e-05,0.000159733,7.87722e-05	5,4,1
GPS2	17	-	7312659	0.019802	6
PFN1	17	-	4945651	0.0120968	3
RPL26	17	-	8377515,8379723	0.0660377,0.0188285	7,18
TTC25	17	+	41957177,41965651	0.000366944,0.000424333	4,3
USP36	17	-	78787380	0.000362352	4
MYL12B	18	+	3278164	0.0132159	3
AES	19	-	3054022	0.00118906	1
CD79A	19	+	41881113	0.0225564	3
FOSB	19	+	45472080	0.00191571	2
JUNB	19	+	12793315	0.034	17
JUND	19	-	18279759	0.0132159	9
PEAK3	19	-	2274621	0.00378072	4
RPL18	19	-	48615327,48615866	0.00381255,0.00927461	5,8
RPL28	19	+	55388045,55388313,55403250	0.0536212,0.0400385,0.0252101	1,4,3
RPL36	19	+	5691725	0.0139535	3
