ADIPOR1	1	-	202940822	0.000676819	2
AL713999.1	1	-	155169408,155172525	0.00301329,0.00208689	12,1
APH1A	1	-	150265398	0.00267142	3
ARHGAP30	1	-	161046947	0.00260756	2
ASH1L	1	-	155335267	0.00083612	2
ATP1A1	1	+	116404576	0.0151515	2
ATP5IF1	1	+	28238046	0.00314465	5
ATP6V0B	1	+	43978194	0.0366849	7
BATF3	1	-	212686417	0.0080429	3
C1orf162	1	+	111478423	0.0333333	10
C1orf43	1	-	154206695	0.000508971	4
CCT3	1	-	156308967	7.10757e-05	2
CD1C	1	+	158293627	0.0397351	6
CD48	1	-	160678745	0.0359477	11
CD52	1	+	26320478	0.0738636	13
COL9A2	1	-	40300486	0.00431655	3
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.000790202	13
DAP3	1	+	155738327	0.0151515	2
DDOST	1	-	20651766	0.00326797	2
DHX9	1	+	182887545	0.018018	2
DPYD	1	-	97077742	0.00243309	3
DUSP23	1	+	159782413	0.0266667	2
EFHD2	1	+	15429159	0.00911162	4
EIF3I	1	+	32231306	0.0181818	2
ELOVL1	1	-	43363396	0.00385356	2
ENO1	1	-	8860999	0.00113459	8
FCER1A	1	+	159308177	0.0489796	12
FCER1G	1	+	161219126,161219244	0.0642303,0.0340394	11,10
GBP1	1	-	89052318	0.0019305	2
GNB1	1	-	1785284	0.00342131	7
GNG5	1	-	84498324	0.00186598	6
GSTM2	1	+	109674945	0.0183486	2
H3F3A	1	+	226072001	0.0689655	36
HSPA6	1	+	161526701	0.027027	3
ILF2	1	-	153661787	0.00493421	3
KHDRBS1	1	+	32042865	0.00829876	2
LAMTOR5	1	-	110401248	0.0291971	8
LAPTM5	1	-	30732468	0.0147167	20
LRRC8C	1	+	89715086	0.0192308	2
LSM10	1	-	36393429	0.00914634	3
MCL1	1	-	150574550	0.00779037	22
MEF2D	1	-	156463726	0.000192357	3
MINOS1	1	+	19626603	0.049505	10
MMACHC	1	+	45513379	0.00120077	5
MNDA	1	+	158849466	0.0655022	15
MTMR11	1	-	149928651	0.00419287	2
MYCL	1	-	39895425	0.00102775	2
NASP	1	+	45603802,45606699,45615096	0.000156459,0.000433667,0.000588242	2,7,15
NBPF14	1	-	148531384	6.52926e-05	3
NCF2	1	-	183555562	0.00900901	5
NDUFS2	1	+	161214235	0.00680272	2
NUCKS1	1	-	205712818	0.000732467	4
NUDC	1	+	26946323	0.0140845	2
PABPC4	1	-	39560815	0.00340136	3
PARK7	1	+	7985169	0.0347826	4
PEF1	1	-	31629861	0.00266312	2
PGD	1	+	10419873	0.016129	2
PHC2	1	-	33323622	0.00161031	2
POLR3C	1	+	145842447	0.0212766	2
PPP1R15B	1	-	204403386	0.000739372	2
PRDX1	1	-	45511035	0.0170648	5
PRDX6	1	+	173488159	0.00675676	2
PTP4A2	1	-	31906420	0.000539738	4
PYCR2	1	-	225919876	0.00346021	2
RBBP4	1	+	32686209	0.000172702	3
RCC2	1	-	17406759	0.000858369	2
RNPEP	1	+	202005858	0.0211268	3
RPF1	1	+	84497539	0.0289855	2
RPL5	1	+	92841913	0.0416667	2
RPS27	1	+	153991673,153992130	0.363193,0.114394	35,17
RSRP1	1	-	25242236	0.00140056	4
S100A10	1	-	151982914	0.141129	35
S100A11	1	-	152032505	0.0705128	11
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.130137	19
S100A6	1	-	153534598	0.0824742	8
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153361024	0.731183	136
SETDB1	1	+	150964465	0.019802	2
SF3B4	1	-	149923316	0.00888889	2
SNAPIN	1	+	153661830	0.00378072	2
SORT1	1	-	109309567	0.000670391	3
SSR2	1	-	156009047	0.000490918	5
SSU72	1	-	1541672	0.00763359	3
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.018759	13
TOR3A	1	+	179095996	0.00257069	1
TRAPPC3	1	-	36136569	0.00315956	2
TXNIP	1	-	145992434	0.00706215	10
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.0144181	14
UFC1	1	+	161158765	0.014652	4
UQCRH	1	+	46316690	0.0601557	13
WASF2	1	-	27404225	0.000504668	2
WRAP73	1	-	3630766	0.00316957	2
YIPF1	1	-	53851718	0.000239664	2
ZBED6	1	+	203838590,203846833,203853812,203854999	6.09724e-05,8.4044e-05,0.000339503,0.000239139	2,3,10,11
ZC3H11A	1	+	203846832,203853811,203854998	9.83305e-05,0.000152474,0.000461699	1,3,9
ACTR1A	10	-	102479228	0.00468386	7
ADAM8	10	-	133262402	0.00155521	2
AL360181.3	10	+	133420404	0.0125523	3
ALOX5	10	+	45445904	0.0138249	3
ATP5F1C	10	+	7807730	0.00266667	2
DDX50	10	+	68946735	0.0183486	2
ECHS1	10	-	133362479	0.00515464	2
GDI2	10	-	5765222	0.00589623	5
JMJD1C	10	-	63167220	0.00242718	1
LARP4B	10	-	806913	0.000332668	2
LIPA	10	-	89213568	0.00238284	3
MRPL43	10	-	100986273	0.00573066	4
MTG1	10	+	133420404	0.0125523	3
