AC114490.2	1	-	34981532	0.00167434	4
AL713999.1	1	-	155169408,155169676	0.0014751,0.000280997	5,1
ARHGAP30	1	-	161046947	0.00391134	3
BGLAP	1	+	156243282	0.0166667	2
C1orf162	1	+	111478278	0.0129032	2
CD48	1	-	160678745	0.0196078	6
CD55	1	+	207359708	0.000533049	3
CDA	1	+	20618792	0.0223214	5
CSF3R	1	-	36466042	0.00955414	3
CTSS	1	-	150730195	0.000846933	14
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219216	0.040293	11
GNG5	1	-	84498324	0.00141403	4
HDGF	1	-	156742106	0.00149031	2
HECTD3	1	-	45002539	0.00210084	2
IGSF8	1	-	160091339	0.00414079	2
IVNS1ABP	1	-	185296387	0.00242866	4
JUN	1	-	58780787	0.002331	3
KCNAB2	1	+	6101030	0.000814332	2
LAPTM5	1	-	30732468	0.00662252	9
MCL1	1	-	150574550	0.00495638	13
MNDA	1	+	158849413	0.0227273	4
NCF2	1	-	183555562	0.0108108	6
PGD	1	+	10419970	0.00904977	2
PMF1-BGLAP	1	+	156243094	0.02	6
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991677,153992116	0.119564,0.0386291	12,5
RSRP1	1	-	25242236	0.00174283	4
S100A10	1	-	151982914	0.0322581	8
S100A11	1	-	152032505	0.0384615	6
S100A12	1	-	153373705	0.0330579	4
S100A4	1	-	153543612	0.123288	18
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.126761	9
S100A9	1	+	153361027	0.719577	136
SEC22B	1	-	120150897	0.000325733	2
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281293	0.0580645	18
SLC35E2B	1	-	1659528	0.00522648	3
SSU72	1	-	1541672	0.00508906	2
TMEM35B	1	-	34981534	0.00977995	4
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0113285	11
UQCRH	1	+	46316715	0.0424223	9
AL157392.5	10	+	13630486	0.0136986	2
ASB13	10	-	5638867	0.000543331	2
ATP5F1C	10	+	7807694	0.00280112	2
CCAR1	10	+	68759627,68759791	6.69317e-05,0.000337043	1,5
CUEDC2	10	-	102423244	0.0110497	2
GDI2	10	-	5765222	0.00235849	2
OGA	10	-	101797045	0.00339367	3
PKD2L1	10	-	100288153	0.00826446	2
PRPF18	10	+	13630486	0.0136986	2
RPS24	10	+	78040694	0.0357105	3
RRP12	10	-	97356700	0.00763359	3
SRGN	10	+	69104694	0.0191638	11
VIM	10	+	17236380,17237575	0.0108548,0.124233	1,48
VSIR	10	-	71747558	0.000541419	2
AHNAK	11	-	62515904	0.00476758	4
AP002990.1	11	-	62559602	0.00513293	76
AP003419.1	11	-	67351571	0.00945626	4
APLP2	11	+	130124896	0.000478927	2
ATP5MG	11	+	118409106	0.0410923	8
CASP1	11	-	105025442	0.00245399	2
CAT	11	+	34472062	0.00953895	6
CD44	11	+	35189538	0.00148313	3
COX8A	11	+	63976428	0.0185185	2
CTSD	11	-	1752751	0.00372093	8
EEF1G	11	-	62559600	0.0641026	5
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120973	0.0693642,0.023166	11,12
FIBP	11	-	65883920	0.00291886	5
FTH1	11	-	61964284,61964477,61964844	0.036369,0.349864,0.00720461	18,112,5
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.0285714	7
LAMTOR1	11	-	72097291	0.00271739	3
MAP3K11	11	-	65597754	0.00022205	2
MPEG1	11	-	59208509	0.00181406	4
MS4A6A	11	-	60172013	0.000799105	5
NDUFV1	11	+	67612403	0.00743494	2
PICALM	11	-	85957683	7.72308e-05	5
PNPLA2	11	+	825118	0.0117188	3
PSMA1	11	-	14504875	0.0126582	4
RHOG	11	-	3826977	0.0153846	9
RNH1	11	-	494511	0.00111373	6
RPL27A	11	+	8685704	0.00560391	9
RPS25	11	-	119015711,119015812,119017324	0.0039446,0.00175529,0.0138808	8,3,8
SF1	11	-	64764605	0.00036846	2
SPI1	11	-	47354859	0.00801282	5
TAF10	11	-	6610841	0.025	2
TALDO1	11	+	765023	0.00817475	4
UCP2	11	-	73974666	0.00486618	2
AC078927.1	12	-	66123916,66137944	7.12868e-05,0.0562667	1,7
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0242424	8
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719614	0.015873	8
BLOC1S1-RDH5	12	+	55719614	0.015873	8
CDK2AP1	12	-	123260970	0.00261438	1
CKAP4	12	-	106237876	0.00174368	2
DYNLL1	12	+	120498320	0.010582	2
GAPDH	12	+	6538302	0.0757576	10
GLIPR1	12	+	75499212	0.00939513	4
LDHB	12	-	21635341	0.015	3
LYZ	12	+	69354232	0.137216	139
MAP3K12	12	-	53479668	0.00264375	4
MYL6	12	+	56161524	0.00251467	3
NACA	12	-	56712427,56712749	0.0219528,0.00168191	19,1
NDUFA12	12	-	94971331	0.000191395	4
PFDN5	12	+	53298148,53299448	0.00357638,0.0491755	5,16
RPL41	12	+	56117823	0.173913	52
RPLP0	12	-	120196685	0.00185805	5
SELPLG	12	-	108622276	0.00252525	2
SLC2A3	12	-	7919229	0.0032066	7
TMBIM4	12	-	66135845,66137943	0.000115633,0.000131615	3,4
TPI1	12	+	6870627	0.0122951	3
TUBA1B	12	-	49127781	0.00121261	3
UBC	12	-	124911603	0.0181818	2
ZNF385A	12	-	54369132	0.00161031	4
ALOX5AP	13	+	30764204	0.0204082	1
DHRS12	13	-	51767992	0.00176835	2
KCTD12	13	-	76880165	0.000599401	3
LCP1	13	-	46125919	0.00598444	10
RPL21	13	+	27256331,27256526	0.0456909,0.05701	6,13
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90408259	0.0010507	4
CHURC1	14	+	64932249	0.02	1
HSP90AA1	14	-	102080737,102082664	0.00205339,0.000733945	2,2
MIA2	14	+	39350367	0.0194175	1
NFKBIA	14	-	35401510	0.00547046	10
OXA1L	14	+	22771711	0.0196078	3
PPP2R5C	14	+	101856998	0.00012144	4
PSMC1	14	+	90272493	0.0232558	2
RPS29	14	-	49583571	0.0315789	3
RTRAF	14	+	52004538	0.0310078	4
SIPA1L1	14	+	71739247	0.0232558	2
SLC7A7	14	-	22773221	0.00131579	3
AC245033.1	15	-	82536787,82538295,82538869	0.00681764,0.000306012,0.000147968	15,4,2
DMXL2	15	-	51447710	0.00157109	2
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000263296	2
PPIB	15	-	64155811	0.014218	3
RPS17	15	-	82536749,82538257	0.00367869,0.024206	5,14
SEC11A	15	-	84669537	0.000412839	4
SERF2	15	+	43793999	0.039823	9
ZNF106	15	-	42412822	0.000446329	2
AC093525.2	16	+	2520092,2520216	0.0227931,0.03102	16,25
AC106886.5	16	+	30740171	0.00913242	4
ALDOA	16	+	30070374	0.0775194	20
ATP6V0C	16	+	2520093,2520217	0.0765119,0.0325717	26,15
CES1	16	-	55802850	0.00168966	6
CKLF	16	+	66565936	0.00105597	2
CKLF-CMTM1	16	+	66565936	0.00105597	2
COTL1	16	-	84565593	0.0127898	16
COX4I1	16	+	85806803,85806941	0.013289,0.0339479	4,9
MEFV	16	-	3242027	0.000576037	3
METTL9	16	+	21613051	0.00632911	2
PYCARD	16	-	31201484	0.02	2
RNF166	16	-	88696494	0.00163934	3
RPL13	16	+	89562388,89563025,89563245	0.0730223,0.0846439,0.0181767	8,22,8
RPS2	16	-	1962051,1962460	0.130435,0.0109375	24,14
SEPHS2	16	-	30443630	0.00266667	2
SLX1A	16	+	30197449	0.0114943	2
SLX1B	16	+	29458177	0.0377358	2
SRCAP	16	+	30739908	0.0228571	4
TMEM265	16	+	30744185	0.0206612	5
AC046185.1	17	-	63702844	7.82381e-05	2
AC087289.3	17	-	75898644	0.000365464	4
AC120057.2	17	-	7240426	0.0408321	50
AC134669.1	17	-	31305212	0.000451213	4
ACTG1	17	-	81509970	0.043114	30
ARHGDIA	17	-	81867720	0.00514766	5
BECN1	17	-	42810133	0.000953743	2
C17orf49	17	+	7017401	0.0367616	7
CCDC57	17	-	82101469	0.00943396	2
CCL3	17	-	36088255	0.0144231	6
CD300E	17	-	74609886	0.000723066	2
CSNK1D	17	-	82239022	0.00419727	4
DCXR	17	-	82035967	0.00906344	3
EIF1	17	+	41691413	0.0221465	13
EIF4A1	17	+	7578572,7578702	0.0969052,0.00771367	8,1
EVI2A	17	-	31317559	0.00403769	3
GRB2	17	-	75318075	0.00130095	3
H3F3B	17	-	75776433	0.000876424	2
JMJD6	17	-	76712831	0.000236602	2
