AL713999.1	1	-	155169408	0.000700362	2
ATP5PB	1	+	111461150	0.0128205	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320522	0.0227273	5
DDOST	1	-	20651766	0.00326797	2
EPB41	1	+	29047415,29092570	3.92207e-05,0.000134881	2,13
LAPTM5	1	-	30732468	0.00220751	3
NIPAL3	1	+	24454187	0.0222222	2
RPS27	1	+	153991676,153992143	0.110884,0.0375802	11,6
SRM	1	-	11054588	0.00699301	2
TAGLN2	1	-	159918106	0.002886	2
UBXN11	1	-	26281327	0.00205973	2
UFC1	1	+	161158583	0.021978	2
UQCRH	1	+	46316559	0.00172618	10
ZNF124	1	-	247155900	0.00300752	2
ATP5F1C	10	+	7807709	0.00274348	1
NDUFB8	10	-	100523936	0.000367715	2
RPS24	10	+	78040640	0.000749064	2
AP002990.1	11	-	62559602	0.00464684	69
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118409025	0.0294106	4
CCDC73	11	-	32602245	0.00353982	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120924	0.0483871,0.0123457	6,7
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315224	0.0810811	9
IFITM2	11	+	315224	0.0810811	9
PSMA1	11	-	14504875	0.00632911	2
AC023055.1	12	-	55757274	0.0126582	3
DDX47	12	+	12829732	0.0168539	3
EEA1	12	-	92864859	0.000690179	10
LDHB	12	-	21635341	0.015	3
NAA25	12	-	112029549	5.89657e-05	4
PCBP2	12	+	53481159	9.42685e-05	2
RILPL2	12	-	123410682	0.000768049	4
RPL41	12	+	56117824	0.16	48
RPLP0	12	-	120196685	0.00369873	9
TUBA1B	12	-	49127781	0.000808407	2
RPL21	13	+	27256334,27256568	0.0556677,0.0299363	8,6
ACIN1	14	-	23058563	0.000180979	2
CALM1	14	+	90404808	0.0280899	10
HSP90AA1	14	-	102082664	0.00107456	2
IRF9	14	+	24166378	0.0274725	5
NFKBIA	14	-	35401510	0.00109409	2
NUBPL	14	+	31827079	0.00452489	2
PNN	14	+	39182047	0.0108696	2
AC245033.1	15	-	82536787,82538264	0.000515059,0.000352716	8,5
INO80	15	-	40978879	0.000104652	8
NGRN	15	+	90274171	0.00293747	7
RPS17	15	-	82536749,82538226	0.00136746,0.0100532	3,11
SERF2	15	+	43793980	0.0193237	4
RPL13	16	+	89562392,89563220	0.12666,0.0593584	16,23
RPS2	16	-	1962051,1962586	0.115385,0.000866551	18,1
STUB1	16	+	682614	0.016	2
AC120057.2	17	-	7240426	0.00320256	3
DDX5	17	-	64499615	0.00194384	9
NME1-NME2	17	+	51171738	0.0735931	17
NME2	17	+	51171738	0.0735931	17
RAB5C	17	-	42124975	0.00371747	3
RPL19	17	+	39204729	0.0246914	2
RPL26	17	-	8377515,8379742	0.096,0.0448235	12,41
MALT1	18	+	58710735	0.00565771	4
MBP	18	-	77012778	0.000495663	2
MYL12A	18	+	3256112	0.0154639	3
BAX	19	+	48961624,48961567	0.00379507,0.00273973	2,2
CD320	19	-	8302126	0.000559441	2
COX6B1	19	+	35658669	0.0338983	2
EEF2	19	-	3976055	0.00803213	3
EMC10	19	+	50476866	0.015544	3
FTL	19	+	48966823	0.0227273	2
GPX4	19	+	1106716	0.0176471	3
JUND	19	-	18279759	0.0277534	18
KHSRP	19	-	6413347	0.0026178	2
MAP4K1	19	-	38587640	0.0118343	2
RASAL3	19	-	15451623	0.00194175	2
RPL28	19	+	55388379	0.0362961	8
RPL36	19	+	5691622	0.0542773	4
RPS11	19	+	49498048,49499689,49499688	0.0386758,0.0187311,0.0263625	4,3,7
RPS15	19	+	1440469	0.0974787	11
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869190	0.00724857	24
RPS28	19	+	8322330	0.067765	5
RPS9	19	+	54207628,54207522	0.0560162,0.0104493	12,10
TMEM259	19	-	1009647	0.00138504	2
UBA52	19	+	18575241	0.021978	2
UBE2M	19	-	58555711	0.00530504	2
CAMKMT	2	+	44631634	0.0275229	3
CLK1	2	-	200853008	0.000297752	2
CXCR4	2	-	136114348	0.00384615	2
IGKC	2	-	88857160	0.065	13
NFE2L2	2	-	177227594	0.0160772	5
PTMA	2	+	231711983,231712950	0.0179804,0.00304726	10,3
RNF149	2	-	101271221	0.000960615	2
RPL37A	2	+	216500028,216501463,216501462	0.0848924,0.0542961,0.000817674	5,6,1
SLC35F6	2	+	26781231	0.000561408	3
SRSF7	2	-	38743598	0.000338009	1
TMSB10	2	+	84906608	0.0540541	10
ZFP36L2	2	-	43222401	0.0010433	2
RNF114	20	+	49953892	0.000157803	1
RPS21	20	+	62388363,62388519	0.0430516,0.0305304	8,5
TMEM230	20	-	5099839	0.00315457	3
BRWD1	21	-	39236717	0.000214592	6
AP000350.4	22	+	23895137	0.0694444	5
CHKB-CPT1B	22	-	50568994	0.000294522	3
CPT1B	22	-	50568860	0.0104822	5
IGLC1	22	+	22895833	0.115108	16
IGLL5	22	+	22895707,22895925	0.251152,0.0551251	71,27
MIF	22	+	23895139	0.0606061	2
POLR2F	22	+	37967171	0.000258264	2
RAC2	22	-	37225260	0.00212465	3
RANGAP1	22	-	41245610	0.00201613	2
SMDT1	22	+	42083162	0.00249792	3
AP2M1	3	+	184183769	0.0130719	2
GPX1	3	-	49357170	0.00863132	6
HCLS1	3	-	121631398	0.00447427	2
ITPR1	3	+	4675744	0.0253165	4
LSM3	3	+	14198215	0.020202	2
PODXL2	3	+	127672666	0.0107527	2
RNF168	3	-	196468782	0.000106689	2
RPL29	3	-	51993521	0.0194386	27
RPL35A	3	+	197954138,197955755	0.0217891,0.000635676	23,1
RPSA	3	+	39412438	0.0285714	2
WDR6	3	+	49009233	0.00904977	2
ANKRD37	4	+	185400088	0.028169	2
KLHL5	4	+	39076006	0.000161005	2
PLAC8	4	-	83090047	0.000431127	2
RPS3A	4	+	151104285,151104600,151104132	0.148991,0.0686681,0.096703	6,12,14
BTF3	5	+	73505375	0.0218978	3
CD74	5	-	150401636	0.0179641	30
DUSP1	5	-	172768089	0.00744048	5
GRK6	5	+	177442900	0.0018018	2
HNRNPH1	5	-	179614177	0.00154381	12
NPM1	5	+	171410759	0.0103093	2
RACK1	5	-	181236908	0.000295334	2
SQSTM1	5	+	179821872	0.0327869	10
AKIRIN2	6	-	87675071	0.00571429	3
AL365205.1	6	+	41790140	0.00312551	19
HLA-A	6	+	29945681	0.0353982	8
HLA-B	6	-	31353871	0.0278232	17
HLA-C	6	-	31268748	0.00479749	12
HLA-DMB	6	-	32934628	0.00584795	2
HLA-DPB1	6	+	33087178	0.00416823	3
HLA-DRB1	6	-	32578768	0.0279503	9
HSP90AB1	6	+	44253743	0.0137931	2
LTB	6	-	31580554	0.00498008	5
RNASET2	6	-	166929503	0.000116097	2
RPS10	6	-	34417453	0.00274348	1
TOMM6	6	+	41789895	0.0335097	19
AC027644.4	7	+	66774304	0.0255906	13
ACTB	7	-	5527146	0.00632244	12
CRCP	7	+	66154413	0.0109204	7
HNRNPA2B1	7	-	26173056	0.000296369	6
NUB1	7	+	151355778	0.00101283	3
RABGEF1	7	+	66774304	0.0255906	13
RNF216	7	-	5751472	0.00127492	11
ZC3HC1	7	-	130018285	6.21369e-05	1
BLK	8	+	11564384	0.0108696	3
RPL30	8	-	98041720,98042601	0.00491198,0.00521748	15,12
RPL8	8	-	144789765	0.0177911	20
RPS20	8	-	56072946	0.00541272	4
YWHAZ	8	-	100916524	0.000479846	2
C9orf16	9	+	128163776	0.0124224	1
DENND4C	9	+	19373544	0.000168085	8
HNRNPK	9	-	83968082	0.00377644	5
NFIL3	9	-	91409044	0.00996678	3
RPL35	9	-	124857879	0.0135823	8
IL2RG	X	-	71107403	0.00218103	2
RPL36A	X	+	101395423,101395765	0.00380587,0.0220008	7,10
RPL39	X	-	119786505	0.0730337	13
SAT1	X	+	23784137	0.0215054	2
TMSB4X	X	+	12977072	0.0842912	22
