ADAR	1	-	154582056	0.000382507	3
AL591806.3	1	-	160997956	0.000298724	7
ARID4B	1	-	235131633	0.000405474	12
ATP5IF1	1	+	28237954	0.00133511	2
BTG2	1	+	203307672	0.0128205	3
C1orf162	1	+	111478222	0.020202	2
CD48	1	-	160678745	0.0228758	6
CD52	1	+	26320414	0.0357143	4
CDK11A	1	-	1702729	0.0021815	5
ENO1	1	-	8860999	0.000283648	2
GUK1	1	+	228148853	0.0192308	3
ID3	1	-	23557917	0.00191939	2
JAK1	1	-	64833228	0.00300075	4
LAPTM5	1	-	30732468	0.00147167	2
LSM10	1	-	36393429	0.00609756	2
MCL1	1	-	150574550	0.000708215	2
RPS27	1	+	153991676,153992155	0.316832,0.0978261	32,9
SARS	1	+	109238053	0.0121212	2
SSR2	1	-	156009047	0.000294551	3
TPM3	1	-	154155303	0.000238203	4
TRAF3IP3	1	+	209782231	0.00235571	1
UBXN11	1	-	26281327	0.00514933	5
YBX1	1	+	42701227	0.00943396	2
ECD	10	-	73133655,73142219	0.000520948,0.000227077	9,2
NUDT13	10	+	73131828	0.000396904	2
PDCD4	10	+	110898378	0.0137931	4
RPS24	10	+	78040700	0.0010989	3
AP001931.1	11	+	57742245,57743033	0.06109,0.0459875	1,9
AP002990.1	11	-	62559602	0.00404906	60
ATP5MG	11	+	118409133	0.00182815	4
CORO1B	11	-	67435509	0.00361192	18
COX8A	11	+	63976442	0.0163934	2
DNAJC4	11	+	64234125	0.00961538	2
FAU	11	-	65120627,65120933	0.075188,0.016129	10,9
FXYD6-FXYD2	11	-	117820162	0.0386963	15
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315194	0.0493827	4
IFITM2	11	+	315194	0.0493827	4
PTPRCAP	11	-	67435509	0.058296	13
RPS25	11	-	119015711,119017218	0.00532527,0.0364224	11,26
RRM1	11	+	4106231	0.0235294	4
SELENOH	11	+	57742245,57743033	0.06109,0.0459875	1,9
TMEM123	11	-	102396331	0.00118343	3
AC078927.1	12	-	66123916	0.000211715	3
COX6A1	12	+	120440623	0.0232558	2
EMG1	12	+	6983238	0.016129	3
ETFRF1	12	+	25209402	0.0143885	2
GAPDH	12	+	6538266	0.0208333	2
KLRC4-KLRK1	12	-	10372352	0.000141643	5
KLRK1	12	-	10372352	0.0065703	5
LDHB	12	-	21635341	0.01	2
NACA	12	-	56712427,56712747	0.00912261,0.00832834	10,6
PHB2	12	-	6965351	0.00182315	2
PTPN6	12	+	6961162	0.0134228	4
RDH5	12	+	55724657	0.0178571	2
RPL41	12	+	56117826	0.274834	83
RPLP0	12	-	120196685	0.00395238	10
RXYLT1	12	+	63785161	0.00116144	3
TMBIM4	12	-	66135845	8.96245e-05	3
TUBA1A	12	-	49184795	0.0140187	3
RPL21	13	+	27256332,27256552	0.120441,0.0334282	18,8
SAP18	13	+	21147422	0.0119048	3
TPT1	13	-	45333470,45337110,45337306	0.00137355,0.0752547,0.100775	5,27,17
CHURC1	14	+	64932617	0.00478469	2
DAD1	14	-	22564904	0.000195065	2
NEDD8	14	-	24216851	0.00234926	3
NFKBIA	14	-	35401510	0.00218818	4
RPS29	14	-	49583571	0.0315789	3
SYNJ2BP-COX16	14	-	70359581	0.000123985	2
AC245033.1	15	-	82536787,82538255	0.0444508,0.000322138	6,4
IDH2	15	-	90083044	0.000350816	2
RPS17	15	-	82536749,82538217,82538791	0.0446979,0.0446725,0.00243636	5,4,1
SERF2	15	+	43793968	0.025641	5
SNRPA1	15	-	101281509	0.000466636	2
ALDOA	16	+	30070382	0.0864662	23
E4F1	16	+	2235665	0.00464037	2
FAM173A	16	+	722467	0.011236	3
NAE1	16	-	66802874	0.010582	2
NPRL3	16	-	85385	0.000100972	4
PSMB10	16	-	67934501	0.031746	4
