ADIPOR1	1	-	202940822	0.000676819	2
AKR7A2	1	-	19303964	0.00647249	2
APH1A	1	-	150265398	0.00178094	2
CD48	1	-	160678745	0.0261438	8
CDK11A	1	-	1702729	0.0017452	4
CTSS	1	-	150730195	0.00022636	4
ENO1	1	-	8860999	0.000850943	6
FCER1G	1	+	161219123	0.0277778	5
JUN	1	-	58780787	0.00543901	7
PARK7	1	+	7985228	0.0114943	2
RPS27	1	+	153992145	0.0122807	7
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.084507	6
S100A9	1	+	153360995	0.197452	31
SH3BGRL3	1	+	26281261	0.0215827	6
TMEM56-RWDD3	1	+	95247167	0.026936	8
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.0030896	3
PTPRE	10	+	128085855	0.000120054	1
RPS24	10	+	78040694	0.0232551	1
SRGN	10	+	69104725	0.00991736	6
VIM	10	+	17236692	0.00296466	3
ACCS	11	+	44083899	0.0186916	1
AP002990.1	11	-	62559602	0.000899627	13
ATP5MG	11	+	118409027	0.00190443	3
C11orf98	11	-	62662815	0.00854701	2
CAT	11	+	34471584	0.013245	2
CCDC88B	11	+	64357185	0.021978	2
CD44	11	+	35176858	0.0175439	2
COX8A	11	+	63976420	0.02	2
CTSD	11	-	1752751	0.00186047	4
EIF4G2	11	-	10797049	0.00522193	4
FAU	11	-	65120627,65120971	0.0877193,0.0134615	15,7
HSPA8	11	-	123057488	0.00816327	2
LBHD1	11	-	62662816	0.00961538	3
LMO2	11	-	33858575	0.000642364	4
LSP1	11	+	1892220	0.00134529	6
MS4A6A	11	-	60172013	0.000799105	5
NDUFV1	11	+	67612314	0.0166667	3
PPP1CA	11	-	67398182	0.00568182	2
RHOG	11	-	3826977	0.0034188	2
SPI1	11	-	47354859	0.00480769	3
TMEM123	11	-	102396331	0.000788955	2
ANAPC5	12	-	121308356	0.000201045	2
ARPC3	12	-	110434824	0.0212121	7
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719596	0.00823045	4
BLOC1S1-RDH5	12	+	55719596	0.00823045	4
BTG1	12	-	92140277	0.000526039	2
CHD4	12	-	6570081	9.9965e-05	2
COX6A1	12	+	120440635	0.0306122	3
DDIT3	12	-	57516587	0.00904977	2
GLIPR1	12	+	75498855	0.00121926	3
LYZ	12	+	69354137	0.0953856	82
MYL6	12	+	56161547	0.0024446	2
NACA	12	-	56712427,56712731	0.00602665,0.00390955	6,3
ORAI1	12	+	121641747	0.0192308	2
RPL41	12	+	56117797	0.120879	33
RPLP0	12	-	120196685	0.000743218	2
RPL21	13	+	27256334,27256537	0.037831,0.0292068	5,5
UBL3	13	-	29764370	0.000693481	2
DICER1	14	-	95086227	0.000455996	2
MAX	14	-	65075123	0.000746547	2
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00164114	3
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.00131579	3
AC245033.1	15	-	82536787,82538213,82538787	0.00037216,0.000307475,0.000115362	6,4,1
PIAS1	15	+	68187784	0.0103627	2
PSMA4	15	+	78548953	0.0136986	2
RPS17	15	-	82536749,82538175,82538749	0.000735639,0.00605622,0.00667378	1,7,3
SERF2	15	+	43793914	0.0212766	3
SPG21	15	-	64963020	0.000280978	2
ALDOA	16	+	30070372	0.0585938	15
COTL1	16	-	84565593	0.00719424	9
COX4I1	16	+	85806805	0.00990099	3
CYBA	16	-	88643282	0.0285714	2
RPL13	16	+	89562391,89563063	0.0376544,0.0826717	4,25
RPS2	16	-	1962051,1962451	0.0571429,0.00310318	10,4
AC120057.2	17	-	7240426	0.0160128	20
ACTG1	17	-	81509970	0.0125174	9
DDX5	17	-	64499615	0.000863931	4
EIF1	17	+	41691210	0.015625	6
EIF4A1	17	+	7578645	0.0314465	5
EVI2B	17	-	31303765	0.00804829	4
GRB2	17	-	75318075	0.000867303	2
NME1-NME2	17	+	51171625	0.0508475	6
NME2	17	+	51171625	0.0508475	6
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.016129	4
RPL26	17	-	8377515,8379783	0.0783133,0.0457585	13,40
SRSF2	17	-	76734114	0.000977517	2
TIAF1	17	-	29073520	0.00906344	3
TRPV2	17	+	16436869	0.00103842	2
MYL12A	18	+	3256128	0.0190476	4
MYL12B	18	+	3278105	0.0178571	3
SNRPD1	18	+	21623996	0.0512821	4
AC008763.3	19	+	7682826	0.0534125	18
AD000671.2	19	-	35739251	0.00312439	16
ADGRE5	19	+	14408611	0.00612245	3
AES	19	-	3052909	0.00211416	2
AP2S1	19	-	46838135	0.00643087	2
COX6B1	19	+	35658686	0.0394737	3
EEF2	19	-	3976055	0.00401606	1
ETHE1	19	-	43506718	9.85076e-05	2
FTL	19	+	48966878	0.153846	22
GMFG	19	-	39328352	0.0016116	2
ICAM3	19	-	10333775	0.0246914	2
IFI30	19	+	18178114	0.108374	22
JUNB	19	+	12793005	0.0315789	6
JUND	19	-	18279759	0.0190896	13
MYDGF	19	-	4657544	0.00434783	2
NDUFA13	19	+	19527769,19528165	0.0352599,0.0310962	5,6
RAB3D	19	-	11322045	0.000596659	2
RPL18	19	-	48615327	0.00697969	9
RPL28	19	+	55388049,55388303	0.123738,0.0984064	4,9
RPL36	19	+	5691636	0.0276954	2
RPS11	19	+	49499597	0.0373056	7
RPS15	19	+	1440440	0.0247934	3
RPS16	19	-	39433206	0.029316	9
RPS28	19	+	8322090,8322395	0.109499,0.0238122	1,3
RPS9	19	+	54207562,54207522	0.0591203,0.0383142	10,10
SGTA	19	-	2754713	0.00114112	3
TRAPPC5	19	+	7682946	0.015873	2
TYROBP	19	-	35904400,35907215	0.0238496,0.00331233	12,1
UBA52	19	+	18575207	0.0350877	2
UBL5	19	+	9830025	0.05	2
COPS9	2	-	240130825	0.0177778	4
DBI	2	+	119372529	0.014218	3
PCBP1	2	+	70089039	0.0444444	10
POLE4	2	+	74969535	0.0176991	2
PTMA	2	+	231712441,231712878	0.00411912,0.00259306	4,3
RPL37A	2	+	216501345	0.00216294	3
SP110	2	-	230176472	0.0104167	2
TMSB10	2	+	84906663	0.0833333	20
ZFP36L2	2	-	43222401	0.0010433	2
CD93	20	-	23079348	0.000434688	2
CTSZ	20	-	58995184	0.0150862	7
FKBP1A	20	-	1368977	0.000957243	3
RPN2	20	+	37241490	0.0114286	2
RPS21	20	+	62388485	0.00828729	6
TGIF2-RAB5IF	20	+	36612112	0.0327869	2
CHKB	22	-	50578948	0.012931	3
TSPO	22	+	43163176	0.0216216	4
CNBP	3	-	129169483	0.00206398	1
GPX1	3	-	49357170	0.0246609	20
HCLS1	3	-	121631398	0.00671141	3
NUP210	3	-	13316234	0.00138313	2
RPL29	3	-	51993521	0.00972898	14
RPL35A	3	+	197955787	0.00223614	10
WDR6	3	+	49015953	0.000288143	2
CCNI	4	-	77047157	0.00188501	2
LSM6	4	+	146189785	0.0155039	2
RPS3A	4	+	151104582,151104158	0.081761,0.0054816	13,7
BTF3	5	+	73505366	0.046875	6
CAMLG	5	+	134750889	0.0238095	3
DUSP1	5	-	172768089	0.0357143	24
PRELID1	5	+	177306522	0.0033557	2
RAB24	5	-	177301450	0.0239561	6
RACK1	5	-	181236908	0.000674314	4
RNF44	5	-	176526696	0.000370233	2
TAF9	5	-	69364742	0.01	2
UBE2B	5	+	134390483	0.0153846	2
ATP6V1G2-DDX39B	6	-	31530218	0.000586463	6
CLIC1	6	-	31730580	0.0153257	4
CUTA	6	-	33416441	0.0020979	3
DDX39B	6	-	31530218	0.00787658	6
GTPBP2	6	-	43605315	0.000133923	2
HEBP2	6	+	138413017	0.00348432	3
HLA-A	6	+	29945807	0.0284091	10
HLA-B	6	-	31353871	0.0229133	14
HLA-C	6	-	31268748	0.00474308	12
HLA-DMA	6	-	32948612	0.0199203	5
RPS10	6	-	34417453	0.00274348	1
AC004922.1	7	+	99394653	0.0199637	11
AC105052.3	7	-	102637048	6.87711e-05	2
ACTB	7	-	5527146,5527280	0.015374,0.00329939	29,5
ARPC1B	7	+	99394704	0.0493498	12
BRI3	7	+	98291428	0.027027	5
FGL2	7	-	77193370	0.000687758	2
NCF1	7	+	74789255	0.0210526	2
RAC1	7	+	6402615	0.00591716	1
SLC12A9	7	+	100866702	0.0206186	2
UPK3BL1	7	-	102637024	0.004	2
CEBPD	8	-	47736908	0.00995025	4
EEF1D	8	-	143579696	0.00643087	6
EIF4EBP1	8	+	38060037	0.0196078	2
RPL30	8	-	98041720,98042642	0.0466153,0.00153133	20,3
RPL8	8	-	144789765	0.00570912	8
ANP32B	9	+	98015573	0.0211268	3
ANXA1	9	+	73170332	0.0133333	3
DPP7	9	-	137110541	0.000877193	3
FCN1	9	-	134909584	0.00938967	2
NINJ1	9	-	93121488	0.000584966	2
RPL35	9	-	124857879	0.00848896	5
SEC61B	9	+	99230486	0.0322581	2
PGK1	X	+	78125951	0.0165289	2
RPL36A	X	+	101395411	0.00120265	4
RPL39	X	-	119786505	0.0674157	12
SLC25A5	X	+	119471153	0.0210526	2
TSC22D3	X	-	107713220	0.00154083	2
