AL713999.1	1	-	155169408,155169655	0.00414809,0.00418874	5,4
CD52	1	+	26320483	0.0331492	6
FCMR	1	-	206904385	0.000233945	2
RPL11	1	+	23695149	0.000626763	2
RPS27	1	+	153991673,153992136	0.0590946,0.0264014	5,3
SCNM1	1	+	151169131	0.0652174	3
AL360181.3	10	+	133420323	0.0126582	2
MTG1	10	+	133420323	0.0126582	2
PDCD4	10	+	110898360	0.0183824	5
ANAPC15	11	-	72109582	0.00671141	2
AP002990.1	11	-	62559602,62560043	0.0016518,8.57105e-05	24,1
ATP5MG	11	+	118407045	0.02	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627	0.00694444	6
RPS25	11	-	119015711,119017188	0.00136696,0.00930283	3,6
UEVLD	11	-	18529608	0.000135615	5
CD69	12	-	9752485	0.00301508	3
RPL41	12	+	56117759	0.0765957	18
RPL21	13	+	27256480	0.0035524	4
IGHD	14	-	105836764	0.00518135	2
IGHM	14	-	105851704	0.0268199	7
SERF2	15	+	43793844	0.028169	2
ALDOA	16	+	30070243	0.023622	3
ATP6V0C	16	+	2519835	0.0444444	4
RPL13	16	+	89562392,89563051	0.0743844,0.0535857	9,13
RPS2	16	-	1962051	0.00414446	7
AC026954.2	17	-	7312660	0.00104239	3
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7578533	0.0425532	2
GPS2	17	-	7312659	0.00990099	3
RPL19	17	+	39204721	0.0273973	2
RPL26	17	-	8377515	0.00347661	11
TTC19	17	+	16003882,16003791	0.00241946,0.0047392	4,3
ATP8B1	18	-	57646425	0.000335909	3
CD79A	19	+	41881168	0.0319149	5
CDC37	19	-	10391133	0.0167866	7
FTL	19	+	48966845	0.0181818	2
JUND	19	-	18279759	0.00881057	6
RPL18	19	-	48615327	0.00627963	8
RPL28	19	+	55388048,55388534	0.0795383,0.00617299	2,3
RPS11	19	+	49499577	0.0554034	9
RPS16	19	-	39433206	0.00651466	2
RPS28	19	+	8322301	0.00884956	2
RPS9	19	+	54207605,54207521	0.0239182,0.0041841	4,3
IGKC	2	-	88857160,88857263	0.029186,0.0944619	5,9
RPL37A	2	+	216501397	0.00138985	2
TMSB10	2	+	84906573	0.0333333	5
RPS21	20	+	62388334	0.0034904	2
CHCHD10	22	-	23765833	0.00571429	2
CHKB	22	-	50578948	0.0258621	6
IGLL5	22	+	22895513	0.0333333	3
TNFRSF13C	22	-	41922022	0.000598086	2
RPL29	3	-	51993521	0.00486449	7
KLHL5	4	+	39063653	0.0289855	2
RPS3A	4	+	151104284,151104591,151104049	0.0790886,0.00977504,0.00342466	3,3,4
BTF3	5	+	73505419	0.0165746	3
CD74	5	-	150401636	0.0107784	18
DUSP1	5	-	172768089	0.00297619	2
HINT1	5	-	131159026	0.000833797	3
RACK1	5	-	181236908	0.00087233	5
ABHD16A	6	-	31686948	0.000462321	7
AL662899.1	6	-	31686961	0.000278441	7
HLA-B	6	-	31353871	0.00654664	4
HLA-C	6	-	31268748	0.00355731	9
HLA-DMA	6	-	32948612	0.00796813	2
HLA-DOB	6	-	32812762	0.000828844	2
HLA-DPB1	6	+	33086699	0.0302669	5
HLA-DRB1	6	-	32578904	0.0536353	9
HLA-DRB5	6	-	32517342	0.0151515	6
NCR3	6	-	31588894	0.00668896	2
PSMB8	6	-	32840716	0.00826446	2
RPS10	6	-	34417453	0.00274348	1
Z84488.2	6	+	116463465	0.03	3
ZNF322	6	-	26634382	0.000675219	2
ACTB	7	-	5527146	0.00368809	7
CHCHD2	7	-	56101568	0.0070922	2
INTS10	8	+	19845903	0.0310881	6
PLPP5	8	-	38263129	0.00152207	2
RPL30	8	-	98041720,98042560	0.00137055,0.00150949	4,3
RPL8	8	-	144789765	0.00127796	2
RPS20	8	-	56072946	0.0067659	5
RABL6	9	+	136839692	0.00584795	2
RPL36A	X	+	101395407	0.00150512	5
RPL39	X	-	119786505	0.011236	2
TMSB4X	X	+	12977015	0.0392157	8
