CREB3L4	1	+	153974165	0.02	2
ELK4	1	-	205597555	0.000263296	5
HIST2H2AA4	1	+	149851598	0.0326087	3
HP1BP3	1	-	20775654	0.0267559	8
JTB	1	-	153974268	0.00487805	2
NBPF14	1	-	148531384	4.35284e-05	2
SDCCAG8	1	+	243305234	0.0222222	2
RBM14-RBM4	11	+	66639998	0.0208333	4
SDHD	11	+	112095793	0.00148494	7
AC006064.6	12	-	6556885	0.000181637	4
BTG1	12	-	92140277	0.000526039	2
NOP2	12	-	6556862	0.00343348	4
RPL41	12	+	56117696	0.0116279	2
SLC2A3	12	-	7919229	0.00091617	2
RGCC	13	+	41470594	0.0183486	2
AL928654.3	14	+	105488621	0.0363636	4
CRIP1	14	+	105488621	0.0363636	4
FOS	14	+	75280307	0.0338983	2
NFKBIA	14	-	35401510	0.00109409	2
APH1B	15	+	63278064	0.037037	12
RPL13	16	+	89562891	0.00400546	4
RPS2	16	-	1962051	0.00528833	8
SPG7	16	+	89513415	0.0137931	6
AKAP10	17	-	19936001	0.000523149	1
CCR7	17	-	40553768	0.0020555	2
DDX5	17	-	64499615	0.000647948	3
FLCN	17	-	17212211	0.002079	3
NME1-NME2	17	+	51171620	0.0353982	4
NME2	17	+	51171620	0.0353982	4
SLC39A11	17	-	72712738,72798731,72823697	5.33262e-05,0.000177283,1.61336e-05	5,3,2
SRSF2	17	-	76734114	0.00146628	3
MYL12A	18	+	3256029	0.018018	2
ARHGEF1	19	+	41907236	0.00444444	2
BTBD2	19	-	1993018	0.000144418	3
EEF2	19	-	3976055	0.00401606	1
GADD45B	19	+	2478257	0.00168067	2
JUND	19	-	18279759	0.00293686	2
MKNK2	19	-	2037464	0.000818331	5
ASNSD1	2	+	189670785	0.0508475	3
COPS8	2	+	237087660	0.013245	2
RPS21	20	+	62388495	0.0027248	2
WDR4	21	-	42843093	0.000287563	2
PRSS12	4	-	118280037	0.00368809	7
AC008695.1	5	-	131425890	0.00363636	5
SQSTM1	5	+	179821936	0.0406504	15
EEF1A1	6	-	73515749	0.00184672	4
HLA-A	6	+	29945664	0.0143541	3
HLA-B	6	-	31353871	0.00327332	2
HLA-C	6	-	31268748	0.00118577	3
KCTD20	6	+	36480492	0.0140845	11
AC004922.1	7	+	99394584	0.00829876	4
ACTB	7	-	5527146	0.00210748	3
ARPC1B	7	+	99394584	0.00829876	4
H2AFV	7	-	44834924	0.00357143	2
ZC3HAV1	7	-	139060337	0.00432277	3
EEF1D	8	-	143579696	0.00214362	2
NSD3	8	-	38269696	0.000336474	2
POLR2K	8	+	100152100	0.0149254	2
RPL8	8	-	144789765	0.00380463	5
DDX3X	X	+	41338322,41337883	0.00653595,0.0231214	4,4
TSC22D3	X	-	107713220	0.00847458	11
