BCAS2	1	-	114567556	0.0034904	2
CDC14A	1	+	100393310	0.000789889	2
CDC42SE1	1	-	151050970	0.000610501	2
COPA	1	-	160288685	0.000244488	11
ETV3	1	-	157133144	0.00213904	2
LMNA	1	+	156139192	0.0232558	2
LY9	1	+	160828043	0.0220264	5
MCL1	1	-	150574550	0.000708215	2
MINOS1-NBL1	1	+	19614131,19614325	0.000203259,0.000692465	2,9
RPS27	1	+	153991675,153992111	0.210041,0.0613743	21,8
SARS	1	+	109237981	0.0215054	2
SELL	1	-	169690666	0.00179051	2
SSR2	1	-	156009047	0.000196367	2
TAGLN2	1	-	159918106	0.002886	2
YTHDF2	1	+	28769023	0.028169	2
PDCD4	10	+	110898210,110898649	0.00884505,0.0159018	1,8
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00312784	46
AP003419.1	11	-	67351571	0.0378251	16
CFL1	11	-	65854674	0.0075643	5
CORO1B	11	-	67435509	0.00133741	7
DEAF1	11	-	686920,690400	0.00258336,0.00376595	12,4
FAU	11	-	65120627,65120909	0.0550459,0.00687285	6,4
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315170	0.0877193	5
IFITM2	11	+	315170	0.0877193	5
PTPRCAP	11	-	67435509	0.0224215	5
RPL27A	11	+	8684769,8685708	0.00364695,0.0516001	3,12
RPS25	11	-	119015711	0.0320694	25
TAF1D	11	-	93737088	0.00152788	2
TMEM123	11	-	102396331	0.000788955	2
ARHGDIB	12	-	14942016	0.00990099	5
ARID2	12	+	45904575	0.0325581	7
BICDL1	12	+	120000946	0.0061674	7
BTG1	12	-	92140277	0.000526039	2
CD69	12	-	9752485	0.00502513	5
ETNK1	12	+	22626042	0.028436	6
GAPDH	12	+	6538221	0.0392157	2
HNRNPA1	12	+	54284776	0.00641774	2
LDHB	12	-	21635341	0.02	4
MYL6	12	+	56161587	0.00159236	2
NACA	12	-	56712427,56712689	0.00409875,0.0166491	4,14
PHB2	12	-	6965351	0.0036349	3
RPL41	12	+	56117760,56117943	0.213543,0.0109879	50,4
RPLP0	12	-	120196685	0.00294718	7
SLC2A3	12	-	7931350,7931729	0.00463649,0.00403831	8,5
ERCC5	13	+	102853738	0.00123916	2
N4BP2L1	13	-	32424921	0.00220507	2
NUP58	13	+	25303869	0.00348432	3
RPL21	13	+	27256333,27256552	0.109388,0.0505192	16,12
CALM1	14	+	90404795	0.0651292	6
ELMSAN1	14	-	73715121	0.000478583	2
PABPN1	14	+	23325371	0.00186567	2
AC245033.1	15	-	82536787	0.0476242	5
RPS17	15	-	82536749	0.00593259	6
SERF2	15	+	43793881	0.037037	4
SRP14	15	-	40035738	0.003367	2
AC106886.5	16	+	30739858,30740085	0.0675599,0.00441766	8,1
ALDOA	16	+	30070293	0.0338983	6
COTL1	16	-	84565593	0.00319744	4
IL32	16	+	3069430	0.0266667	2
LAT	16	+	28990395	0.00522193	2
NME3	16	-	1770285	0.00222965	2
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562389,89562972,89563170	0.0307942,0.15355,0.0303488	3,33,10
RPS2	16	-	1962051	0.0301368	50
SOCS1	16	-	11254404	0.00684932	3
SRCAP	16	+	30739908	0.0514286	9
ACTG1	17	-	81509970	0.0125174	9
C17orf49	17	+	7017443	0.151503	34
DDX5	17	-	64499615	0.0012959	6
EIF4A1	17	+	7578533	0.0425532	2
PFN1	17	-	4945651	0.00806452	2
PLSCR3	17	-	7389726	0.00130506	4
RNASEK-C17orf49	17	+	7017444	0.121951	15
RPL19	17	+	39204726	0.025641	2
RPL26	17	-	8377515,8379783	0.114458,0.0368296	19,32
RPL27	17	+	43002781,43002885	0.0614885,0.00992174	12,6
TMEM101	17	-	44011187	0.0027027	2
TMEM256-PLSCR3	17	-	7389733	0.000747943	4
SEC11C	18	+	59158643	0.0013412	3
BTBD2	19	-	1993018	0.000288836	6
CIRBP	19	+	1274682	0.00269542	1
EEF2	19	-	3976055	0.0220884	11
FOSB	19	+	45475178	0.00294194	6
GMFG	19	-	39328352	0.00241741	3
GPX4	19	+	1106739	0.0207254	4
JUNB	19	+	12793273	0.0567686	26
JUND	19	-	18279759	0.0190896	13
KLF2	19	+	16327455	0.0159817	7
MKNK2	19	-	2037464	0.000490998	2
MOB3A	19	-	2071037	0.000848536	2
RPL18	19	-	48615327,48615872	0.025641,0.0928514	3,21
RPL28	19	+	55388049,55388451	0.174478,0.0287091	6,5
RPS11	19	+	49499650	0.0351989	8
RPS15	19	+	1440439	0.0416667	5
RPS16	19	-	39433206	0.0781759	23
RPS19	19	+	41869192	0.00454976	24
RPS28	19	+	8322089,8322390	0.148688,0.0655762	2,8
RPS9	19	+	54207610,54207519	0.0654048,0.0115304	13,11
SNRPD2	19	-	45687453	0.00816327	2
TGFB1	19	-	41330322	0.00411523	3
ZNF331	19	+	53578483	0.00376648	2
CCDC142	2	-	74471985	0.00741656	6
COPS8	2	+	237087691	0.0384615	7
CXCR4	2	-	136114348	0.00961538	5
DUSP2	2	-	96143165	0.0182648	12
MRPL53	2	-	74471957	0.0114943	2
NMI	2	-	151270464	0.00877193	2
NR4A2	2	-	156324431	0.00113058	1
OST4	2	-	27070471	0.0022805	2
PPP1CB	2	+	28802940	0.00109981	4
PTMA	2	+	231711890,231712649	0.00272604,0.00136192	1,1
RPL31	2	+	101006396	0.002849	6
RPL37A	2	+	216500030,216501466	0.0833333,0.0390625	6,5
TMSB10	2	+	84906657	0.034188	8
TRAPPC12	2	+	3463303	0.0159236	5
WBP1	2	+	74460774	0.0215054	2
ZFP36L2	2	-	43222401	0.00206848	3
