AHDC1	1	-	27534034	0.000226091	3
AKR7A2	1	-	19303964	0.00647249	2
AL713999.1	1	-	155169408	0.00145636	5
ATP1A1	1	+	116404676	0.012931	3
ATP5PB	1	+	111461110	0.0172414	2
C1orf74	1	-	209779207	0.000552944	2
CAPZB	1	-	19338775	0.000752634	3
CD247	1	-	167430639	0.00288184	3
CD52	1	+	26320461	0.0377358	6
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148858	0.0124224	1
HIST3H2A	1	-	228456978	0.0044843	2
LCK	1	+	32285901	0.0324324	6
MCL1	1	-	150574550	0.000708215	2
PARK7	1	+	7985104	0.04	2
PTPN7	1	-	202147012	0.000233291	2
RPS27	1	+	153991674,153992143	0.203382,0.0486248	20,10
S100A10	1	-	151982914	0.0241935	6
S100A4	1	-	153543612	0.0342466	5
S100A6	1	-	153534598	0.0206186	2
SELL	1	-	169690666	0.00447628	5
SH3BGRL3	1	+	26281372	0.0205656	7
SSR2	1	-	156009047	0.000392734	4
TXNIP	1	-	145992434	0.00282486	4
UBXN11	1	-	26281327	0.00411946	4
YIPF1	1	-	53851718	0.000239664	2
BUB3	10	+	123170467	0.000301568	1
DDX21	10	+	68985073	0.000884564	2
KIF5B	10	-	32009009	0.000306796	2
LIPA	10	-	89213568	0.00158856	1
NDUFB8	10	-	100523936	0.000367715	2
RGS10	10	-	119499827	0.00701754	2
SRGN	10	+	69104557	0.0114416	5
AP002990.1	11	-	62559602	0.00226073	33
ATP5MG	11	+	118409002	0.00192791	3
C11orf98	11	-	62662815	0.0213675	5
CARD17	11	-	105092468	0.000435161	3
CORO1B	11	-	67435509	0.00821551	43
COX8A	11	+	63976416	0.03125	3
CTSD	11	-	1752751	0.00186047	4
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120974	0.0517241,0.0154739	9,8
HSPA8	11	-	123057488	0.0204082	5
LBHD1	11	-	62662816	0.0192308	6
LDHA	11	+	18398960	0.05625	9
NUDT22	11	+	64229886	0.00511509	2
PTPRCAP	11	-	67435509	0.130045	28
RAD9A	11	+	67392991	0.0405405	9
RPL27A	11	+	8685659	0.0155866	14
RPS25	11	-	119015711,119017323	0.00311501,0.00989843	6,6
SSSCA1	11	+	65573666	0.00714286	1
UCP2	11	-	73974666	0.00729927	3
AC073610.2	12	-	48921962	0.0184332	4
AC078927.1	12	-	66123916	0.000243313	3
APOLD1	12	+	12726413	0.0777778	7
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0212121	7
BIN2	12	-	51281037	0.00650759	3
BLOC1S1	12	+	55719590	0.0104167	5
BLOC1S1-RDH5	12	+	55719590	0.0104167	5
CD27	12	+	6451609	0.0276498	6
CD69	12	-	9752485	0.00904523	9
CLEC2D	12	+	9681481	0.00386847	2
FKBP11	12	-	48921958	0.00149421	4
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161555	0.0354918	5
NACA	12	-	56712427,56712744	0.0065742,0.0192799	7,15
NDUFA12	12	-	94971331	7.81311e-05	2
PTPN6	12	+	6961210	0.00867052	2
RPL41	12	+	56117812	0.173611	50
RPLP0	12	-	120196685	0.00293778	7
SELPLG	12	-	108622276	0.00252525	2
TUBA1A	12	-	49184795	0.0373832	7
LCP1	13	-	46125919	0.00179533	3
RPL21	13	+	27256333,27256526	0.070449,0.0431209	10,8
CALM1	14	+	90405148	0.00431034	3
DEGS2	14	-	100143956	0.0013947	4
ERH	14	-	69380122	0.00481928	2
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00109409	2
PSMB5	14	-	23025850	0.00022735	2
PSME1	14	+	24138815	0.00890208	3
RTRAF	14	+	52004513	0.0192308	2
AC245033.1	15	-	82536787,82538299	0.0333334,0.000275832	7,4
CSK	15	+	74802714	0.0199005	4
DUT	15	+	48342067	0.00312989	2
HYPK	15	+	43801819	0.0884695	9
ISG20	15	+	88655624	0.0215054	2
NOP10	15	-	34341712	0.00711744	2
OIP5	15	-	41309267	0.0164609	8
PKM	15	-	72199028	0.000351062	4
PPIB	15	-	64155811	0.014218	3
RPS17	15	-	82536749,82538261	0.0333333,0.0092081	3,10
SERF2	15	+	43793951	0.0730337	13
ALDOA	16	+	30070395	0.100358	28
ARL6IP1	16	-	18791666	0.000665115	1
ATP6V0C	16	+	2520017	0.0330882	9
CORO1A	16	+	30189048	0.0357143	3
IL32	16	+	3069548	0.0518135	10
JMJD8	16	-	681670	0.0013245	2
MAF	16	-	79593837	0.000404613	2
MRPS34	16	-	1771889	0.00906344	3
MVD	16	-	88651934	0.00338983	2
RNF166	16	-	88696494	0.00163934	3
RPL13	16	+	89562391,89563135	0.142899,0.0553423	18,18
RPS2	16	-	1962051	0.0117274	19
SNX20	16	-	50671624	0.00224593	4
ACTG1	17	-	81509970	0.0458894	32
ARHGDIA	17	-	81867720	0.0025974	3
ATP5PD	17	-	75039017	0.00300903	3
CYTH1	17	-	78674047	5.84795e-05	2
DCAF7	17	+	63594227	0.000395648	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691398	0.0174825	10
EIF4A1	17	+	7578655	0.0236686	4
KRT10	17	-	40818116	0.00835655	3
NARF	17	+	82464391	0.00072692	3
NME1-NME2	17	+	51171675	0.0595238	10
NME2	17	+	51171675	0.0595238	10
P4HB	17	-	81843158	0.000185311	3
PFN1	17	-	4945651	0.0403226	10
PSMC5	17	+	63832024	0.0014218	3
RPL26	17	-	8377515,8379789	0.0697674,0.0314607	12,28
SAT2	17	-	7626233	0.00176367	2
SRSF2	17	-	76734114	0.00146628	3
STAT5B	17	-	42199167	0.00077821	2
TXNDC17	17	+	6642404	0.00351494	1
MYL12A	18	+	3256181	0.0380228	10
MYL12B	18	+	3278165	0.0131579	3
RPL17-C18orf32	18	-	49481680	0.00101301	6
AD000671.2	19	-	35739251	0.000976372	5
AKAP8L	19	-	15380047	8.5139e-05	2
BST2	19	-	17402938	0.0026455	2
C19orf24	19	+	1278958	0.0110497	2
