ADAR	1	-	154582056	0.000255004	2
AL109811.4	1	+	11024162	0.00547046	5
G0S2	1	+	209676117	0.0165289	2
GUK1	1	+	228148812	0.0173913	2
HIST2H2AA4	1	+	149851619	0.0353982	4
MINOS1	1	+	19626505	0.0192308	2
MNDA	1	+	158849422	0.0324324	6
MRPS21	1	+	150308319	0.021978	2
NBPF19	1	+	149464260	0.0280374	3
RPS27	1	+	153992085	0.00980392	5
RSRP1	1	-	25242236	0.00070028	2
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0205479	3
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361023	0.2	37
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0030896	3
NCOA4	10	-	46005087	0.000492732	2
PSAP	10	-	71816297	0.00787402	9
SRGN	10	+	69104581	0.0260304	12
AP001931.1	11	+	57742934	0.0798846	8
AP002990.1	11	-	62559602	0.00117742	17
ATP5MG	11	+	118409065	0.0337065	5
CCDC73	11	-	32602245	0.00353982	2
FAU	11	-	65120627,65120868	0.028169,0.00642055	2,4
HSPA8	11	-	123057488	0.00816327	2
LMO2	11	-	33858575	0.000321182	2
RHOG	11	-	3826977	0.00512821	3
SELENOH	11	+	57742934	0.0798846	8
UNC93B1	11	-	67991103	0.00452489	2
C12orf57	12	+	6945098	0.00550964	2
GAPDH	12	+	6538344	0.045977	8
HSP90B1	12	+	103947805	0.00478469	2
LYZ	12	+	69354093	0.0709382	61
NACA	12	-	56712427	0.0071048	8
RPL41	12	+	56117763	0.0376569	9
TUBA1B	12	-	49127781	0.000808407	2
LCP1	13	-	46125919	0.00119689	2
RPL21	13	+	27256480	0.0053286	6
RUBCNL	13	-	46341999	0.000377715	7
ERH	14	-	69380122	0.00481928	2
NFKBIA	14	-	35401510	0.00272115	4
BBS4	15	+	72687162	0.0042796	3
CSK	15	+	74802603	0.0222222	2
SERF2	15	+	43794014	0.0124481	3
ALDOA	16	+	30070351	0.0340426	8
ARL6IP1	16	-	18791666	0.000665115	1
ATP6V0C	16	+	2519997	0.00793651	2
CKLF	16	+	66565920	0.0031693	8
CKLF-CMTM1	16	+	66565920	0.0031693	8
COTL1	16	-	84565593	0.00319744	4
CYBA	16	-	88643282	0.0285714	2
RPL13	16	+	89562947	0.00692738	4
RPS2	16	-	1962051	0.00592066	10
YPEL3	16	-	30092313	0.00122699	3
AC120057.2	17	-	7240426	0.0104083	13
DDX5	17	-	64499615	0.00107991	5
EIF1	17	+	41691184	0.00837989	3
EIF4A1	17	+	7578614	0.0234375	3
GRB2	17	-	75318075	0.000867303	2
ITGAE	17	-	3714627	0.00913242	2
MLX	17	+	42571717	0.0175439	2
NME1-NME2	17	+	51171608	0.049505	5
NME2	17	+	51171608	0.049505	5
NSRP1	17	+	30178150	0.000357207	2
PFN1	17	-	4945651	0.0120968	3
PPP1R9B	17	-	50133734	0.00125313	2
RNASEK-C17orf49	17	+	7017396	0.08	6
RPL26	17	-	8377515,8379735	0.0423729,0.0137669	5,12
SPAG7	17	-	4959225	0.0021978	2
MYL12A	18	+	3256008	0.0222222	2
TGIF1	18	+	3458090	0.02	3
ARHGEF1	19	+	41907267	0.004158	2
BLVRB	19	-	40447764	0.000194951	2
BST2	19	-	17402938	0.00396825	3
CFD	19	+	863390	0.0131579	2
DNAJB1	19	-	14514769	0.0017094	2
FTL	19	+	48966877	0.0704225	10
GMFG	19	-	39328352	0.00318129	3
GTF2F1	19	-	6379568	0.00280899	2
HSH2D	19	+	16151632	0.019802	2
IFI30	19	+	18178116	0.0341463	7
JUNB	19	+	12793137	0.0465839	15
JUND	19	-	18279759	0.00881057	6
MAN2B1	19	-	12646512	0.0280374	3
MYO1F	19	-	8520789	0.00813008	6
NDUFA11	19	-	5894674	0.000443197	3
NDUFA13	19	+	19528119	0.00529676	9
PNPLA6	19	+	7561653	0.021978	2
RAVER1	19	-	10316211	0.00241546	3
RPL18	19	-	48615327	0.00139665	2
RPL28	19	+	55388347	0.011976	4
RPS15	19	+	1440442	0.0243902	3
RPS19	19	+	41869135	0.000383289	2
RPS28	19	+	8322316	0.0425053	2
RPS9	19	+	54207611,54207522	0.0230356,0.00417973	4,4
TBCB	19	+	36125804	0.0151515	2
TYK2	19	-	10350528	0.00574713	2
TYROBP	19	-	35904400	0.00152905	4
CALM2	2	-	47160081	0.00227661	4
NDUFB3	2	+	201085695	0.025	2
OST4	2	-	27070471	0.00342075	3
PCBP1	2	+	70089042	0.0263158	6
PTMA	2	+	231713107	0.00290021	4
RPL37A	2	+	216501434	0.00271003	4
TMSB10	2	+	84906668	0.044898	11
ZFP36L2	2	-	43222401	0.0010433	2
RPS21	20	+	62388333	0.00524476	3
SLA2	20	-	36612317	0.00181708	3
TGIF2-RAB5IF	20	+	36612219	0.0416667	7
