RPS27	1	+	153992085	0.00588235	3
EIF4G2	11	-	10797049	0.00261097	2
FAM168A	11	-	73400486	0.00141965	10
RPS2	16	-	1962051	0.0017762	3
TCF25	16	+	89883399	0.0022449	11
TIAF1	17	-	29073520	0.0060423	2
PPP1R15A	19	+	48875327	0.025641	6
RPS21	20	+	62388249	0.00409836	2
AC112128.1	3	-	113361900	2.39791e-05	2
HNRNPH1	5	-	179614177	0.000385951	3
BRD2	6	+	32981503,32978195	0.000327815,0.00215054	1,2
C6orf48	6	+	31839765	0.0196078	2
HLA-B	6	-	31353871	0.00490998	3
ZC3HAV1	7	-	139060337	0.00864553	6
COPS5	8	-	67043078	0.000109212	2
