AL713999.1	1	-	155169408,155169676	0.00643103,0.00330873	8,3
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320424	0.0327869	4
LAPTM5	1	-	30732468	0.00220751	3
MIIP	1	+	12031925	0.042735	5
RPS27	1	+	153991674,153992116	0.199759,0.0728989	19,11
S100A10	1	-	151982914	0.0201613	5
S100A4	1	-	153543612	0.0342466	5
SH3BGRL3	1	+	26281332	0.025788	9
SLC35E2A	1	-	1727385	0.00118367	6
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.004329	3
TMEM56-RWDD3	1	+	95247119	0.0281124	7
TRAF3IP3	1	+	209782130	0.0026738	1
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00514933	5
PRDX3	10	-	119167702	0.002574	2
VIM	10	+	17236530	0.00175901	2
AHNAK	11	-	62515904	0.00357569	3
ANAPC15	11	-	72109582	0.0100671	3
AP002990.1	11	-	62559602	0.00189934	28
ATP5MG	11	+	118409252	0.000866927	2
COA4	11	-	73872666	0.00446429	2
CREBZF	11	-	85659707	0.000487448	2
EEF1G	11	-	62559600	0.025641	2
ESRRA	11	+	64316198	0.0434783	11
IFITM1	11	+	315247	0.0447761	6
IFITM2	11	+	315247	0.0447761	6
RHOG	11	-	3826977	0.0034188	2
RPL27A	11	+	8685656	0.0154211	14
RPS25	11	-	119015711,119017323	0.00309557,0.0327458	6,20
RPS3	11	+	75404797	0.175569	47
ARPC3	12	-	110434824	0.00909091	3
BIN2	12	-	51281037	0.00433839	2
DDIT3	12	-	57516587	0.00904977	2
LDHB	12	-	21635341	0.025	5
MYL6	12	+	56161526	0.00167364	1
NACA	12	-	56712427,56712690	0.00411952,0.0120063	4,10
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117815	0.237113	69
RPLP0	12	-	120196685	0.00588535	15
RPL21	13	+	27256333,27256557	0.0400912,0.0325652	16,14
AL928654.3	14	+	105488737	0.0379748	3
CRIP1	14	+	105488737	0.0379748	3
DEGS2	14	-	100143956	0.00069735	2
NFKBIA	14	-	35401510	0.00273523	5
AC245033.1	15	-	82536787,82538304	0.0425574,0.000256941	8,4
EID1	15	+	48878902	0.0123457	2
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538268	0.0416667,0.00906132	4,9
SERF2	15	+	43793905	0.030303	4
COX4I1	16	+	85806805	0.00660066	2
IL32	16	+	3069440	0.0352941	3
RPL13	16	+	89562390,89562957,89563139	0.0380379,0.150286,0.0330144	4,30,10
RPS2	16	-	1962051,1962459	0.131148,0.0179441	24,22
TCF25	16	+	89883728	0.000382482	2
