CD52	1	+	26320445	0.013986	2
CDC14A	1	+	100391075	0.013468	4
DDOST	1	-	20651766	0.00816993	5
TXNIP	1	-	145992434	0.00141243	2
AP002990.1	11	-	62559602	0.000460466	7
CD44	11	+	35187007	0.0120482	2
CORO1B	11	-	67435509	0.00114635	6
PTPRCAP	11	-	67435509	0.0224215	5
RARRES3	11	+	63546314	0.0344828	2
SLC2A3	12	-	7931350	0.00167598	3
TUBA1A	12	-	49184795	0.00934579	1
NFKBIA	14	-	35401510	0.00109409	2
RTRAF	14	+	52004492	0.0240964	2
ALDOA	16	+	30070227	0.018018	2
RPL13	16	+	89562933	0.0016	2
RPS2	16	-	1962051	0.00236827	3
AC134669.1	17	-	31305212	0.000225606	2
AKT1S1	19	-	49869032	0.00452489	4
EMC10	19	+	50476944	0.0295203	8
PPP1R15A	19	+	48875213	0.0333333	4
GALM	2	+	38698442	0.0444444	2
PPIG	2	+	169630630	0.000123724	2
LIME1	20	+	63739100	0.025	5
RPS21	20	+	62388348	0.00511073	3
SMARCB1	22	+	23809138,23838007	0.000625151,0.000113649	4,4
CCNI	4	-	77047157	0.00188501	2
MFSD10	4	-	2930560	0.000774593	2
HLA-B	6	-	31353871	0.0130933	8
HLA-C	6	-	31268748	0.00197628	5
KCTD20	6	+	36479779	0.0294118	2
ACTB	7	-	5527146	0.00210748	3
TMSB4X	X	+	12976944	0.0150376	2
