RPS27	1	+	153991674	0.030303	3
AL360181.3	10	+	133420389	0.03125	7
MTG1	10	+	133420389	0.03125	7
CNOT2	12	+	70294337,70294337	0.0196078,0.0196078	4,4
SLC2A3	12	-	7931350	0.00167598	3
NFKBIA	14	-	35401510	0.00109409	2
CASC4	15	+	44348917	0.000450207	5
PDIA3	15	+	43763483,43763901	0.000884549,0.00135917	10,16
C16orf72	16	+	9121637,9113178	0.00042328,0.000504796	2,5
RPS2	16	-	1962051	0.00464388	7
SOCS1	16	-	11254404	0.00456621	2
SPG7	16	+	89515333	0.00127497	3
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7576048	0.00133511	2
SENP3-EIF4A1	17	+	7572890,7576049	0.00540308,0.000636128	2,2
VPS53	17	-	531967	1.98352e-05	2
FOSB	19	+	45472050	0.0134576	13
RPL28	19	+	55388271	0.00775194	2
LBH	2	+	30256886	0.0274725	5
RPS21	20	+	62388361	0.005	3
ATP6V1E1	22	-	17592135	0.00371747	2
DHX30	3	+	47850193,47850192,47824862	9.69196e-05,9.69258e-05,0.000889363	2,3,5
EAF2	3	+	121836864	0.0229358	5
CAST	5	+	96736112	0.00037929	2
HNRNPH1	5	-	179614177	0.000385951	3
HLA-A	6	+	29945687	0.012931	3
HLA-B	6	-	31353871	0.00654664	4
HLA-C	6	-	31268748	0.00158103	4
GTF2IRD2B	7	+	75146766	0.0156863	4
HNRNPA2B1	7	-	26173056	0.000148185	3
SMU1	9	-	33041763	0.000542594	3
