APH1A	1	-	150265398	0.00178094	2
C1orf162	1	+	111478291	0.0119048	2
CDA	1	+	20618663	0.0315789	3
CERS2	1	-	150965172	0.00205128	2
CTSS	1	-	150730195,150730457	0.000330763,6.63502e-05	5,1
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219236	0.0238908	7
GNG5	1	-	84498324	0.000568182	2
H3F3A	1	+	226071874	0.00506329	2
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851623	0.042735	5
IFI6	1	-	27666060	0.0125	4
MCL1	1	-	150574550	0.00283286	8
MNDA	1	+	158849277	0.05	2
PANK4	1	-	2508532	0.000908678	2
RPS27	1	+	153992091	0.00775194	4
RSRP1	1	-	25242236	0.000607507	1
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0320513	5
S100A12	1	-	153373705	0.0330579	4
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.15493	11
S100A9	1	+	153360923,153361027	0.322981,0.076966	27,14
SELL	1	-	169690666	0.00358102	4
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0061792	6
UQCRH	1	+	46310406	0.0174419	3
GDI2	10	-	5765222	0.00235849	2
NDST2	10	-	73801910	0.00740741	4
NDUFB8	10	-	100523936	0.00109456	5
RPS24	10	+	78040677	0.000738825	2
SRGN	10	+	69104605	0.00412371	2
AP002990.1	11	-	62559602	0.000263123	4
AP003419.1	11	-	67351571	0.00945626	4
ATP5MG	11	+	118409123	0.00137741	3
C11orf98	11	-	62662815	0.0213675	5
COX8A	11	+	63976443	0.0162602	2
CPSF7	11	-	61416296	0.000811688	4
FAU	11	-	65120627,65120968	0.0416667,0.00764818	7,4
LAMTOR1	11	-	72097291	0.00181159	2
LBHD1	11	-	62662816	0.025641	8
LMO2	11	-	33858575	0.000481773	3
MS4A6A	11	-	60172013	0.00107344	6
PICALM	11	-	85957683	3.08923e-05	1
RPS25	11	-	119015711	0.00269663	6
TMEM123	11	-	102396331	0.000788955	2
AC048338.1	12	-	122207778	0.000471876	5
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.00909091	3
ATG101	12	+	52077307	0.017094	2
BTG1	12	-	92140277	0.000526039	2
COX6A1	12	+	120440613	0.0263158	2
GAPDH	12	+	6538256	0.0813953	7
HEBP1	12	-	12974863	0.0045045	2
LYZ	12	+	69354232	0.0781736	79
MYL6	12	+	56161534	0.00249377	3
NACA	12	-	56712427,56712775	0.0175639,0.0120842	8,7
PLBD1	12	-	14503660	0.018018	2
RHOF	12	-	121780486	0.0058309	2
RPL41	12	+	56117818	0.0408163	11
SLC2A3	12	-	7919229	0.00137426	3
TPI1	12	+	6870577	0.0154639	3
TUBA1A	12	-	49184795	0.0140187	3
ALOX5AP	13	+	30764271	0.0242424	4
KCTD12	13	-	76880165	0.0003996	2
RPL21	13	+	27256433,27256689	0.0212245,0.00786832	5,3
RUBCNL	13	-	46341999	0.000682822	14
DHRS4	14	+	23969039	0.00719424	2
AC245033.1	15	-	82536787,82538245	0.00510326,0.000175901	9,2
ANPEP	15	-	89797658	0.000713903	3
CLN6	15	-	68206991	4.82334e-05	2
IQGAP1	15	+	90391029	0.0131579	2
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749,82538207	0.00138015,0.0084121	3,9
SERF2	15	+	43794019	0.0406504	10
ALDOA	16	+	30070397	0.106762	30
CORO7-PAM16	16	-	4340250	0.000189669	4
COTL1	16	-	84565593	0.00719424	9
NMRAL1	16	-	4461679	0.00111297	2
PAM16	16	-	4340247,4340842	0.00313846,0.00173342	3,1
PSMB10	16	-	67934501	0.0238095	3
RPL13	16	+	89562390,89563058	0.0331721,0.0395691	4,9
RPS2	16	-	1962051	0.00764256	12
AC120057.2	17	-	7240426	0.0040032	5
ACTG1	17	-	81509970	0.0139082	10
ATP5PD	17	-	75039017	0.00200602	2
CANT1	17	-	78991716	0.00109111	1
DDX5	17	-	64499615	0.000863931	4
EIF1	17	+	41690963	0.0583942	8
EIF4A1	17	+	7578695	0.0239234	5
NME1-NME2	17	+	51171688	0.0994475	18
NME2	17	+	51171688	0.0994475	18
OVCA2	17	+	2043376	0.0367647	10
P4HB	17	-	81843158	0.000185311	3
RAB5C	17	-	42124975	0.00247831	2
RPL19	17	+	39204726	0.025641	2
RPL26	17	-	8377515,8377982	0.0824742,0.0329234	8,39
RPL27	17	+	43002876	0.00310097	11
UBB	17	+	16382681	0.0238095	2
MYL12A	18	+	3256098	0.0166667	3
BORCS8-MEF2B	19	-	19145566	5.68812e-05	2
