KAT6B	10	+	74980073	0.00239234	2
DIP2B	12	+	50726093,50748665	0.000127604,0.000103619	4,5
FOS	14	+	75280373	0.016	2
NPIPB4	16	-	21837623	0.000347391	5
NEURL4	17	-	7315627	0.00102424	3
DDX49	19	+	18920835	0.0287356	5
FOSB	19	+	45475178,45472080	0.000858738,0.00670498	2,7
NOP53	19	+	47756866	0.03125	4
ZFP36	19	+	39407201	0.020202	2
EEF1B2	2	+	206160657	0.021978	2
RNF149	2	-	101271221	0.000960615	2
PCGF3	4	+	753704	0.000153178	3
CCT5	5	+	10258886	0.000490196	2
CDKN2AIPNL	5	-	134402086	0.00724638	6
HNRNPH1	5	-	179614177	0.000257301	2
HLA-B	6	-	31353871	0.00327332	2
LRWD1	7	+	102465859	0.0296296	8
EXOSC3	9	-	37766977	0.000360179	5
