AL713999.1	1	-	155169408	0.000700381	2
ANKRD34A	1	-	145959441	0.00241838	2
ARHGAP30	1	-	161048789	0.000175778	2
ATP5IF1	1	+	28237983	0.00196464	3
ATP5PB	1	+	111461131	0.0145985	2
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320391	0.0561798	5
DAP3	1	+	155738314	0.0168067	2
H3F3A	1	+	226071746	0.0187266	5
HIST2H2AA3	1	-	149842187	0.0338983	4
LAPTM5	1	-	30732468	0.00367918	5
LCK	1	+	32285849	0.0300752	4
PARK7	1	+	7985194	0.0214286	3
RPS27	1	+	153991673,153992152	0.22449,0.0869565	22,8
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
SSR2	1	-	156009047	0.000294551	3
TPM3	1	-	154155303	0.00027342	4
TRIM33	1	-	114392776	0.000410593	1
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0030896	3
ZC3H12A	1	+	37482762	0.0184697	7
NDUFB8	10	-	100523936	0.000717258	3
PRF1	10	-	70597347	0.00425532	3
RPS24	10	+	78040673	0.061095	4
AP002990.1	11	-	62559602	0.00281593	42
CCDC85B	11	+	65891497	0.0285714	3
CORO1B	11	-	67435509	0.000764234	4
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120938	0.0724638,0.0198915	10,11
H2AFX	11	-	119093853	0.00270514	3
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315239	0.0873016	11
IFITM2	11	+	315239	0.0873016	11
LIN7C	11	-	27494575	0.000736558	3
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.0134529	3
RARRES3	11	+	63546323	0.0447761	3
RPS25	11	-	119015711,119017338	0.0348595,0.00199875	25,1
RPS3	11	+	75404817,75405625	0.174879,0.0472411	38,14
UBE2L6	11	-	57551655	0.002849	2
UCP2	11	-	73974666	0.00486618	2
AC023055.1	12	-	55757274	0.0168776	3
AC073610.2	12	-	48921962	0.00921659	2
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.00909091	3
