AL713999.1	1	-	155169408	0.00138422	5
ALDH9A1	1	-	165662215	0.00239808	1
ARID4B	1	-	235131633	6.7579e-05	2
ATP5PB	1	+	111461166	0.0174419	3
C1orf162	1	+	111478294	0.0116959	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320402	0.03	3
CDC14A	1	+	100394732	0.000758725	3
CDK11A	1	-	1702729	0.0017452	4
CSMD2	1	-	33513998	0.000724769	4
DDOST	1	-	20651766	0.00326797	2
GGPS1	1	+	235342883	0.018018	2
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00205896	7
H3F3A	1	+	226071775	0.00675676	2
LAPTM5	1	-	30732468	0.00215966	2
PARK7	1	+	7985178	0.016129	2
PMF1	1	+	156220886	0.0280374	3
RPS27	1	+	153991675,153992154	0.5,0.130435	50,12
S100A10	1	-	151982914	0.016129	4
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281397	0.0144928	6
SRSF11	1	+	70228696	0.0416667	8
SSR2	1	-	156009047	0.000196367	2
TBCE	1	+	235343382	0.00400802	1
TCEA3	1	-	23383432	0.00323625	2
TMEM56-RWDD3	1	+	95247078	0.0240385	5
TPM3	1	-	154155303,154160883,154161846	0.000592669,0.000619194,9.67411e-05	10,7,1
TXNIP	1	-	145992434	0.00423729	6
UBXN11	1	-	26281327	0.00205973	2
RPS24	10	+	78040696	0.00110051	3
VIM	10	+	17236597	0.00318319	3
AP001931.1	11	+	57742920	0.00426743	3
AP002990.1	11	-	62559602	0.00459177	68
AP003419.1	11	-	67351571	0.0165485	7
ATP5MG	11	+	118408946	0.0009995	2
C11orf98	11	-	62662815	0.025641	6
CORO1B	11	-	67435509	0.000573175	3
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315254	0.0851064	12
IFITM2	11	+	315254	0.0851064	12
LBHD1	11	-	62662816	0.0352564	11
MTA2	11	-	62593213	0.0121005	7
PTPRCAP	11	-	67435509	0.0178981	3
RNF141	11	-	10518317	0.0140449	10
RPS25	11	-	119015711,119015845	0.0112303,0.0562305	2,37
SELENOH	11	+	57742920	0.00426743	3
TMEM123	11	-	102396331	0.00118343	3
AC023055.1	12	-	55757274	0.0168776	3
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00909091	3
CD27	12	+	6451544	0.0131579	2
GAPDH	12	+	6538263	0.0215054	2
HNRNPA1	12	+	54286695	0.00186932	4
LDHB	12	-	21635341	0.02	4
MCRS1	12	-	49558294	0.000306232	2
MYL6	12	+	56161517	0.00168634	2
NACA	12	-	56712427,56712721	0.0350787,0.0210026	14,14
RPL41	12	+	56117642,56117813	0.0169094,0.238771	1,69
RPLP0	12	-	120196685	0.00665539	17
SLC2A3	12	-	7931350	0.0116449	20
LPAR6	13	-	48411044	0.00581395	2
RPL21	13	+	27256333,27256559	0.102153,0.0794437	15,17
AL132780.3	14	-	22946269	0.0313725	8
AL928654.3	14	+	105488697	0.0526332	2
CALM1	14	+	90404802	0.00571429	2
CRIP1	14	+	105488697	0.0526332	2
DAD1	14	-	22564904	0.00039013	4
ERH	14	-	69380122	0.00481928	2
HAUS4	14	-	22946227	0.026936	8
IRF9	14	+	24166422	0.0530973	12
NUBPL	14	+	31563114	0.00374532	1
RPS29	14	-	49583571	0.0421053	4
AC245033.1	15	-	82536787,82538306	0.00475721,0.000377299	12,5
GOLGA8B	15	-	34525206	0.000824742	2
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749,82538298	0.00211199,0.024879	3,13
SERF2	15	+	43793913	0.05	7
SRP14	15	-	40035738	0.003367	2
ALDOA	16	+	30070333	0.0599078	13
ATP6V0C	16	+	2519969	0.0267857	6
COX4I1	16	+	85806805	0.00660066	2
MYH11	16	-	15706409	0.0078665	18
NDE1	16	+	15706583,15709610	0.00148518,0.000964139	10,9
RPL13	16	+	89562388,89562947,89566825	0.0204537,0.330803,0.00438442	2,63,17
RPS2	16	-	1962051,1962161,1962455	0.0909481,0.35826,0.0114359	16,47,14
TERF2IP	16	+	75657430,75656433	0.002442,0.000931099	2,2
TSR3	16	-	1349239	0.00209424	2
AC026954.2	17	-	7312660	0.00213004	6
AC120057.2	17	-	7240426	0.00240192	3
ACTG1	17	-	81509970	0.00556328	4
ARHGDIA	17	-	81867720	0.0025974	3
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691328	0.00996016	5
GPS2	17	-	7312659	0.00660066	2
GRAP	17	-	19020672	0.00020496	2
JMJD6	17	-	76712831	0.000236602	2
KRT10	17	-	40818116	0.00557103	2
NME1-NME2	17	+	51171680	0.0635838	11
NME2	17	+	51171680	0.0635838	11
OXLD1	17	-	81665035	0.00158353	2
PFN1	17	-	4945651	0.0120226	2
PLSCR3	17	-	7389726	0.00228385	7
RPL19	17	+	39204694	0.0434783	2
RPL26	17	-	8377515,8379787	0.123529,0.0650222	21,57
SLC46A1	17	-	28394755	0.00142857	7
SOCS3	17	-	78356777	0.00182927	3
SRSF2	17	-	76734114	0.00146628	3
TMEM256-PLSCR3	17	-	7389733	0.0013089	7
TRAPPC1	17	-	7930344	0.00258065	2
TVP23C	17	-	15536979	0.000196715	2
BCL2	18	-	63313801	0.000470921	2
MYL12A	18	+	3256104	0.016129	3
AC008763.3	19	+	7682753	0.0189394	5
BST2	19	-	17402938	0.0026455	2
COPE	19	-	18899890	0.000591366	2
COX6B1	19	+	35658712	0.0196078	2
DNAJB1	19	-	14514769	0.0017094	2
EEF2	19	-	3976055	0.0100402	5
FTL	19	+	48966876	0.0212766	3
FXYD5	19	+	35169720	0.000909918	3
GMFG	19	-	39328352	0.0016116	2
JUNB	19	+	12793203	0.0927835	36
JUND	19	-	18279759	0.00585238	3
MAN2B1	19	-	12646512	0.0186916	1
PRDX2	19	-	12796819	0.00632911	2
RPL18	19	-	48615327,48615858,48616060	0.0679612,0.211212,0.0489421	7,27,8
RPL28	19	+	55388048,55388374,55388373	0.196884,0.0272917,0.0331011	6,4,5
RPL36	19	+	5691660	0.0846154	11
RPS11	19	+	49498043,49499634	0.0439162,0.078785	5,13
RPS15	19	+	1440440	0.0330579	4
RPS16	19	-	39433206	0.0390879	11
RPS19	19	+	41869189	0.00550076	29
RPS28	19	+	8322090,8322360	0.134018,0.0659409	2,6
RPS9	19	+	54207506,54207607,54207522	0.142061,0.0396838,0.0813953	15,8,21
SLC27A1	19	+	17499397	0.000648982	8
TRIR	19	-	12730639	0.00232288	2
UBA52	19	+	18575240	0.0222222	2
UBE2S	19	-	55399744	0.00295683	5
URI1	19	+	30016608	8.23068e-05	3
VRK3	19	-	49976466	6.07884e-05	2
ZNF585A	19	-	37165384	0.0130365	3
CCDC142	2	-	74471985	0.00865266	7
DNMT3A	2	-	25227854	0.000257843	3
GALM	2	+	38734766	0.00166528	2
PCBP1	2	+	70088984	0.0117647	2
PTMA	2	+	231713068	0.00901235	14
RPL31	2	+	101006383	0.0028667	6
RPL37A	2	+	216500032,216501449	0.131509,0.0367204	9,5
SP100	2	+	230544089	0.00262467	3
TMSB10	2	+	84906638	0.130233	28
WBP1	2	+	74460847	0.0481928	8
AL121845.3	20	+	63735996	0.0519481	4
RBM39	20	-	35703609,35705668,35712167	0.000198409,0.000110688,0.000131829	7,3,3
RPS21	20	+	62388363,62388503	0.0875309,0.0641118	18,8
STMN3	20	-	63639704	0.00183711	3
ZGPAT	20	+	63735996	0.0519481	4
ATP5PO	21	-	33903452	0.000996443	3
AP000350.4	22	+	23895192	0.023622	3
APOL1	22	+	36260051	0.0212766	3
DDX17	22	-	38483439	0.000801603	2
MIF	22	+	23895191	0.0235294	2
RABL2B	22	-	50767500	0.000978953	2
RPL3	22	-	39312881	0.0344828	2
SMDT1	22	+	42083171	0.00165289	2
TSPO	22	+	43163091	0.02	2
XBP1	22	-	28794554	0.00201816	2
XRCC6	22	+	41663902	0.0229885	2
P4HTM	3	+	49006996	0.0224719	2
RHOA	3	-	49359144	0.00089153	3
RPL24	3	-	101681091	0.0229885	2
RPL29	3	-	51993521	0.0270769	38
RPL35A	3	+	197954146,197955850	0.0116567,0.0291262	33,3
AC126283.2	4	-	109713915	0.00433839	2
CCNI	4	-	77047157	0.00188501	2
KLHL8	4	-	87160102	0.000162162	3
N4BP2	4	+	40149848	8.04149e-05	4
RPS3A	4	+	151104287,151104652	0.291667,0.127072	14,23
ARL15	5	-	53883944	0.000764526	2
BTF3	5	+	73505453	0.0511628	11
DUSP1	5	-	172768089	0.00446429	3
GOLPH3	5	-	32124703	0.00132626	2
HNRNPH1	5	-	179614177	0.000257301	2
NPM1	5	+	171410753	0.0531915	10
NSA2	5	+	74776718	0.0298507	2
RACK1	5	-	181236908,181237516	0.00122843,0.0880749	7,11
SQSTM1	5	+	179821904	0.0207715	7
TBCA	5	-	77691165	0.00255624	5
CCNC	6	-	99542379	0.000105009	2
EEF1A1	6	-	73517521,73517624	0.146032,0.207778	57,60
HLA-A	6	+	29945749	0.0408163	11
HLA-B	6	-	31353871	0.0409165	25
HLA-C	6	-	31268748,31268941	0.00608572,0.000685979	15,1
HSPA1A	6	+	31817902	0.0636364	13
LTB	6	-	31580554	0.00896414	9
MTO1	6	+	73506923,73509234	0.0525641,0.000432877	27,1
RPS10	6	-	34417453	0.00685871	5
SRSF3	6	+	36598700	0.0210526	4
TAPBP	6	-	33299693	0.000968054	2
AC004922.1	7	+	99394652	0.0109091	6
AC105052.3	7	-	102637048	6.87711e-05	2
ACTB	7	-	5527146	0.00263435	5
ARF5	7	+	127591561	0.0305344	8
ARPC1B	7	+	99394669	0.010582	6
GIMAP6	7	-	150625374	0.000711744	2
LAMTOR4	7	+	100153873	0.0138889	2
NUB1	7	+	151377358	0.0300752	4
PHKG1	7	-	56080282	0.00389105	3
POLR2J3	7	-	102537917	6.68226e-05	2
RNF216	7	-	5620046,5640078,5663478	5.8427e-05,2.21736e-05,1.56621e-05	6,2,1
STK17A	7	+	43624993	0.013245	2
SVOPL	7	-	138594284	0.00243478	6
TRBC1	7	+	142793255	0.0175439	2
TRBC2	7	+	142802701	0.0174419	3
UPK3BL1	7	-	102637024	0.004	2
DCTN6	8	+	30166050	0.00647249	2
HGH1	8	+	144140640	0.0013181	3
RPL30	8	-	98041720,98042603	0.0107454,0.00660448	34,15
RPL8	8	-	144789765,144789867	0.0222765,0.00358893	26,3
SARAF	8	-	30063011	0.000453721	5
XKR6	8	-	11111644	0.00163268	3
ANXA1	9	+	73170202	0.0315789	3
EDF1	9	-	136862118	0.00593472	2
RPL35	9	-	124857879	0.0254604	14
RPL7A	9	+	133351426	0.05	3
BCLAF3	X	-	19912859	0.000189771	2
CMC4	X	-	155061621	0.0226244	5
HAUS7	X	-	153447665	0.0188679	4
MTCP1	X	-	155061621	0.00180972	7
PCSK1N	X	-	48831093	0.0120482	2
RPL10	X	+	154400905	0.0392157	2
RPL36A	X	+	101395782	0.0488873	21
RPL39	X	-	119786505	0.168539	30
SLC25A5	X	+	119471283	0.00888889	2
TMSB4X	X	+	12977160	0.0888252	31
