AC114490.2	1	-	34981532	0.00251151	6
ADAR	1	-	154582056	0.000382507	3
ATP5PB	1	+	111461206	0.0141509	3
C1orf162	1	+	111478305	0.0274725	5
C1orf56	1	+	151050724	0.018797	5
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320478	0.0397727	7
CD55	1	+	207359769	0.000527333	2
CTSS	1	-	150730195	0.00011318	2
ENO1	1	-	8860999	0.000850943	6
FCER1G	1	+	161219220	0.0252708	6
FCGR1A	1	+	149791667	0.02	3
LAPTM5	1	-	30732468	0.00220751	3
MINOS1	1	+	19626508	0.0280374	3
MTMR11	1	-	149928651	0.00419287	2
NCF2	1	-	183555562	0.00720721	4
PARK7	1	+	7985124	0.0285714	2
RPS27	1	+	153991676,153992130	0.056219,0.0448713	5,5
S100A11	1	-	152032505	0.0320513	5
S100A12	1	-	153373705	0.0165289	2
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0515464	5
S100A8	1	-	153390031	0.126761	9
S100A9	1	+	153361026	0.712766	134
SLC35E2B	1	-	1661477	0.00162639	7
TMEM35B	1	-	34981534	0.0146699	6
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00514933	5
UQCRH	1	+	46316678	0.000600926	3
YARS	1	-	32775238	0.00269542	2
AKR1C3	10	+	5107626	0.0162602	2
KIF1BP	10	+	69000001	0.023622	6
NDUFB8	10	-	100523936	0.000367715	2
PIP4K2A	10	-	22534848	0.00127551	2
PSAP	10	-	71816297	0.00787402	9
RPS24	10	+	78040690	0.00110294	3
VIM	10	+	17236290,17237559	0.00569562,0.00306692	2,4
ANAPC15	11	-	72109582	0.00671141	2
AP001931.1	11	+	57742245,57742904	0.0407939,0.0665448	1,4
AP002990.1	11	-	62559602	0.00259355	39
APLP2	11	+	130101354	0.00277264	3
ATP5MG	11	+	118409092	0.00314255	6
BANF1	11	+	66003899	0.015748	2
C11orf98	11	-	62662815	0.025641	6
CAVIN3	11	-	6318945	0.00921659	2
CFL1	11	-	65854674	0.0226404	14
CTSD	11	-	1752751	0.00139535	3
EIF4G2	11	-	10797049	0.00522193	4
FAU	11	-	65120627,65120951	0.0397351,0.00740741	6,4
FCHSD2	11	-	72836744	0.000977517	2
FTH1	11	-	61964284	0.0015949	2
HSPA8	11	-	123057488	0.00816327	2
LBHD1	11	-	62662816	0.025641	8
PSMA1	11	-	14504875	0.00949367	3
RHOG	11	-	3826977	0.00512821	3
RPS25	11	-	119015711,119017201	0.00202955,0.00882212	4,6
SELENOH	11	+	57742245,57742904	0.0407939,0.0665448	1,4
SPI1	11	-	47354859	0.00480769	3
TALDO1	11	+	764432,764984	0.0886284,0.0287375	1,5
TCIRG1	11	+	68050876	0.0224719	2
BLOC1S1	12	+	55719303	0.015544	3
BLOC1S1-RDH5	12	+	55719434	0.00925926	3
COX6A1	12	+	120440627	0.0222222	2
CS	12	-	56271698	0.00014794	2
GALNT4	12	-	89519407	0.00117474	4
GAPDH	12	+	6538335	0.0727273	12
GLIPR1	12	+	75499079	0.000843051	2
HNRNPA1	12	+	54285147	0.00467864	3
LYZ	12	+	69354116	0.144928	130
MAP3K12	12	-	53479668	0.00132188	2
MYL6	12	+	56161513	0.0390577	4
NACA	12	-	56712427,56712740	0.0122228,0.00767167	13,6
POC1B-GALNT4	12	-	89519407	0.000944064	3
RPL41	12	+	56117829	0.12459	38
RPLP0	12	-	120196685	0.00371609	10
SELPLG	12	-	108622276	0.00252525	2
SLC2A3	12	-	7919229	0.00091617	2
TPI1	12	+	6870640	0.0116732	3
TUBA1A	12	-	49184795	0.0186916	3
TUBA1B	12	-	49127781	0.00161681	4
ING1	13	+	110720077	0.0137931	2
RPL21	13	+	27256335,27256521	0.00791972,0.0453633	1,10
APEX1	14	+	20457772	0.00316456	2
DHRS4	14	+	23968851	0.0222222	2
ERH	14	-	69380122	0.00722892	3
FOS	14	+	75280310	0.0322581	2
NEDD8	14	-	24216851	0.00156617	2
NEDD8-MDP1	14	-	24213954	0.00167785	3
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138795	0.00630915	2
RTRAF	14	+	52004498	0.0224719	2
AC245033.1	15	-	82536787	0.000302242	5
CLN6	15	-	68206991	7.23502e-05	3
EID1	15	+	48878960	0.00909091	2
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538269	0.00186815,0.00106359	4,1
SERF2	15	+	43794002	0.0655022	15
AC026464.6	16	-	69328643	0.00510204	1
ALDOA	16	+	30070314	0.040404	8
APOBR	16	+	28498725	0.00909091	2
APRT	16	-	88809338	0.00495426	3
COTL1	16	-	84565593	0.0039968	5
COX4I1	16	+	85806803	0.0166113	5
GTF3C1	16	-	27460612	0.0027137	1
PDF	16	-	69328620	0.00498753	2
RPL13	16	+	89562388,89563187	0.11251,0.0357186	13,13
RPS2	16	-	1962051,1962446	0.117647,0.00695518	20,9
TCF25	16	+	89883431	0.000405515	2
AC120057.2	17	-	7240426	0.0304209	37
ACTG1	17	-	81509970	0.0305981	22
CCDC43	17	-	44677439	0.00127632	2
CTDNEP1	17	-	7243590	0.00505051	3
CYBC1	17	-	82442588	0.000487329	2
DDX5	17	-	64499615	0.00107991	5
EIF1	17	+	41691155	0.0151976	5
EIF4A1	17	+	7578631	0.0137931	2
EVI2B	17	-	31303765	0.00804829	4
GNA13	17	-	65010714	0.000564653	1
GRN	17	+	44352920	0.0186567	5
P4HB	17	-	81843158	0.000239286	3
PFN1	17	-	4945651	0.0403226	10
PSMB3	17	+	38764129	0.000938254	3
RPL26	17	-	8377515,8379780	0.0674847,0.0200222	11,18
SPAG5	17	-	28577573	0.0236686	4
SRSF2	17	-	76734114	0.00195503	4
UNC13D	17	-	75827224	0.00184275	3
MALT1	18	+	58710388	0.0111111	4
MYL12B	18	+	3278043	0.0188679	2
RPL17-C18orf32	18	-	49481680	0.00116993	8
AC007192.1	19	+	18178116	0.00336575	27
AC008763.3	19	+	7682729	0.0541667	13
AD000671.2	19	-	35739251	0.00117165	6
BLVRB	19	-	40447764	0.0003776	3
BST2	19	-	17402938	0.0026455	2
C19orf70	19	-	5678421	0.0155039	2
CAPNS1	19	+	36150237	0.0263004	3
CATSPERG	19	+	38370942	0.000182956	5
CFD	19	+	863454	0.0185185	4
DUS3L	19	-	5785455	0.00148148	2
ECH1	19	-	38815421	0.0157068	3
EEF2	19	-	3976055	0.0060241	3
FCHO1	19	+	17788434	0.0147059	2
FKBP8	19	-	18531750	0.000261438	2
FTL	19	+	48966877	0.204225	29
GMFG	19	-	39328352	0.0111174	8
IFI30	19	+	18178116	0.0878049	18
JUND	19	-	18279759	0.0410634	27
KMT2B	19	+	35738733	0.0113636	2
MYDGF	19	-	4657544	0.00434783	2
NDUFA11	19	-	5894674	0.000870273	5
PGLS	19	+	17521187	0.0283019	3
PLAUR	19	-	43648575	0.00955414	3
RPL18	19	-	48615327,48615857,48616059	0.00566105,0.0645591,0.00733354	3,10,5
RPL28	19	+	55388048,55388316	0.102753,0.040033	3,4
RPL36	19	+	5691584	0.027027	2
RPS11	19	+	49498044,49499669	0.0343245,0.0429877	4,9
RPS15	19	+	1440448	0.0387597	5
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869189	0.000948407	5
RPS28	19	+	8322395	0.015625	5
RPS9	19	+	54207507,54207647,54207519	0.0986098,0.0286117,0.0157233	10,7,15
TRIR	19	-	12730639	0.00348432	3
TYROBP	19	-	35904400	0.0647592	20
ARPC2	2	+	218254200	0.0175439	5
CCDC142	2	-	74471985	0.0074119	5
CNOT11	2	+	101269473	0.0333333	2
IL1B	2	-	112829750	0.0114754	7
NMI	2	-	151270464	0.00877193	2
NR4A2	2	-	156324431	0.00169587	3
OST4	2	-	27070471	0.00342075	3
PCBP1	2	+	70089031	0.0184332	4
PTMA	2	+	231713156	0.00340816	5
RAB6D	2	-	131361110	0.00108401	2
RHOQ	2	+	46576358	0.0114943	3
RPL37A	2	+	216501464	0.024	3
TGOLN2	2	-	85318019	0.00042346	2
TMSB10	2	+	84906634	0.109005	23
UGP2	2	+	63891410	0.0163934	3
COMMD7	20	-	32702690	5.02702e-05	1
CTSZ	20	-	58995184	0.0107759	5
FKBP1A	20	-	1368977	0.00255265	8
HCK	20	+	32054629	0.00857143	3
IDH3B	20	-	2658394	0.00153374	2
MAFB	20	-	40685847	0.0014771	3
RPS21	20	+	62387913,62388466	0.029519,0.0248889	4,6
SLA2	20	-	36612317	0.00121139	2
SNRPB	20	-	2461633	0.000355619	2
TGIF2-RAB5IF	20	+	36612354	0.0462046	14
ITGB2	21	-	44885952	9.47104e-05	2
U2AF1L5	21	-	6484622	0.00026096	1
AC253536.7	22	-	23971377	0.017341	2
AP000350.4	22	+	23895167	0.0196078	2
CHCHD10	22	-	23765833	0.00571429	2
DDT	22	-	23971364	0.016129	3
DDTL	22	+	23971525	0.0252101	3
DDX17	22	-	38483439	0.00117802	2
EIF3L	22	+	37888605	0.0121951	2
HDAC10	22	-	50245182	0.000409752	2
MYH9	22	-	36281276	0.00143781	2
SMDT1	22	+	42083169	0.00165563	2
TSPO	22	+	43163210	0.0547945	12
ABHD14B	3	-	51968509	0.0015163	2
DNAJB11	3	+	186585580	0.0116279	2
GPX1	3	-	49357170,49357273	0.0759619,0.0457555	61,32
HCLS1	3	-	121631398	0.0134228	6
PRKCD	3	+	53192402	0.0147059	2
RPL29	3	-	51993521	0.0125087	18
RPL35A	3	+	197955816	0.0289616	15
ANXA5	4	-	121667954	0.000191534	2
HMGB2	4	-	173331694	0.00779221	3
HSD17B11	4	-	87336609	0.003003	2
PAPSS1	4	-	107613665	0.00343053	2
RPS3A	4	+	151104286,151104610,151104118	0.149379,0.0642948,0.00889248	7,10,11
ANKHD1	5	+	140539617	0.0100503	2
BTF3	5	+	73505403	0.0424242	7
CAST	5	+	96772887	0.00165563	2
CD14	5	-	140631727	0.015625	2
CD74	5	-	150401636	0.00958084	16
DUSP1	5	-	172768089	0.046131	31
HBEGF	5	-	140332842	0.00327332	6
HIGD2A	5	+	176389629	0.0151515	2
RAB24	5	-	177301450	0.0171233	5
C6orf62	6	-	24704860	0.0015674	2
CLIC1	6	-	31730580	0.0114943	3
CSNK2B	6	+	31669976	0.02	1
ELOVL5	6	-	53267397	0.00115674	1
HLA-A	6	+	29945740	0.0736842	20
HLA-B	6	-	31353871	0.0654506	39
HLA-C	6	-	31268748,31268873	0.0101523,0.000546646	25,1
HLA-DRB1	6	-	32578768	0.0310559	10
IGF2R	6	+	160111503	0.000311575	2
LY86	6	+	6654815	0.0159574	2
TAPBP	6	-	33299693	0.000968054	2
TOMM6	6	+	41789793	0.0129032	6
TUBB	6	+	30725314	0.00327154	3
AC004922.1	7	+	99394651	0.122479	26
ACTB	7	-	5527146,5527280	0.0449986,0.000902856	85,1
ARPC1B	7	+	99394117,99394691	0.0793407,0.106559	1,25
ATP6V1F	7	+	128865757	0.0223464	4
CHCHD2	7	-	56101568	0.0106383	3
KDM7A	7	-	140084745	0.000183318	2
LAMTOR4	7	+	100153876	0.0136054	2
ZNF655	7	+	99573648	0.046875	3
