AL713999.1	1	-	155169408,155169713	0.00560518,0.00253865	7,2
ARHGAP30	1	-	161046947	0.00260756	2
ATP5PB	1	+	111461125	0.0152672	2
C1orf162	1	+	111478236	0.0265487	3
CAPN2	1	+	223775183	0.00613497	2
CAPZB	1	-	19338775	0.000752634	3
CSDE1	1	-	114716912	0.00159236	2
CSF3R	1	-	36466042	0.00636943	2
CTSS	1	-	150730195	0.000334787	5
EFHD2	1	+	15430310	0.00125786	2
EIF3I	1	+	32231368	0.0174419	3
EMC1	1	-	19215663	0.000824402	3
FCER1G	1	+	161219191	0.0322581	8
GNG5	1	-	84498324	0.00112684	3
HIST2H2AA4	1	+	149851544	0.0526316	2
MCL1	1	-	150574550	0.00141643	4
MINOS1	1	+	19626552	0.0662252	10
NBPF14	1	-	148531384,148557534,148566313	7.51355e-05,7.05937e-05,9.57222e-05	3,1,1
NCF2	1	-	183555562	0.00540541	3
OSCP1	1	-	36432568	0.000195976	3
PLK3	1	+	44805905	0.0176211	4
PTP4A2	1	-	31906420	0.000660961	4
RPS27	1	+	153991675,153992134	0.0843124,0.0278688	8,4
S100A10	1	-	151982914	0.0362903	9
S100A11	1	-	152032505	0.0384615	6
S100A4	1	-	153543612	0.0821918	12
S100A6	1	-	153534598	0.0721649	6
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361024	0.258065	48
SSR2	1	-	156009047	0.000294551	3
SSU72	1	-	1541672	0.00763359	3
TAGLN2	1	-	159918106	0.012987	9
TARBP1	1	-	234391312	0.00757576	2
THRAP3	1	+	36305357	0.00447761	6
TXNIP	1	-	145992434	0.0049435	7
UBXN11	1	-	26281327	0.015448	15
UQCRH	1	+	46316612	0.000627156	4
ALOX5	10	+	45445808	0.0165289	2
GDI2	10	-	5765222	0.00235849	2
LIPA	10	-	89213568	0.00158856	1
PSAP	10	-	71816297	0.0139832	15
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040686	0.0400123	4
SRGN	10	+	69104634	0.00583658	3
VIM	10	+	17237428,17237592	0.00319494,0.0466924	1,31
AHNAK	11	-	62515904	0.00953516	8
AP001931.1	11	+	57742953	0.00407609	3
AP002990.1	11	-	62559602	0.00291526	43
AP003419.1	11	-	67351571	0.0520008	21
CCDC85B	11	+	65891607	0.00930233	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120949	0.033557,0.0129151	5,7
HSPA8	11	-	123057488	0.00816327	2
LMO2	11	-	33858575	0.000321182	2
MPEG1	11	-	59208509	0.00181406	4
NXF1	11	-	62792122	0.000487864	4
OTUB1	11	+	63997768	0.00900901	2
PICALM	11	-	85957683	3.08923e-05	1
PIK3C2A	11	-	17141321	0.000408664	3
PPP1CA	11	-	67398182	0.00568182	2
RHOG	11	-	3826977	0.0102564	6
RPS25	11	-	119015711,119017360	0.0024301,0.0218593	5,12
SELENOH	11	+	57742953	0.00407609	3
SF1	11	-	64764605	0.00036846	2
SPI1	11	-	47354859	0.0128205	8
TALDO1	11	+	764906	0.00608519	3
TPP1	11	-	6612762	0.000466636	3
UCP2	11	-	73974666	0.00729927	3
UNC93B1	11	-	67991103	0.00452489	2
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0151515	5
ATP2A2	12	+	110283012	0.0181159	5
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719610	0.0147998	7
BLOC1S1-RDH5	12	+	55719610	0.0147998	7
C1RL	12	-	7098295	0.00116414	2
CD63	12	-	55725322	0.00653209	9
CDK2AP1	12	-	123260970	0.00261438	1
CLEC7A	12	-	10127445	0.0217391	2
COX6A1	12	+	120440686	0.0134228	2
DYNLL1	12	+	120498366	0.012766	3
GAPDH	12	+	6538340	0.0588235	10
H3F3C	12	-	31791184	0.00348432	2
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161514	0.0526241	6
NACA	12	-	56712427	0.0116212	13
PFDN5	12	+	53299437	0.0350827	9
RPL41	12	+	56117827	0.138614	42
RPLP0	12	-	120196685	0.00294705	7
SELPLG	12	-	108622276	0.00252525	2
SLC2A3	12	-	7919229	0.00274851	6
TPI1	12	+	6870625	0.0165289	4
TUBA1A	12	-	49184795	0.0327103	6
GRTP1	13	-	113324844	0.002849	2
