HDGF	1	-	156742106	0.00149031	2
IFI6	1	-	27666060	0.00625	2
LAPTM5	1	-	30732468	0.00147167	2
RPS27	1	+	153991677,153992134	0.135704,0.0572317	13,8
UBXN11	1	-	26281327	0.00205973	2
YBX1	1	+	42702043	0.00291829	3
COX15	10	-	99713514	0.00932836	10
RPS24	10	+	78040671	0.000740466	2
WAC	10	+	28581464,28610707	4.06548e-05,9.26254e-05	1,7
AP002990.1	11	-	62559602	0.0027627	41
ATP5MG	11	+	118409061	0.00273119	5
CFL1	11	-	65854674	0.00302572	2
CORO1B	11	-	67435509	0.000573175	3
FAU	11	-	65120627	0.0104843	9
HSPA8	11	-	123057488	0.0204082	5
IFITM1	11	+	315263	0.0866667	13
IFITM2	11	+	315263	0.0866667	13
PPP1CA	11	-	67398182	0.00568182	2
RPL27A	11	+	8685628	0.0133599	9
RPS25	11	-	119015711	0.0208013	16
AC023055.1	12	-	55757274	0.00843882	1
ARHGDIB	12	-	14942016	0.00594059	3
CCDC91	12	+	28305873	0.00252313	3
CLEC2D	12	+	9681693	0.00411523	3
COX14	12	+	50120307	0.0222222	2
COX6A1	12	+	120440739	0.00990099	2
GAPDH	12	+	6538237	0.0298507	2
HNRNPA1	12	+	54286964	0.00219189	5
LDHB	12	-	21635341	0.01	2
RNF10	12	+	120557616	0.000220374	4
RPL41	12	+	56117825	0.149502	45
RPLP0	12	-	120196685	0.00179176	4
AC001226.2	13	+	77077201	0.00121729	2
RCBTB1	13	-	49531945	0.00183824	4
RPL21	13	+	27256331,27256568	0.0703855,0.00845035	10,3
TPT1	13	-	45333470,45337181,45337290	0.000808347,0.0636322,0.0867822	3,18,16
NEDD8	14	-	24216851	0.00234926	3
NEDD8-MDP1	14	-	24213954	0.00167785	3
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004548	0.0143885	2
ZFP36L1	14	-	68787659	0.000707214	2
AC245033.1	15	-	82536787,82538235,82538810	0.0036538,0.000369461,0.00016899	9,5,2
B2M	15	+	44718875	0.012182	40
RPS17	15	-	82536749,82538197,82538772	0.000690671,0.0728169,0.00725793	1,10,4
SERF2	15	+	43793960	0.0160428	3
UBR1	15	-	43082710	0.00053984	5
AC120114.4	16	+	29819978	0.0446429	10
ARL6IP1	16	-	18791666	0.000665115	1
BOLA2-SMG1P6	16	-	29443229	0.000370989	3
COTL1	16	-	84565593	0.00319744	4
HMOX2	16	+	4509703	0.0188679	2
PAGR1	16	+	29819978	0.0446429	10
PLA2G10	16	-	14672680	0.000331016	2
RPL13	16	+	89562390,89563457	0.108083,0.0294886	13,19
RPS2	16	-	1962051,1962470	0.139175,0.00944549	27,11
TCF25	16	+	89886235	0.000387797	3
ACTG1	17	-	81509970	0.015299	11
ATP5PD	17	-	75039017	0.00200602	2
C17orf49	17	+	7017325	0.0325744	4
CCR7	17	-	40553768	0.0020555	2
CD7	17	-	82314867	0.00157109	2
EIF1	17	+	41691216	0.0102564	4
EIF4A1	17	+	7578642	0.0512821	8
NME1-NME2	17	+	51171654	0.0340136	5
NME2	17	+	51171654	0.0340136	5
OVCA2	17	+	2043286	0.0164835	3
PFN1	17	-	4945651	0.016129	4
RNASEK-C17orf49	17	+	7017387	0.030303	2
RNF167	17	+	4944996	0.0134228	2
RNF227	17	-	7913323	0.000902935	1
RPL23	17	-	38847864	0.00162075	4
RPL26	17	-	8377515,8379767	0.0866667,0.0449557	13,40
TMEM256	17	-	7402974	0.00296736	2
MALT1	18	+	58710662	0.00473186	3
MYL12A	18	+	3256139	0.00904977	2
MYL12B	18	+	3278037	0.02	2
AC010422.8	19	-	12668070	0.000169938	2
ARHGEF1	19	+	41907454	0.00299401	2
CATSPERG	19	+	38370942	0.000256138	7
EEF2	19	-	3976055	0.00401606	1
PEAK3	19	-	2274621	0.00850662	9
REX1BD	19	+	18592257	0.0013354	1
RPL18	19	-	48615327,48615845,48616047	0.0555556,0.0845056,0.00531982	5,11,3
RPL28	19	+	55388047,55392084,55403250	0.171252,0.00234044,0.12605	5,9,15
RPL36	19	+	5691650	0.0335282	3
RPS11	19	+	49499632	0.00234329	4
RPS15	19	+	1440480	0.0299982	3
RPS19	19	+	41869191	0.00151688	8
RPS28	19	+	8322091,8322374	0.0768376,0.0480883	1,5
RPS9	19	+	54207561,54207522	0.0421649,0.00626959	6,6
UBE2M	19	-	58555711	0.00530504	2
UBE2S	19	-	55401713,55403216	0.0106647,0.0188061	22,10
BIN1	2	-	127048026	0.00400802	1
DCTN1	2	-	74361153	0.000582637	3
DNMT3A	2	-	25227854	0.000171895	1
EEF1B2	2	+	206162084	0.000658762	1
MZT2B	2	+	130190713	0.0229885	2
OST4	2	-	27070471	0.00570125	5
PTMA	2	+	231712220	0.00607952	4
RPL31	2	+	101006128	0.00108814	2
RPL37A	2	+	216501376	0.00564175	8
TMSB10	2	+	84906668	0.114286	28
VAMP8	2	+	85581707	0.015748	2
