AL713999.1	1	-	155169408	0.00428632	16
C1orf43	1	-	154206695	0.000254485	2
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320431	0.0620155	8
FCMR	1	-	206904385	0.000233945	2
HIST2H2AA4	1	+	149851604	0.0204082	1
HP1BP3	1	-	20775654	0.00668896	2
JUN	1	-	58780787	0.004662	6
LBR	1	-	225401501	0.00111049	2
LRRC47	1	-	3781289	0.00317209	8
MARCKSL1	1	-	32333831	0.00392157	3
PTCH2	1	-	44819843	0.00236686	2
RPS27	1	+	153991676,153992155	0.247525,0.0869565	25,8
SLC35E2B	1	-	1661477	0.000464684	2
SSR2	1	-	156009047	0.000196367	2
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00205973	2
AL360181.3	10	+	133420339	0.0287356	5
BNIP3	10	-	131966454	0.00167504	7
EGR2	10	-	62811995	0.00165153	2
MTG1	10	+	133420339	0.0287356	5
NDUFB8	10	-	100523936	0.000919287	5
ANAPC15	11	-	72109582	0.00671141	2
AP002990.1	11	-	62559602	0.00252595	37
AP003419.1	11	-	67351571	0.0661898	27
ATP5MG	11	+	118409006	0.000970403	2
CFL1	11	-	65854674	0.00453858	3
CORO1B	11	-	67435509	0.00114635	6
CPSF7	11	-	61402640	0.000240906	2
EIF4G2	11	-	10797049	0.00261097	2
FAU	11	-	65120627,65120905	0.0666667,0.0136519	7,8
FCHSD2	11	-	72836744	0.000977517	2
HSPA8	11	-	123057488	0.0163265	4
KDELC2	11	-	108472104	0.000843028	5
PTPMT1	11	+	47571688	0.00108342	2
PTPRCAP	11	-	67435509	0.0269058	6
RPS25	11	-	119015711,119017323	0.0325763,0.00229498	24,1
AC048338.1	12	-	122207778	0.00018875	2
ARHGDIB	12	-	14942016	0.00990099	5
ARPC3	12	-	110434824	0.00909091	3
ATP5MC2	12	-	53665165	0.0135135	2
CD69	12	-	9752485	0.0190955	19
CHPT1	12	+	101730682	0.0387597	5
DDIT3	12	-	57516587	0.0180995	4
DDX23	12	-	48829763	0.00283688	2
HVCN1	12	-	110648685	0.00552486	4
MYL6	12	+	56161465	0.0361436	2
