NUDT17	1	+	145848651	0.0116279	2
PIAS3	1	-	145848521	0.0021645	2
PRDX1	1	-	45511035	0.0102389	3
RSRP1	1	-	25242236	0.00070028	2
AP002990.1	11	-	62559602	0.000601772	9
MTRNR2L8	11	-	10507886	0.00754717	2
PPP1R14B	11	-	64244479	0.0145985	4
AC008012.1	12	+	4331483	0.0268817	5
CNOT2	12	+	70294310,70294310	0.0508475,0.0508475	9,9
AL136295.5	14	+	24160652	0.0253165	2
AP4S1	14	+	31083745	0.0294118	4
IGHG3	14	-	105764502	0.00212615	3
GNB5	15	-	52115104	0.00026137	2
SNX1	15	+	64125588	0.00100806	10
CDK10	16	+	89692915	0.000571755	3
RPL13	16	+	89562873	0.00245922	2
RPS2	16	-	1962051	0.00468083	7
ARL17A	17	-	46548206	0.0266667	6
CLUH	17	-	2689385	0.00165563	2
CYTH1	17	-	78674047	5.84795e-05	2
DDX5	17	-	64499615	0.000431965	2
EIF4A1	17	+	7578539	0.0377358	2
AC008763.3	19	+	7682743	0.023622	6
AC010422.8	19	-	12668070	0.000169938	2
CD37	19	+	49337793	0.0769203	2
DHPS	19	-	12675716	0.000467508	2
EEF2	19	-	3976055	0.0060241	3
FAM129C	19	+	17545695	0.0207101	7
MVB12A	19	+	17425244	0.0119522	3
SUPT5H	19	+	39476513	0.0175439	2
UBE2M	19	-	58555711	0.00530504	2
ZNF493	19	+	21405833	0.000236714	2
CUL3	2	-	224470149	0.000368596	3
OST4	2	-	27070471	0.0022805	2
RGPD8	2	-	112390149	8.90036e-05	2
RHOQ	2	+	46576174,46576177	0.000589971,0.025	2,2
TMSB10	2	+	84906583	0.0125	2
SIK1	21	-	43414482	0.00221337	5
U2AF1	21	-	43092955	0.000392003	3
U2AF1L5	21	-	6484622	0.000913361	7
CCNI	4	-	77055322	0.00416089	3
CD74	5	-	150401636	0.0011976	2
HSD17B4	5	+	119465020	0.00738916	3
HLA-A	6	+	29945555	0.02	2
HLA-B	6	-	31353871	0.00327332	2
HLA-C	6	-	31268748	0.000790514	2
HLA-DRB1	6	-	32578768	0.00931677	3
LTB	6	-	31580554	0.0059761	6
RIPOR2	6	-	24839358	0.00148699	2
ACTB	7	-	5527146	0.00105374	1
ARHGAP39	8	-	144529178	0.00241352	3
FAM102A	9	-	127940578	0.000765404	2
