MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626547	0.0205479	3
RPS27	1	+	153992096	0.0134357	7
CD3D	11	-	118338953	0.00961538	2
FAU	11	-	65120627	0.00462963	4
MRPL23	11	+	1956338	0.00459418	3
MTRNR2L8	11	-	10507886	0.00754717	2
RPL41	12	+	56117678	0.0194805	3
RPLP0	12	-	120196685	0.00184996	4
RPL21	13	+	27256303	0.0245843	2
AC245033.1	15	-	82536787,82538303	0.032261,0.000208709	6,3
APH1B	15	+	63277993	0.0474308	12
NEIL1	15	+	75351517	0.0520833	10
RPS17	15	-	82536749,82538298	0.00197622,0.00541191	5,5
RPL13	16	+	89562389,89563086	0.00312297,0.0242457	2,7
RPS2	16	-	1962051	0.0017762	3
TCF25	16	+	89883501	0.000886562	4
EIF1	17	+	41690967	0.0141844	2
LRRC45	17	+	82030958	0.0130719	2
PFN1	17	-	4945651	0.00806452	2
RPL26	17	-	8377515	0.000632111	2
NKG7	19	-	51371605	0.0135747	3
PEAK3	19	-	2274621	0.00661626	7
RPL18	19	-	48615327	0.00139665	2
RPL28	19	+	55388045,55388358	0.0729854,0.0333406	2,4
RPS11	19	+	49498104	0.0111732	2
RPS19	19	+	41869192	0.00113744	6
RPS9	19	+	54207502,54207502	0.0279857,0.0115385	3,3
SRSF7	2	-	38743598	0.000507014	3
TMSB10	2	+	84906580	0.0254777	4
LIME1	20	+	63739019	0.0252101	3
ZBTB46	20	-	63743665	0.000612745	2
RPS3A	4	+	151104524	0.0105263	3
THAP9	4	+	82901241	0.0130719	2
RACK1	5	-	181236908	0.000443001	3
HLA-B	6	-	31353871	0.00818331	5
ACTB	7	-	5527146	0.00158061	3
ARF5	7	+	127591527	0.0263158	6
POLR2J2	7	-	102665367	0.00128205	2
TRGC2	7	-	38239579	0.0045045	2
RAB2A	8	+	60584723	0.000223594	2
RPL30	8	-	98041720	0.000621504	1
RPS20	8	-	56072946	0.00270636	2
DPP7	9	-	137110541	0.000584795	2
RPL35	9	-	124857879	0.0101868	6
BEX2	X	-	103309345	0.00819672	2
RPL36A	X	+	101395410	0.000902256	3
