AL713999.1	1	-	155169408,155169681	0.00198977,0.000528008	8,1
C1orf162	1	+	111478264	0.0212766	3
CAPZB	1	-	19338775	0.00100351	3
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320517	0.0651163	14
GNG5	1	-	84498324	0.000598573	2
GUK1	1	+	228148934	0.0168776	3
HIST2H2AA4	1	+	149851596	0.0333333	3
ITPKB	1	-	226631689	0.000670916	2
JAK1	1	-	64833228	0.00150038	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00147167	2
LMNA	1	+	156139322	0.0694444	15
MINOS1	1	+	19629821	0.000877193	3
MINOS1-NBL1	1	+	19623576,19626386,19656926	4.77539e-05,6.98151e-05,9.16445e-05	1,1,5
MRPL20	1	-	1402181	0.00516796	2
PABPC4	1	-	39560815	0.00566105	4
RPF1	1	+	84497583	0.0176991	2
RPS27	1	+	153991677,153992155	0.401961,0.0659341	41,6
RPS8	1	+	44778738	0.0377358	2
RSBN1	1	-	113761831	5.80232e-05	1
S100A10	1	-	151982914	0.0483871	12
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0410959	6
SELL	1	-	169690666	0.00268577	3
SSR2	1	-	156009047	0.000589102	6
TAGLN2	1	-	159918106	0.010101	7
TMEM56-RWDD3	1	+	95247136	0.0225564	6
TPM3	1	-	154155303	0.000223714	4
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316690	0.000979572	6
WASF2	1	-	27404225	0.000504668	2
DDX50	10	+	68946766	0.0142857	2
ITGB1	10	-	32900318	0.00036523	3
NDUFB8	10	-	100523739,100523936	0.0206186,0.000735429	2,4
PFKP	10	+	3136639	0.0333333	2
RPS24	10	+	78040660	0.0399987	2
SRGN	10	+	69104362	0.00826446	2
VCL	10	+	74114958,74118047	3.56148e-05,0.000220022	1,10
VIM	10	+	17237554	0.0287598	33
WAPL	10	-	86435255	0.000874508	2
WASHC2A	10	+	50087308	0.00111111	2
AHNAK	11	-	62515904	0.00357569	3
AP002990.1	11	-	62559602,62559707	0.00387275,0.000808299	57,12
ATP5MG	11	+	118409079	0.00275282	5
C11orf49	11	+	47085055,47086036,47095270,47095873	1.4739e-05,3.16845e-05,4.77441e-05,0.000101399	1,3,5,11
CCDC73	11	-	32602245	0.00353982	2
CFL1	11	-	65854674	0.0196672	13
CORO1B	11	-	67435509	0.00382117	20
COX8A	11	+	63976460	0.0214286	3
DDB1	11	-	61299450	0.00140647	2
DDX6	11	-	118747765	0.000287936	2
DEAF1	11	-	644232	0.000282406	2
EEF1G	11	-	62559600	0.0384615	3
FAU	11	-	65120627,65120931	0.0763359,0.0178571	10,10
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315226	0.168142	19
IFITM2	11	+	315226	0.168142	19
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.0852018	19
RPS13	11	-	17074388	0.0454545	2
RPS25	11	-	119015711,119015842,119017318	0.00825971,0.100756,0.0212075	6,20,13
SIGIRR	11	-	405715	0.0106952	1
TMEM123	11	-	102396331	0.00156362	3
UEVLD	11	-	18529608	0.000480768	17
ARHGDIB	12	-	14942016	0.0178218	9
ARPC3	12	-	110434824	0.0212121	7
ATP5MC2	12	-	53665165	0.027027	4
BLOC1S1	12	+	55719505	0.00506329	2
BLOC1S1-RDH5	12	+	55719505	0.00506329	2
CD69	12	-	9752485	0.00201005	2
DGKA	12	+	55954027	0.000568164	8
DYNLL1	12	+	120498420	0.0207612	6
GAPDH	12	+	6538255	0.0470588	4
GLIPR1	12	+	75498877	0.00274604	8
HNRNPA1	12	+	54284975	0.00432324	2
LDHB	12	-	21635341	0.03	6
MARCH9	12	+	57759066	0.0118343	2
MYL6	12	+	56161478	0.0426411	10
NACA	12	-	56712427,56712775	0.0517241,0.036584	6,22
ORAI1	12	+	121641828	0.0216216	4
PA2G4	12	+	56112995	0.0280374	3
RAN	12	+	130875933	0.0196078	3
RPL41	12	+	56117830	0.323529	99
RPLP0	12	-	120196685	0.00777598	20
SLC2A3	12	-	7919229	0.00091617	2
SLC38A2	12	-	46358188	0.000220192	2
SRSF9	12	-	120461667	0.000954198	3
TPI1	12	+	6870679	0.0202703	6
TUBA1A	12	-	49184795	0.0186916	3
TUBA1B	12	-	49127781	0.000808407	2
UBC	12	-	124911603	0.0181818	2
WASHC3	12	-	102012926	5.31505e-05	2
ALOX5AP	13	+	30764300	0.0103093	2
GTF3A	13	+	27429223	0.00319197	7
RPL21	13	+	27256332,27256527	0.203541,0.063292	30,14
AHSA1	14	+	77468316	0.045045	5
AKT1	14	-	104769348	0.00162668	4
AL928654.3	14	+	105488517,105488790	0.263012,0.0703129	1,9
AP4S1	14	+	31083797	0.0265957	5
CALM1	14	+	90404688,90405034	0.00974989,0.00291929	2,1
CRIP1	14	+	105488517,105488790	0.263012,0.0703129	1,9
DAD1	14	-	22564904	0.000195065	2
NEDD8	14	-	24216851	0.00234926	3
NFKBIA	14	-	35401510	0.00437637	8
RPS29	14	-	49583571	0.0421053	4
RTRAF	14	+	52004521	0.0178571	2
SIVA1	14	+	104759542	0.0350877	2
SYNJ2BP-COX16	14	-	70326063	0.0111524	3
AC107871.1	15	-	68184031	0.000128213	2
AC245033.1	15	-	82536787,82538263,82538837	0.0107453,0.000330314,7.75263e-05	20,5,1
CALML4	15	-	68190704	0.000224065	2
CLN6	15	-	68206991	4.82334e-05	2
CPEB1	15	-	82543202	0.000278319	3
LYSMD2	15	-	51723010	0.0033557	2
NGRN	15	+	90271959	0.0292398	5
PIAS1	15	+	68193845	0.000319795	2
PPIB	15	-	64155811	0.0189573	4
PSMA4	15	+	78549026	0.0136986	3
RASGRP1	15	-	38488102	0.000815993	2
RPS17	15	-	82536749,82538225	0.0025179,0.0375067	3,23
SERF2	15	+	43793991	0.0550459	12
AC026464.6	16	-	69328643	0.0153061	6
ACSF3	16	+	89152421	0.000103794	2
ALDOA	16	+	30070292	0.0681818	12
BOLA2B	16	-	30192933	0.00952381	4
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806804	0.00662252	2
IL32	16	+	3069476	0.0661157	8
NPIPB12	16	-	29485632	0.000205311	3
NPIPB3	16	-	21402236	0.0425532	2
PDF	16	-	69328620	0.0174564	6
RPL13	16	+	89562934,89563362	0.447948,0.0352781	79,18
RPS2	16	-	1962051,1962164,1962471	0.0530796,0.239732,0.00309982	10,49,3
SULT1A4	16	+	29464323	0.00162866	4
AATF	17	+	37056748	0.0238095	2
AC104581.2	17	-	7925930	0.000427807	2
AC120057.2	17	-	7240426	0.0104083	13
ACTG1	17	-	81509970	0.0194715	14
ARHGDIA	17	-	81867720	0.00604886	6
