AL049557.1	1	-	111722063	0.00040783	2
AL713999.1	1	-	155169408	0.00145527	5
ATP5PB	1	+	111461198	0.0245098	5
C1orf162	1	+	111478305	0.021978	4
C1orf74	1	-	209779207	0.000829417	3
CD52	1	+	26320436	0.0149254	2
CDA	1	+	20618895	0.00917431	3
CTSS	1	-	150730195	0.000676677	11
ENO1	1	-	8860999	0.000283648	2
FCER1G	1	+	161219187	0.0204918	5
INKA2	1	-	111722063	0.00040783	2
LAPTM5	1	-	30732468	0.00441501	6
MINOS1	1	+	19626529	0.015625	2
MNDA	1	+	158849369	0.0227273	3
NCF2	1	-	183555562	0.00720721	4
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153992133	0.0107527	6
S100A10	1	-	151982914	0.0120968	3
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0661157	8
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.211268	15
S100A9	1	+	153360916,153361025	0.688063,0.24776	53,46
SLC35E2B	1	-	1661477	0.00116171	5
TAGLN2	1	-	159918106	0.002886	2
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316629	0.000469116	3
PIK3AP1	10	-	96593311	0.000883002	2
POLR3A	10	-	77975148	0.000858738	2
PSAP	10	-	71816297	0.00874891	10
RPS24	10	+	78040673	0.0317577	1
VIM	10	+	17236710	0.00566375	4
VSIR	10	-	71747558	0.000541419	2
AHNAK	11	-	62515904	0.00238379	2
ANAPC15	11	-	72109582	0.00671141	2
AP002990.1	11	-	62559602	0.000951284	14
AP003419.1	11	-	67351571	0.00945626	4
CARD16	11	-	105041522	0.00149775	3
FAU	11	-	65120627	0.00694444	6
LAMTOR1	11	-	72097291	0.00181159	2
LMO2	11	-	33858575	0.000481773	3
MPEG1	11	-	59208509	0.00136054	3
NDUFV1	11	+	67612381	0.00809717	2
PGA4	11	+	61231620	0.0224719	2
PIK3C2A	11	-	17086571	0.000631712	1
PPP1CA	11	-	67398182	0.0113636	4
RPS25	11	-	119015711	0.00224719	5
TALDO1	11	+	764910	0.0312279	3
UCP2	11	-	73974666	0.00486618	2
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824,110434925	0.0193967,0.0157166	6,3
CD63	12	-	55725322	0.00204221	3
CLEC4A	12	+	8138515	0.0131579	3
COX6A1	12	+	120440627	0.0222222	2
DYNLL1	12	+	120498299	0.0119048	2
GAPDH	12	+	6538357	0.0374332	6
HDAC7	12	-	47782721	0.00013611	2
LYZ	12	+	69354233	0.119329	121
MYL6	12	+	56161580	0.00320256	3
NACA	12	-	56712427,56712740	0.00883625,0.003752	9,3
RPL41	12	+	56117789	0.0867925	23
SRSF9	12	-	120461667	0.000636132	2
ELF1	13	-	40932027	0.000103066	2
ITM2B	13	+	48253954	0.00013598	2
LCP1	13	-	46125919	0.00119689	2
N4BP2L1	13	-	32424921	0.00220507	2
RPL21	13	+	27256458	0.00632467	6
BATF	14	+	75546938	0.00749064	2
ERH	14	-	69380122	0.00481928	2
NEDD8-MDP1	14	-	24213954	0.00167785	3
NFKBIA	14	-	35401510	0.00382932	7
PSME1	14	+	24138769	0.00687285	2
RNASE6	14	+	20782327	0.0114286	2
SIPA1L1	14	+	71739322	0.0124224	1
OAZ2	15	-	64687572	0.00163265	2
PKM	15	-	72199028	0.000351062	4
SERF2	15	+	43794046	0.0549451	15
AC120114.4	16	+	29819925	0.0292398	5
ATP6V0C	16	+	2520080	0.00895522	3
CKLF	16	+	66565902	0.000712504	2
CKLF-CMTM1	16	+	66565902	0.000712504	2
COTL1	16	-	84565593	0.011191	14
COX4I1	16	+	85805969	0.00234192	2
MEFV	16	-	3242027	0.000384025	2
NSMCE1	16	-	27224990	0.000118892	2
PAGR1	16	+	29819925	0.0292398	5
PYCARD	16	-	31201484	0.02	2
RPL13	16	+	89562389,89563114	0.00571555,0.00738239	4,5
RPS2	16	-	1962051	0.00648866	10
AC087289.3	17	-	75898644	0.00109639	12
AC120057.2	17	-	7240426	0.0160128	20
AC134669.1	17	-	31305212	0.000338409	3
ACTG1	17	-	81509970	0.0111266	8
CD300E	17	-	74609886	0.000723066	2
COPS3	17	-	17246819	6.82058e-05	2
CSNK1D	17	-	82239022	0.00209864	2
DDX5	17	-	64499615	0.000431965	2
EIF1	17	+	41691145	0.0250784	8
EVI2B	17	-	31303765	0.00603622	3
GAS7	17	-	9910608	0.00030216	1
MAP3K3	17	+	63658003	0.000367715	2
MRPL38	17	-	75898642	0.0386473	8
NME1-NME2	17	+	51171703	0.0102041	1
NME2	17	+	51171703	0.0102041	1
NT5C	17	-	75130224	0.00514139	3
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.016129	4
RPL26	17	-	8377515,8379788	0.00440581,0.0268387	13,23
RPL27	17	+	43002888	0.00190892	7
TIAF1	17	-	29073520	0.0060423	2
AC018755.2	19	-	51612090	0.0428571	6
ASNA1	19	+	12748214	0.0181818	2
C19orf38	19	+	10869503	0.0147059	2
EEF2	19	-	3976055	0.00401606	1
FTL	19	+	48966878	0.181818	26
GMFG	19	-	39328352	0.0125912	9
GMIP	19	-	19629475	0.00410678	2
GPX4	19	+	1106660	0.0350877	4
HNRNPL	19	-	38836387	0.000381971	2
HSH2D	19	+	16151629	0.0204082	1
IFI30	19	+	18178068	0.0828025	13
LSM7	19	-	2321516	0.000441404	2
MYDGF	19	-	4657544	0.00434783	2
PLD3	19	+	40378347	0.0172414	3
RPL18	19	-	48615327,48615848	0.00407035,0.00457877	5,4
RPL28	19	+	55388049,55388355	0.0735144,0.00980539	2,3
RPL36	19	+	5691691	0.0110497	2
RPS11	19	+	49499605	0.032605	5
RPS15	19	+	1440480	0.0186335	3
RPS16	19	-	39433206	0.00977199	2
RPS9	19	+	54207579,54207522	0.0384566,0.00626959	6,6
SIGLEC5	19	-	51611926	0.00657895	2
STX10	19	-	13144057	0.000361664	2
TYROBP	19	-	35904400	0.0327415	18
UBA52	19	+	18575233	0.0240964	2
AC068547.1	2	-	151802650	2.9853e-05	2
ARPC2	2	+	218254108	0.0103627	2
CCDC142	2	-	74471985	0.00247219	1
COPS9	2	-	240130825	0.0133333	3
DPY30	2	-	32023891	0.010274	3
IL1B	2	-	112829750	0.00327869	2
MRPL53	2	-	74471957	0.0114943	2
POLE4	2	+	74969516	0.0212766	2
PTMA	2	+	231712441,231712749	0.00283786,0.00307811	2,4
TMSB10	2	+	84906646	0.0941704	21
VAMP8	2	+	85581694	0.0175439	2
ZFP36L2	2	-	43222401	0.00206795	3
DPM1	20	-	50934866	0.00754717	2
MMP9	20	+	46016447	0.0253165	2
RGS19	20	-	64073180	0.00446429	3
RPS21	20	+	62388467	0.00807266	5
SLA2	20	-	36612317	0.00363416	6
TGIF2-RAB5IF	20	+	36612259	0.0432692	9
TMEM230	20	-	5099839	0.00210305	2
ITGB2	21	-	44885952	0.000189421	4
AC253536.7	22	-	23971377	0.017341	2
BID	22	-	17734137	0.00076118	4
CHCHD10	22	-	23765833	0.00571429	2
DDT	22	-	23971364	0.016129	3
DDTL	22	+	23972480	0.00372439	4
DDX17	22	-	38483439	0.000801603	2
TSPO	22	+	43163177	0.0483871	9
ARL6IP5	3	+	69104918	0.0070922	2
CGGBP1	3	-	88051943	0.000566733	2
CLEC3B	3	+	45035963	0.0512821	2
GPX1	3	-	49357170	0.0394309	31
HCLS1	3	-	121631398	0.00447427	2
NDUFAF3	3	+	49023494	0.00621118	1
RPL35A	3	+	197954140	0.00176991	5
CCNI	4	-	77047157	0.00188501	2
H2AFZ	4	-	99948087	0.00534759	1
RPS3A	4	+	151104285,151104631,151104151	0.0753871,0.0115616,0.0688664	3,4,11
BTF3	5	+	73505428	0.0421053	8
CD14	5	-	140631727	0.015625	2
CD74	5	-	150401636	0.0113772	19
DUSP1	5	-	172768089	0.0372024	25
GPBP1	5	+	57262892	0.0142857	2
HNRNPH1	5	-	179614177	0.000257301	2
RAB24	5	-	177301450	0.0136986	4
RACK1	5	-	181236908	0.000872249	5
SQSTM1	5	+	179823392	0.0874232	31
TNIP1	5	-	151029944	0.000837054	3
ABRACL	6	+	139043073	0.0176471	3
AIF1	6	+	31617008	0.0277778	3
ATP6V1G2-DDX39B	6	-	31530218,31530612	0.000750297,9.95485e-05	8,1
CD164	6	-	109366513	0.00210708	4
CLIC1	6	-	31730580	0.0114943	3
DDX39B	6	-	31530218,31530612	0.00969841,0.0028347	8,1
HLA-A	6	+	29945647	0.0520833	10
HLA-B	6	-	31353871	0.0294599	18
HLA-C	6	-	31268748	0.00513834	13
HLA-DMB	6	-	32934628	0.00877193	3
HLA-DQA2	6	+	32746414,32746582	0.094039,0.00595329	1,1
HLA-DRA	6	+	32445045	0.0229075	26
HLA-DRB1	6	-	32578768	0.0434783	14
HLA-DRB5	6	-	32517342	0.00505051	2
HSP90AB1	6	+	44253717	0.0168067	2
HSPA1A	6	+	31817801	0.0168067	2
LST1	6	+	31588834	0.0200803	5
LY86	6	+	6654734	0.0186916	1
PSMB8	6	-	32840716	0.00826446	2
TAPBP	6	-	33299693	0.000968054	2
TOMM6	6	+	41789666	0.00887574	3
AC004922.1	7	+	99394653	0.0344828	19
ACTB	7	-	5527146,5527292	0.0304678,0.000669047	57,1
ARF5	7	+	127591495	0.0663265	13
ARPC1B	7	+	99394760	0.070711	22
BRI3	7	+	98291426	0.0163934	3
CHCHD2	7	-	56101568	0.0106383	3
DNAJB6	7	+	157386126	0.00416667	2
GNB2	7	+	100678990	0.010582	2
MRPS24	7	-	43866557	0.0141844	2
URGCP-MRPS24	7	-	43866557	0.000823723	2
DOK2	8	-	21908872	0.00456621	2
NAPRT	8	-	143574784	0.00527704	2
RPL30	8	-	98041720,98042643	0.0616333,0.000974446	17,2
RPL8	8	-	144789765	0.0119216	13
RPS20	8	-	56072946	0.00405954	3
VPS28	8	-	144423600	0.00123916	3
DCTN3	9	-	34613544	0.00374532	2
DPP7	9	-	137110541	0.000584795	2
FCN1	9	-	134909584	0.0469484	10
KLF4	9	-	107484851	0.00222469	2
NUP214	9	+	131233540	0.030314	4
RPL35	9	-	124857879	0.00679117	4
SSNA1	9	+	137190094	0.0111111	2
FLNA	X	-	154348523	0.000185586	3
RPL36A	X	+	101395412	0.00120228	4
RPL39	X	-	119786505	0.0561798	10
SAT1	X	+	23786124	0.0335821	9
SMS	X	+	21994481	0.0230769	3
TMSB4X	X	+	12977221	0.136585	56
TSC22D3	X	-	107713220	0.00693374	9
