AC114490.2	1	-	34981532	0.00167434	4
AKR7A2	1	-	19303964	0.00647249	2
ALDH9A1	1	-	165662215	0.00359712	3
ARHGAP30	1	-	161046947	0.00521512	4
ARHGEF2	1	-	155946850	0.000500626	1
ATP1A1	1	+	116404684	0.0166667	4
ATP5IF1	1	+	28237950	0.00133869	2
ATP5PB	1	+	111461144	0.0266667	4
BATF3	1	-	212686417	0.0080429	3
C1orf162	1	+	111478380	0.0466926	12
C1orf43	1	-	154206695	0.000254485	2
CCT3	1	-	156308967	7.10757e-05	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320512	0.0761905	16
CDA	1	+	20618689	0.0165289	2
CDC42	1	+	22090010	0.000296384	3
CTSS	1	-	150730195	0.000339539	6
DRAM2	1	-	111117332	0.00241838	2
ENO1	1	-	8860999	0.00170189	12
FCER1G	1	+	161219244	0.0863787	26
FUBP1	1	-	77948404	0.0042735	2
GBA	1	-	155234451	0.00368324	2
GNB1	1	-	1785284	0.00146628	3
GNG5	1	-	84498324	0.00276263	9
GUK1	1	+	228148837	0.0142857	2
H3F3A	1	+	226071827	0.0517241	18
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851600	0.0638298	5
HNRNPU	1	-	244840637	0.000101528	1
JAK1	1	-	64833228	0.00150038	2
JUN	1	-	58780787	0.00227963	2
LAPTM5	1	-	30732468	0.00809419	11
LSM10	1	-	36393429	0.00609756	2
MINOS1	1	+	19626532	0.0305344	4
MNDA	1	+	158849397	0.025	4
MRPL20	1	-	1401907	0.0114286	2
NCF2	1	-	183555562	0.0179858	9
NUDC	1	+	26946333	0.0131579	2
PARK7	1	+	7985150	0.0208333	2
PFDN2	1	-	161100555	0.015748	2
PRDX1	1	-	45511035	0.0102389	3
PTAFR	1	-	28147165	0.000707464	2
RNPEP	1	+	202005890	0.0114943	2
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991675,153992038,153992154	0.237238,0.00275628,0.0652174	23,1,6
RUNX3	1	-	24899510	0.00076599	2
S100A11	1	-	152032505	0.0512821	8
S100A4	1	-	153543612	0.0684932	10
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153360990	0.0986842	15
SH3BGRL3	1	+	26281363	0.0894737	34
SNRPE	1	+	203869985	0.0377358	2
SSR2	1	-	156009047	0.000490918	5
TAGLN2	1	-	159918106	0.011544	8
TMEM35B	1	-	34981534	0.00977995	4
TMEM50A	1	+	25360915	0.00952381	2
TPM3	1	-	154155303,154156457	0.000377754,0.000431678	6,7
TXNIP	1	-	145992434	0.00635593	9
UBAP2L	1	+	154263282	0.0153846	2
UBXN11	1	-	26281327	0.0144181	14
UQCRH	1	+	46316732	0.0331476	7
YBX1	1	+	42702346	0.00675344	8
AL360181.3	10	+	133420467	0.0430464	13
ALOX5	10	+	45445847	0.0125	2
BBIP1	10	-	110898729	0.000844951	2
FUOM	10	-	133355153	0.0057971	2
GDI2	10	-	5765222	0.00707547	6
GLUD1	10	-	87050485	0.00158103	2
LIPA	10	-	89213568	0.00317712	3
MRPL43	10	-	100981375	0.000823384	2
MTG1	10	+	133420467	0.0430464	13
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000919287	5
PIK3AP1	10	-	96593311	0.000883002	2
PRDX3	10	-	119167702	0.002574	2
PSAP	10	-	71816297	0.0201225	23
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040225,78040672	0.0902297,0.0678057	2,4
SRGN	10	+	69104725	0.0694215	42
VDAC2	10	+	75231225	0.00847458	2
VIM	10	+	17237564	0.0549799	39
VSIR	10	-	71747558	0.00433135	16
AP001931.1	11	+	57742248,57743168	0.0612492,0.00326106	1,3
AP002990.1	11	-	62559602	0.00639895	95
ATP5MG	11	+	118409238	0.0308173	12
BRMS1	11	-	66337332	0.000542888	2
CARD16	11	-	105041522	0.000998502	2
CCDC73	11	-	32602245	0.00353982	2
CFL1	11	-	65854674	0.0514085	33
COX8A	11	+	63976486	0.0180723	3
CTSD	11	-	1752751	0.00232558	5
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592475	0.0115607	2
EIF4G2	11	-	10797049	0.0117493	9
FAM168A	11	-	73400486	0.000425894	3
FAM89B	11	+	65573913	0.0771721	18
FAU	11	-	65120627,65120928	0.148438,0.0337478	19,19
FERMT3	11	+	64223718	0.0132743	3
HSPA8	11	-	123057488	0.0571429	14
KAT5	11	+	65719356	0.0114286	2
LMO2	11	-	33858575	0.000802955	5
LTBP3	11	-	65538804	0.000128601	2
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.000479463	3
MTRNR2L8	11	-	10507886	0.0113208	3
NDUFS8	11	+	68036498	0.00409277	3
NDUFV1	11	+	67612381	0.0121457	3
PICALM	11	-	85957683	3.08923e-05	1
PITPNM1	11	-	67491767	0.00754717	2
PPP1CA	11	-	67398182	0.0170455	6
PRDX5	11	+	64321753	0.0322581	2
PSMA1	11	-	14504875	0.00949367	3
RNH1	11	-	494511	0.0012755	7
RPL27A	11	+	8685691	0.0774282	24
RPS25	11	-	119015711,119015814,119017335	0.0101824,0.0596903,0.012797	6,14,7
SELENOH	11	+	57742924	0.0482377	4
SIPA1	11	+	65650800	0.0352941	3
SLC15A3	11	-	60937083	0.00238949	1
SNX15	11	+	65039859	0.0447761	3
SPI1	11	-	47354859	0.0240385	15
SSSCA1	11	+	65573813	0.0742396	10
UBXN1	11	-	62676497	0.00909091	2
UCP2	11	-	73974666	0.0121655	5
AC006064.6	12	-	6556885	0.000136227	3
AC048338.1	12	-	122207778	0.000755002	8
ARHGDIB	12	-	14942016	0.0257426	13
ARL6IP4	12	+	122982913	0.00351185	4
ARPC3	12	-	110434824	0.0363636	12
ATG101	12	+	52077362	0.0116279	2
ATP5F1B	12	-	56638178	0.0208333	3
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1-RDH5	12	+	55719526	0.00240385	1
CCDC65	12	+	48919823,48921575	7.65906e-05,0.000654693	1,10
CHPT1	12	+	101727036	0.00327332	2
CLEC12A	12	+	9985595	0.00351494	1
CLEC7A	12	-	10116776	0.000203397	2
COX14	12	+	50120406	0.015873	3
COX6A1	12	+	120440641	0.0288462	3
DYNLL1	12	+	120498474	0.0233236	8
GALNT4	12	-	89519407	0.000587372	2
GAPDH	12	+	6538272	0.0784314	8
HSP90B1	12	+	103947799	0.00970874	3
KMT2D	12	-	49018974	0.000713012	2
LRRK2	12	+	40303614	0.00110335	3
LYZ	12	+	69354231	0.121542	123
MYL6	12	+	56161558	0.0404252	8
NACA	12	-	56712427,56712774	0.026087,0.0332952	3,25
NDUFA12	12	-	94971331	0.000156262	4
NOP2	12	-	6556862	0.00257511	3
PFDN5	12	+	53298151,53299378	0.00146216,0.0454506	2,8
POC1B-GALNT4	12	-	89519407	0.000472032	1
PTPN6	12	+	6961241	0.0132626	5
RPL41	12	+	56117822	0.372483	111
RPLP0	12	-	120196685,120197279	0.0384615,0.00428848	8,8
SELPLG	12	-	108622276	0.00252525	2
SRSF9	12	-	120461667	0.00159033	5
TMBIM6	12	+	49763405	0.00392927	1
TPI1	12	+	6870654	0.0184502	5
TUBA1A	12	-	49184795	0.0280374	6
TUBA1B	12	-	49127781	0.00282943	6
UBC	12	-	124911603	0.0272727	3
LCP1	13	-	46125919	0.00658288	11
NUP58	13	+	25303403	0.00759494	3
POLR1D	13	+	27623303	0.0377358	2
ACTN1	14	-	68874142	0.0027933	2
AL132780.3	14	-	22946269	0.0196078	5
DEGS2	14	-	100143956	0.00069735	2
ERH	14	-	69380122	0.00481928	2
HAUS4	14	-	22946227	0.016835	5
HSP90AA1	14	-	102082664	0.000733945	2
NEDD8	14	-	24216851	0.00234926	3
NFKBIA	14	-	35401510	0.00601751	11
PLD4	14	+	104933103	0.0215827	3
PNN	14	+	39182090	0.0132159	3
PSME1	14	+	24138967	0.0102249	5
PSME2	14	-	24143364	0.00238708	5
RNASE6	14	+	20782375	0.0134529	3
RNF31	14	+	24158600,24160659	0.000199094,0.00110356	1,9
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.00131579	3
SYNJ2BP-COX16	14	-	70326063	0.0223048	6
TNFAIP2	14	+	103128112	0.00298507	2
AC107871.1	15	-	68184031	0.00019232	3
AC245033.1	15	-	82536787,82537454,82538303,82538877	0.0232893,0.000471933,0.000619615,0.000213868	47,7,9,3
LYSMD2	15	-	51723010	0.0033557	2
NOP10	15	-	34341712	0.0355872	10
OAZ2	15	-	64687572	0.00326531	4
PIAS1	15	+	68193843	0.000479846	3
PLCB2	15	-	40287906	0.00371287	3
PSMA4	15	+	78548968	0.0124224	1
RPS17	15	-	82536749,82538302	0.0102183,0.0899275	16,48
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43794022	0.0923695	23
ST20-MTHFS	15	-	79845149	0.05	3
AC120114.4	16	+	29819975	0.0361991	8
ALDOA	16	+	30070414	0.0637584	19
ANKS3	16	-	4696509	0.000231367	7
ATP6V0C	16	+	2520015	0.118519	32
BOLA2B	16	-	30192933	0.0047619	2
CKLF	16	+	66565943	0.00248228	7
CKLF-CMTM1	16	+	66565943	0.00248228	7
CORO1A	16	+	30189038	0.027027	2
COTL1	16	-	84565593	0.02398	29
COX4I1	16	+	85806805	0.00990099	3
EIF3C	16	+	28735608	0.0315789	3
FOPNL	16	-	15865719	0.000141643	1
MARF1	16	-	15594385	0.000108962	2
METTL26	16	-	634426	0.00625	3
MGRN1	16	+	4690974	0.000212382	2
MRPS34	16	-	1771889	0.0060423	2
NDUFAB1	16	-	23581001	0.000137174	2
NDUFB10	16	+	1961897	0.0122699	2
