CD52	1	+	26320444	0.0211268	3
ESPN	1	+	6461285	0.02	2
H3F3A	1	+	226071604	0.016	2
HIST2H2AA4	1	+	149851623	0.025641	3
MCL1	1	-	150574550	0.000708215	2
NADK	1	-	1751231	0.00119617	2
POU3F1	1	-	38044610	0.003861	3
RPAP2	1	+	92396895	0.000202347	2
RPS27	1	+	153991674,153992114	0.0879159,0.0376513	8,4
MRPL43	10	-	100981375	0.000823384	2
NDUFB8	10	-	100526396	0.00153984	4
PRF1	10	-	70597347	0.00992908	7
AP002990.1	11	-	62559602,62560011	0.00152559,7.83017e-05	22,1
CORO1B	11	-	67435509	0.00171953	9
ETS1	11	-	128458760	0.000529381	2
FAU	11	-	65120627	0.00646103	5
FERMT3	11	+	64223590	0.0204082	1
IFITM1	11	+	315163	0.04	2
IFITM2	11	+	315163	0.04	2
LAMTOR1	11	-	72097291	0.00181159	2
PTPRCAP	11	-	67435509	0.0269058	6
RBM4B	11	-	66668970	0.00100959	2
RPS25	11	-	119015711,119017205	0.0013509,0.012304	3,8
SCYL1	11	+	65538701	0.00145349	3
SSRP1	11	-	57325984	0.00473934	2
UBXN1	11	-	62676497	0.00909091	2
AEBP2	12	+	19553104	0.0152672	2
ARPC3	12	-	110434824	0.00909091	3
BIN2	12	-	51281037	0.00650759	3
CD69	12	-	9752485	0.0190691	18
NACA	12	-	56712427	0.0044405	5
RPL41	12	+	56117703,56117827	0.0991019,0.0404646	17,12
RPLP0	12	-	120196685	0.00148644	4
ALOX5AP	13	+	30764270	0.0182927	3
RPL21	13	+	27256333,27256520	0.0252521,0.0341493	3,8
AL928654.3	14	+	105488732	0.00904977	2
CALM1	14	+	90404883	0.00464037	2
CRIP1	14	+	105488732	0.00904977	2
DEGS2	14	-	100143956	0.00244073	7
NFKBIA	14	-	35401510	0.00656455	12
PPP2R5C	14	+	101921320	0.0222222	2
HYPK	15	+	43801807	0.00881057	2
AC120114.4	16	+	29819846	0.0217391	2
ALDOA	16	+	30070264	0.0202703	3
CORO7	16	-	4354541	3.26637e-05	2
CORO7-PAM16	16	-	4340250	0.000139386	3
IL32	16	+	3069535	0.0222222	4
NOMO3	16	+	16253116	0.00052567	3
PAGR1	16	+	29819846	0.0217391	2
PAM16	16	-	4340247	0.00242326	3
PSMB10	16	-	67934501	0.015873	2
RPL13	16	+	89562388,89563227	0.0998849,0.0316126	12,13
RPS2	16	-	1962051,1962594	0.0842105,0.0026178	16,3
AC120057.2	17	-	7240426	0.00560448	6
ACTG1	17	-	81509970	0.00278164	2
CCL5	17	-	35871490	0.00225734	1
DDX5	17	-	64499615	0.00151188	7
EIF1	17	+	41691168	0.00584795	2
EIF4A1	17	+	7578631	0.0344828	5
NME1-NME2	17	+	51171600	0.0752688	7
NME2	17	+	51171600	0.0752688	7
RPL26	17	-	8377515,8379710	0.0860215,0.0237358	8,23
USP36	17	-	78787380	0.00045294	5
PMAIP1	18	+	59902959	0.00970874	1
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.00803213	3
FTL	19	+	48966845	0.0272727	3
GPX4	19	+	1106636	0.0222222	2
JUNB	19	+	12793197	0.0489952	18
