ADAR	1	-	154582056	0.000255004	2
ATP5PB	1	+	111461141	0.0272109	4
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.00980392	3
CSF3R	1	-	36466042	0.00636943	2
CTSS	1	-	150730195	0.000160271	2
DDOST	1	-	20651766	0.00816993	5
FCER1G	1	+	161219109	0.0361446	6
GNG5	1	-	84498324	0.00141429	4
GUK1	1	+	228148883	0.016129	3
IFI6	1	-	27666060	0.021875	7
IVNS1ABP	1	-	185296387	0.00121433	2
LAPTM5	1	-	30732468	0.00441501	6
MCL1	1	-	150574550	0.00176275	4
MNDA	1	+	158849497	0.0346154	9
NCF2	1	-	183555562	0.00537435	2
PHC2	1	-	33323622	0.00161031	2
PRG4	1	+	186314388	0.00327869	2
PTGS2	1	-	186671790	0.00234192	6
RNPEP	1	+	202005952	0.00847458	2
RPS27	1	+	153991674,153992097	0.037912,0.0541537	3,4
S100A10	1	-	151982914	0.0241935	6
S100A11	1	-	152032505	0.025641	4
S100A4	1	-	153543612	0.0547945	8
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.0985915	6
S100A9	1	+	153361022	0.788043	145
TSNAX-DISC1	1	+	231578508	0.000230163	4
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0030896	3
GDI2	10	-	5765222	0.00235849	2
ITGB1	10	-	32900318	0.000243487	2
NCOA4	10	-	46005087	0.000492732	2
PSAP	10	-	71816297	0.00437445	5
RPS24	10	+	78040657	0.0444433	2
SRGN	10	+	69104671	0.0362976	20
VIM	10	+	17237460,17237589	0.12477,0.077712	31,30
AP001931.1	11	+	57742921	0.00284091	2
AP002990.1	11	-	62559602	0.00068716	10
APLP2	11	+	130121989	0.00315209	4
ATP5MG	11	+	118409113	0.0379718	7
BSCL2	11	-	62690274	0.00535236	5
CCDC73	11	-	32602245	0.00353982	2
CTSD	11	-	1752751	0.00465116	10
FAU	11	-	65120627,65120965	0.0606061,0.013308	10,7
FERMT3	11	+	64223639	0.0136054	2
HNRNPUL2-BSCL2	11	-	62690274	0.000353523	6
HSPA8	11	-	123057488	0.00816327	2
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.000940632	5
RPS25	11	-	119015711	0.00359551	8
SELENOH	11	+	57742921	0.00284091	2
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.00641026	4
TALDO1	11	+	765010	0.00835421	4
TMEM123	11	-	102396331	0.000788955	2
AC023055.1	12	-	55757274	0.00843882	1
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.0272727	9
ATP5MC2	12	-	53665165	0.0202703	3
CLEC7A	12	-	10116776	0.000305095	3
GAPDH	12	+	6538351	0.0607735	11
LTA4H	12	-	96000827	0.000370749	8
LYZ	12	+	69354120,69354233	0.015521,0.134138	13,136
MAP3K12	12	-	53479668	0.00132188	2
MYL6	12	+	56161572	0.0423152	9
NACA	12	-	56712427,56712728	0.00699321,0.00984597	7,8
PTPN6	12	+	6961255	0.00767263	3
RPL41	12	+	56117788	0.125	33
TNFRSF1A	12	-	6328756	0.000426167	1
LCP1	13	-	46125919	0.00239378	4
RPL21	13	+	27256331,27256606	0.0416251,0.0109241	6,4
CALM1	14	+	90404980	0.00568182	3
FOS	14	+	75280371	0.0162602	2
IRF9	14	+	24166276	0.0375	3
LGALS3	14	+	55145338	0.0298507	2
RNASE6	14	+	20782290	0.0144928	2
ZFP36L1	14	-	68787659	0.00106082	3
AC245033.1	15	-	82536787,82538236	0.000385967,0.000211312	6,3
ADPGK	15	-	72751368	6.23325e-05	1
CIAO2A	15	-	64072558	0.00016977	3
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000175531	2
PPIB	15	-	64155811	0.00947867	2
RPS17	15	-	82536749,82538198	0.00141809,0.00462647	3,5
SERF2	15	+	43794018	0.0367347	9
SQOR	15	+	45691137	0.0186916	1
ALDOA	16	+	30070348	0.0431034	10
ATP6V0C	16	+	2520031	0.013986	4
COTL1	16	-	84565593	0.00719424	9
COX4I1	16	+	85806805	0.00660066	2
HERPUD1	16	+	56943463	0.00890208	3
MSRB1	16	-	1938209	0.00131191	4
NDUFAB1	16	-	23581001	0.000137174	2
NPRL3	16	-	85385	5.04859e-05	2
RPL13	16	+	89562388,89563153	0.134737,0.0619814	16,24
RPS2	16	-	1962051,1962429	0.124183,0.0114416	19,15
AC026954.2	17	-	7312660	0.00173732	5
AC120057.2	17	-	7240426	0.0160128	20
ACTG1	17	-	81509970	0.0278164	20
ASGR1	17	-	7173430	0.00380228	2
ATP5PD	17	-	75039017	0.00300903	3
CD300E	17	-	74609886	0.00144613	4
COPS3	17	-	17246819	0.000102309	3
CTDNEP1	17	-	7243590	0.00505051	3
DDX5	17	-	64499615	0.00151188	7
DHX58	17	-	42101403	0.00222965	2
EIF1	17	+	41691285	0.0174292	8
EIF4A1	17	+	7578587	0.029703	3
EVI2A	17	-	31317559	0.00269179	2
EVI2B	17	-	31303765	0.00402414	2
IFI35	17	+	43014409	0.0272727	3
NDEL1	17	+	8467047	0.0181818	2
NME1-NME2	17	+	51171742	0.0553191	13
NME2	17	+	51171742	0.0553191	13
P4HB	17	-	81843158	0.000247081	4
PFN1	17	-	4945651	0.016129	4
PSMB3	17	+	38762431	0.00105485	1
RAB5C	17	-	42124975	0.00247831	2
RPL26	17	-	8377515,8379752	0.0888889,0.0248112	12,23
MYL12A	18	+	3256133	0.0186047	4
RPL17-C18orf32	18	-	49481680	0.00102369	7
AC008763.3	19	+	7682812	0.0247678	8
AC011462.1	19	+	41424819	0.014218	3
BCKDHA	19	+	41424819	0.014218	3
BST2	19	-	17402938	0.00396825	3
C19orf38	19	+	10869627	0.0230769	6
CDC37	19	-	10391133	0.00719424	3
COPE	19	-	18899890	0.000887049	3
COX6B1	19	+	35658709	0.030303	3
EEF2	19	-	3976055	0.00401606	1
FTL	19	+	48966870	0.192593	26
GMFG	19	-	39328352	0.00543974	6
IFI30	19	+	18178107	0.0408163	7
JUNB	19	+	12793271	0.0438596	20
JUND	19	-	18279759	0.0190896	13
LILRA5	19	-	54307069	0.00874636	3
LRRC25	19	-	18391143	0.00237248	2
MAN2B1	19	-	12646512	0.0280374	3
MAP2K2	19	-	4090320	0.00722022	2
MYO9B	19	+	17203404	0.00934579	1
OSCAR	19	-	54094667	0.0029703	3
RABAC1	19	-	41956680	0.0097561	2
RPL18	19	-	48615327,48615802,48616004	0.00421116,0.0930037,0.00451901	2,12,3
RPL28	19	+	55388047,55388429,55403229	0.163316,0.0130663,0.0204082	5,5,1
RPS11	19	+	49499663	0.0586068	14
RPS15	19	+	1440479	0.0295525	3
RPS16	19	-	39433206	0.0162866	5
RPS19	19	+	41869192	0.00303318	16
RPS28	19	+	8322331	0.0312623	2
RPS9	19	+	54207639,54207522	0.135166,0.122807	35,28
TRIR	19	-	12730639	0.00232288	2
TYROBP	19	-	35904400	0.0259728	14
CALM2	2	-	47160081	0.00284576	5
