AMPD2	1	+	109632051	0.00222469	2
APH1A	1	-	150265398	0.00178094	2
ARHGAP30	1	-	161048789	0.000263667	2
C1orf162	1	+	111478391	0.00746269	2
C1orf43	1	-	154206695	0.000381728	3
C1QA	1	+	22639505	0.0204082	1
CAPZB	1	-	19338775	0.00125439	5
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320447	0.0758621	11
CDA	1	+	20618783	0.0139535	3
CTSS	1	-	150730195	0.00016977	3
DAP3	1	+	155738345	0.0133333	2
DDOST	1	-	20651766	0.0147059	9
ENO1	1	-	8860999	0.000850943	6
FCER1G	1	+	161219244	0.0531561	16
FCGR3A	1	-	161541758	0.0207502	26
GBP1	1	-	89052318	0.0019305	2
GNAI3	1	+	109618321	7.66636e-05	2
GNG5	1	-	84498324	0.00170034	5
GUK1	1	+	228148925	0.0131579	3
HENMT1	1	-	108648289	0.00724638	2
IFI16	1	+	159054988	0.0229885	2
IVNS1ABP	1	-	185296387	0.00182149	3
JAK1	1	-	64833228	0.00225056	3
JTB	1	-	153974268	0.00487805	2
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00956586	13
MCL1	1	-	150574550	0.00318434	8
NADK	1	-	1751231	0.00119617	2
PARK7	1	+	7985197	0.020979	3
PRDX1	1	-	45511035	0.0136519	4
RHOC	1	-	112701105	0.00433463	10
RNPEP	1	+	202005832	0.0172414	2
RPS27	1	+	153991673,153992152	0.234694,0.0652174	23,6
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0241935	6
S100A11	1	-	152032505	0.0641026	10
S100A4	1	-	153543612	0.123288	18
SORT1	1	-	109369529	7.2015e-05	2
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.00865801	6
TMEM56-RWDD3	1	+	95247037	0.0299401	5
TPM3	1	-	154155303,154156594,154160383,154160768	0.00191715,0.00090153,9.30867e-05,0.000111807	34,14,1,1
TXNIP	1	-	145992434	0.0049435	7
UBR4	1	-	19111639	0.000893256	2
UBXN11	1	-	26281327	0.00720906	7
UQCRH	1	+	46316605	0.000313922	1
USP24	1	-	55071272	0.0186335	3
WASF2	1	-	27404225	0.000504668	2
YBX1	1	+	42702310	0.00616646	7
ZMYM6	1	-	35017243	0.000988142	1
ALOX5	10	+	45445890	0.00985222	2
ATP5F1C	10	+	7807720	0.0027027	2
GDI2	10	-	5765222	0.00707547	6
NCOA4	10	-	46005087	0.000985464	4
PRDX3	10	-	119167702	0.002574	2
PSAP	10	-	71816297	0.0215924	24
RGS10	10	-	119499827	0.0105263	3
RPS24	10	+	78040225,78040660	0.088779,0.0425532	8,2
SRGN	10	+	69104632	0.0136719	7
VCL	10	+	74074541	0.000775996	3
