AL139011.2	1	-	160216799	4.29074e-05	2
AL713999.1	1	-	155169408	0.00360083	14
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320523	0.00904977	2
H3F3A	1	+	226071622	0.013986	2
JUN	1	-	58780787	0.001554	2
LCK	1	+	32286044	0.0121951	4
MARCKSL1	1	-	32333831	0.00392157	3
PRDM2	1	+	13743420	0.00166994	2
RPL11	1	+	23696300	0.000460617	2
RPS27	1	+	153991675,153992116	0.0859122,0.0372144	8,5
S100A10	1	-	151982914	0.0120968	3
S100A4	1	-	153543612	0.0205479	3
SSU72	1	-	1541672	0.00508906	2
SYNC	1	-	32680359	0.00134228	2
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.00411946	4
AL360181.3	10	+	133420339	0.0689655	12
MTG1	10	+	133420339	0.0689655	12
NDUFB8	10	-	100523936	0.000551572	3
VIM	10	+	17236430	0.00192864	2
AP002990.1	11	-	62559602	0.00146054	21
ATP5MG	11	+	118409085	0.0327842	6
CFL1	11	-	65854674	0.00907716	6
CORO1B	11	-	67435509	0.00706916	37
COX8A	11	+	63976479	0.00628931	1
CTSW	11	+	65883740	0.00829876	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120903	0.0485437,0.00510204	5,2
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315272	0.0880503	13
IFITM2	11	+	315272	0.0880503	13
PTPRCAP	11	-	67435509	0.103139	23
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017341	0.00246036,0.0143261	5,8
RPS3	11	+	75404797,75405613	0.0638768,0.0420468	14,14
AC073610.2	12	-	48921962	0.00921659	2
BIN2	12	-	51281037	0.00433839	2
CD69	12	-	9752485	0.00201005	2
DENR	12	+	122769366	0.00694444	2
FKBP11	12	-	48921958	0.000747105	2
GAPDH	12	+	6538252	0.0243902	2
NACA	12	-	56712427,56712718	0.00635125,0.00460898	7,3
NOP2	12	-	6563907	0.000874126	2
RPL41	12	+	56117942	0.119617	50
RPLP0	12	-	120196685	0.00218443	5
SELPLG	12	-	108622276	0.00252525	2
TUBA1A	12	-	49184795	0.0140187	3
ERCC5	13	+	102853690	0.00191571	3
POLR1D	13	+	27623325	0.0266667	2
RPL21	13	+	27256333,27256511	0.0283607,0.0508225	4,11
FAM177A1	14	+	35079012	0.000212711	6
FOS	14	+	75280374	0.015873	2
NEDD8	14	-	24216851	0.00156617	2
NFKBIA	14	-	35401510	0.00109409	2
PRPF39	14	+	45096543	0.036036	4
PSME1	14	+	24138760	0.0070922	2
RPS29	14	-	49583571	0.0210526	2
SYNJ2BP-COX16	14	-	70326063	0.0334572	9
AC245033.1	15	-	82536787,82538289	0.00032441,0.000142762	5,2
LTK	15	-	41503637	0.0111732	4
PARP6	15	-	72241180	0.000118029	2
RPS17	15	-	82536749,82538251	0.00139424,0.00216948	3,2
SERF2	15	+	43793994	0.0226244	5
AMFR	16	-	56361451	0.00343171	5
RPL13	16	+	89562391,89562980,89563263	0.0556001,0.145561,0.00707124	7,32,2
RPS15A	16	-	18781294,18784735,18788060	0.00203436,0.147299,0.090407	7,18,7
RPS2	16	-	1962051,1962481	0.0829268,0.00953137	17,12
SOCS1	16	-	11254404	0.00684932	3
ZNF785	16	-	30573739	0.000340136	3
AC120057.2	17	-	7240426	0.00160128	1
ACTG1	17	-	81509970	0.00834492	6
C1QBP	17	-	5432776	0.00840336	2
CCL5	17	-	35871490	0.00790068	7
CRLF3	17	-	30782683	0.000433897	5
EIF1	17	+	41691289	0.00431965	2
NME1-NME2	17	+	51171608,51171737	0.0813056,0.00777449	8,1
NME2	17	+	51171608,51171737	0.0813056,0.00777449	8,1
OVCA2	17	+	2043271	0.0359281	6
RPL26	17	-	8377515,8379757	0.121429,0.0422993	17,39
RPS6KB1	17	+	59911152	0.000100548	1
TAOK1	17	+	29546880	0.000518403	2
TMEM256	17	-	7402974	0.00296736	2
TP53	17	-	7665415	0.00113636	2
UNC119	17	-	28546706	0.00182482	2
MYL12B	18	+	3277999	0.0322581	2
DHPS	19	-	12675716	0.000467508	2
FTL	19	+	48966854	0.0168067	2
GMFG	19	-	39328352	0.0016116	2
HNRNPL	19	-	38836387	0.000381971	2
JUNB	19	+	12793210	0.0582278	23
KLF2	19	+	16327574	0.00359066	2
MOB3A	19	-	2071037	0.0012728	3
NDUFA11	19	-	5894674	0.000590929	4
NFIC	19	+	3462859	0.00031954	1
NKG7	19	-	51371605	0.00904977	2
RAVER1	19	-	10316211	0.00322061	4
RPL18	19	-	48615327,48615804	0.002096,0.0825194	1,16
RPL28	19	+	55388140,55388242,55392085	0.0273335,0.0177012,0.0020813	3,4,8
RPL36	19	+	5691875	0.0109589	4
RPS11	19	+	49499618	0.0450406	7
RPS15	19	+	1440429	0.0363636	4
RPS16	19	-	39433206	0.0162866	5
RPS19	19	+	41869189	0.0156394	17
RPS28	19	+	8322487	0.00728155	3
RPS9	19	+	54207577,54207522	0.0718142,0.0125392	12,12
SNRPA	19	+	40765271	0.0192308	2
ZNF528	19	+	52415249	0.0349962	3
ARPC2	2	+	218254233	0.00943396	3
CD8A	2	-	86784609	0.00305344	4
CHCHD5	2	+	112586324	0.00970874	1
CLK1	2	-	200853008	0.00104213	7
CXCR4	2	-	136114348	0.0173077	9
DPP4	2	-	161993282	3.74174e-05	2
DUSP2	2	-	96143165	0.00304414	2
METTL5	2	-	169811756	0.000256148	2
OST4	2	-	27070471	0.0022805	2
PTMA	2	+	231712440,231712767	0.00428802,0.00341723	4,4
RPL37A	2	+	216500031,216501383	0.0592385,0.0228683	4,2
SLC4A10	2	+	161902335	0.044	11
SSB	2	+	169811862	0.0188679	2
TMSB10	2	+	84906635	0.0518868	11
WDSUB1	2	-	159235792	0.00833333	2
ZFP36L2	2	-	43222401	0.0010433	2
DSTN	20	+	17605416	0.0209059	6
NXT1	20	+	23354564	0.02	2
RPS21	20	+	62388307,62388469	0.00533684,0.0114162	2,8
UCKL1	20	-	63939828	0.00233645	1
HMGN1	21	-	39342314	0.000387597	2
ITGB2	21	-	44885952	9.47104e-05	2
S100B	21	-	46598961	0.0102029	4
AP000350.4	22	+	23895127	0.0322581	2
ABHD14B	3	-	51968509	0.0015163	2
RPL29	3	-	51993521	0.00972898	14
RPL35A	3	+	197954139	0.00760135	9
RPSA	3	+	39412432	0.03125	2
SELENOK	3	-	53884409	0.00136054	1
TAMM41	3	-	11790441	0.000159869	8
TMA7	3	+	48444039	0.0127389	2
RPS3A	4	+	151104287,151104652	0.145833,0.0552486	7,10
BTF3	5	+	73505466	0.0263158	6
C5orf58	5	+	170251763	0.0277778	3
CAMK4	5	+	111395299,111395299	0.0124334,0.0124334	7,7
DUSP1	5	-	172768089	0.028234	18
GZMK	5	+	55034039	0.0176991	2
HNRNPH1	5	-	179614177	0.00231571	18
NPM1	5	+	171410705	0.0285714	4
NSA2	5	+	74776693	0.047619	2
RACK1	5	-	181236908	0.00121556	8
SKP1	5	-	134148934	8.06159e-05	2
CCNC	6	-	99542379	0.000105009	2
HLA-A	6	+	29945624	0.0236686	4
HLA-B	6	-	31353871	0.0212766	13
HLA-C	6	-	31268748	0.00513834	13
HLA-E	6	+	30494126	0.00323625	5
RPS10	6	-	34417453	0.00274348	1
AC105052.3	7	-	102637048	0.000206313	6
ACTB	7	-	5527146	0.0152792	29
H2AFV	7	-	44834924	0.00714286	4
