AC093423.3	1	+	89870191	0.000301511	8
ATP1A1	1	+	116404676	0.00862069	2
C1orf162	1	+	111478322	0.0201005	4
CD48	1	-	160678745	0.00653595	2
CD52	1	+	26320429	0.0551181	7
CDA	1	+	20618737	0.0177515	3
CDC42SE1	1	-	151050970	0.000610501	2
CTSS	1	-	150730195	0.00011318	2
ENO1	1	-	8860999	0.000567295	4
GNG5	1	-	84498324	0.000568182	2
GNPAT	1	+	231260783	0.00892857	2
GUK1	1	+	228148794	0.0206186	2
H3F3A	1	+	226071871	0.0127551	5
LAPTM5	1	-	30732468	0.00805643	10
MCL1	1	-	150574550	0.00247875	7
MINOS1	1	+	19626543	0.0352113	5
MNDA	1	+	158849444	0.0144928	3
NCF2	1	-	183555562	0.0036036	2
NUAK2	1	-	205302058	0.00143781	2
PTGS2	1	-	186671790	0.00078064	2
RPS27	1	+	153992134	0.0125224	7
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0201613	5
S100A11	1	-	152032505	0.0192308	3
S100A4	1	-	153543612	0.0753425	11
S100A8	1	-	153390031	0.056338	4
S100A9	1	+	153360909,153361024	0.333429,0.0608952	23,11
SFPQ	1	-	35176377	0.00244648	3
SH3BGRL3	1	+	26281236	0.0237154	6
TAGLN2	1	-	159918106	0.002886	2
UBR4	1	-	19074505	0.00613497	2
UBXN11	1	-	26281327	0.00205973	2
ITGB1	10	-	32900318	0.00036523	3
MSRB2	10	+	23120918	0.00260681	3
PSAP	10	-	71816297	0.00612423	7
RPS24	10	+	78040675	0.0312479	2
SRGN	10	+	69104640	0.00384615	2
VIM	10	+	17237536	0.00186654	4
AP001931.1	11	+	57742923	0.0434783	4
AP002990.1	11	-	62559602	0.00186894	27
CASP1	11	-	105025442	0.00368098	3
CCDC73	11	-	32602245	0.00353982	2
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.00232558	5
DENND5A	11	-	9138824	0.00421053	4
FAU	11	-	65120627	0.011516	9
MTRNR2L8	11	-	10507886	0.0113208	3
RPL27A	11	+	8685636	0.00288399	4
RPS25	11	-	119015711	0.00434273	9
SELENOH	11	+	57742923	0.0434783	4
SPI1	11	-	47354859	0.00320513	2
TALDO1	11	+	764900	0.00616016	3
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0242424	8
CD63	12	-	55725322	0.00204221	3
CLEC7A	12	-	10116776	0.000406793	4
COX6A1	12	+	120440670	0.0225564	3
GAPDH	12	+	6538371	0.039801	8
HCAR3	12	-	122714755	0.0134474	11
LTA4H	12	-	96000827	8.44916e-05	2
MYL6	12	+	56161483	0.00260417	3
NACA	12	-	56712427,56712703	0.0104351,0.00849506	11,7
OS9	12	+	57696583	0.027972	8
PA2G4	12	+	56112972	0.0357143	3
PTPN6	12	+	6961256	0.00510204	1
RPL41	12	+	56117824	0.116667	35
RPLP0	12	-	120196685	0.00185805	5
TPI1	12	+	6870631	0.0120968	3
CARS2	13	-	110641586	0.000780336	2
RPL21	13	+	27256554	0.0242291	11
SAP18	13	+	21147285	0.0173913	2
AL136295.5	14	+	24160660	0.0229885	2
DEGS2	14	-	100143956	0.00069735	2
NFKBIA	14	-	35401510	0.00109409	2
PSME1	14	+	24138855	0.0106101	4
RPL36AL	14	-	49618518	0.00754717	2
RPS29	14	-	49583571	0.0210526	2
TTC7B	14	-	90524563	2.57825e-05	2
NOP10	15	-	34341712	0.0106762	3
NPTN	15	-	73560013	0.0010395	2
PKM	15	-	72199028	0.000175531	2
ALDOA	16	+	30070284,30070406	0.0920469,0.0328832	15,9
ATP6V0C	16	+	2519909	0.054878	9
CKLF	16	+	66566017	0.000684463	2
CKLF-CMTM1	16	+	66566017	0.000684463	2
COTL1	16	-	84565593	0.00959233	12
COX4I1	16	+	85806805	0.00990099	3
RPL13	16	+	89562391,89563135	0.0595092,0.0355467	7,13
RPS2	16	-	1962051,1962469	0.0466321,0.00629426	9,8
SLX1B	16	+	29458170	0.0434783	2
SMG1	16	-	18866686	0.00301205	5
TMEM8A	16	-	370772	0.00164745	2
VKORC1	16	-	31090841	0.00854701	4
AC120057.2	17	-	7240426	0.0215954	26
ACTG1	17	-	81509970	0.00834492	6
EIF1	17	+	41691208	0.0157068	6
EVI2B	17	-	31303765	0.00402414	2
GRN	17	+	44352956	0.0328947	10
NDUFAF8	17	+	81241131	0.0173913	2
NEURL4	17	-	7315627	0.000682827	2
OVCA2	17	+	2043240	0.0147059	2
PFN1	17	-	4945651	0.016129	4
RPL19	17	+	39204719	0.0422535	3
RPL26	17	-	8377515,8379776	0.0691824,0.0310068	11,27
SLC38A10	17	-	81244999	0.00359712	2
TRAPPC1	17	-	7930344	0.00387097	3
AC008763.3	19	+	7682722	0.0171674	4
AD000671.2	19	-	35739251	0.00136692	7
BCAT2	19	-	48795061	0.00549451	2
CCDC124	19	+	17943813	0.0204082	1
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0120482	6
FTL	19	+	48966843	0.12963	14
GMFG	19	-	39328352	0.00401251	4
GPX4	19	+	1106640	0.0744681	7
IFI30	19	+	18178077	0.23494	39
JUNB	19	+	12793113	0.0134228	4
JUND	19	-	18279759	0.0146843	10
LENG9	19	-	54461795	0.0136054	4
MPND	19	+	4360086	0.0238095	2
NDUFA11	19	-	5894674,5896307	0.000989302,0.00141625	6,7
PNPLA6	19	+	7561701	0.0143885	2
RAB3D	19	-	11322045	0.000596659	2
RPL18	19	-	48615327,48615778	0.00380867,0.0117787	1,10
RPL28	19	+	55388048,55388373	0.0903352,0.0378867	3,4
RPL36	19	+	5691662	0.0131579	2
RPS11	19	+	49499615	0.0322473	7
RPS15	19	+	1440461	0.028169	4
RPS16	19	-	39433206	0.019544	5
RPS28	19	+	8322320	0.00436776	1
RPS9	19	+	54207581,54207521	0.0430047,0.00732218	7,7
SPINT2	19	+	38292143	0.0145985	2
TYROBP	19	-	35904400	0.00377293	11
ATG9A	2	-	219219379	0.000865301	3
ATRAID	2	+	27217026	0.025641	2
MARCH7	2	+	159767489	0.0136054	2
PLEK	2	+	68396137	0.0124611	4
PTMA	2	+	231712439,231712902	0.00226819,0.00382637	2,5
RNF149	2	-	101271221	0.000960615	2
RPL37A	2	+	216500030,216501352	0.068687,0.000756481	4,1
RTN4	2	-	54972186	0.00309598	3
TMSB10	2	+	84906672	0.156627	39
VAMP5	2	+	85593267	0.0181818	2
ZFP36L2	2	-	43222401	0.00416745	7
FKBP1A	20	-	1368977	0.000957243	3
RGS19	20	-	64073180	0.00446429	3
RPN2	20	+	37241493	0.011236	2
