AL713999.1	1	-	155169408	0.00145616	5
BTG2	1	+	203307644	0.00970874	1
CD52	1	+	26320505	0.0246305	5
IFITM1	11	+	315247	0.0895522	12
IFITM2	11	+	315247	0.0895522	12
NXF1	11	-	62792122	0.000731797	6
AC006064.6	12	-	6556885	0.000227046	5
CHD4	12	-	6570081	0.000249913	5
CNOT2	12	+	70294202,70294202	0.0434783,0.0434783	3,3
MSI1	12	-	120341329	0.00070406	3
TMEM263	12	+	106967850	0.021692	10
RPL21	13	+	27256234	0.00227273	2
DAD1	14	-	22564904	0.000292597	3
PDIA3	15	+	43754242	0.00191571	5
RPL13	16	+	89562877	0.00245769	2
TCF25	16	+	89883447	0.000404204	2
DDX5	17	-	64499615	0.000431965	2
NME1-NME2	17	+	51171647	0.0571429	8
NME2	17	+	51171647	0.0571429	8
NDUFA13	19	+	19528019	0.00330075	5
PEAK3	19	-	2274621	0.0141777	15
RPS16	19	-	39433206	0.00651466	2
RPS19	19	+	41864168	0.0278884	7
RPS21	20	+	62388422	0.00453858	3
STX16-NPEPL1	20	+	58691673	0.0213904	3
CAMK4	5	+	111395362,111395362	0.0223642,0.0223642	14,14
EGR1	5	+	138469313	0.00162338	2
KDM3B	5	+	138437026	3.94711e-05	2
ABCF1	6	+	30593182,30597179	0.00291693,0.00198606	7,12
CUTA	6	-	33416441	0.0020979	3
HLA-A	6	+	29945546	0.021978	2
HLA-B	6	-	31353871	0.0425486	25
HLA-C	6	-	31268748	0.00395257	10
HLA-E	6	+	30494202	0.00123381	2
PPP1R10	6	-	30600399	0.00261097	3
ACTB	7	-	5527146	0.00105374	1
RPL8	8	-	144789765	0.00253968	3
FLNA	X	-	154348523	0.000123724	2
