ADAR	1	-	154582056	0.000255004	2
AL358472.7	1	-	153959150	0.000444247	2
AL713999.1	1	-	155169408	0.000496401	2
ANP32E	1	-	150218416	0.00093736	7
ARHGAP30	1	-	161046947	0.00521512	4
ATP1A1	1	+	116404653	0.0191388	4
ATP6V0B	1	+	43978244	0.0299625	8
BGLAP	1	+	156243268	0.0188679	2
BTF3L4	1	+	52086868	0.0135135	2
C1orf162	1	+	111478325	0.019802	4
CAPZB	1	-	19338775	0.00200702	7
CD48	1	-	160678745	0.0294118	9
CD52	1	+	26320417	0.0347826	4
CDA	1	+	20618833	0.00754717	2
CDC42SE1	1	-	151050970	0.000610501	2
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.000676668	11
DDOST	1	-	20651766	0.0163371	9
EIF3I	1	+	32231337	0.0212766	3
ENO1	1	-	8860999	0.000992767	6
FCER1G	1	+	161219243	0.0433333	13
GJA9-MYCBP	1	-	38864502	0.000980072	9
GNG5	1	-	84498324	0.00141433	4
H3F3A	1	+	226071998	0.0481696	25
HDGF	1	-	156742106	0.00149031	2
HS2ST1	1	+	87109881	0.000385728	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.011035	14
MCL1	1	-	150574550	0.00672805	19
MEF2D	1	-	156463726	0.000128238	1
MINOS1	1	+	19626563	0.0555556	9
MNDA	1	+	158849418	0.0662983	12
MRPL20	1	-	1401907	0.0114286	2
MTMR11	1	-	149928651	0.00628931	3
NCF2	1	-	183555562	0.0216216	12
NUP210L	1	-	153992684	0.0133333	2
PADI4	1	+	17363863	0.0277778	3
PARK7	1	+	7985199	0.0344828	5
PHC2	1	-	33323622	0.00161031	2
PIP5K1A	1	+	151227361	0.00031864	9
PMF1-BGLAP	1	+	156242826,156243262	0.0442469,0.0339009	1,7
PPIE	1	+	39763811	0.0484827	7
PPP1R15B	1	-	204403386	0.00110906	2
PRDX1	1	-	45511035	0.0102389	3
RPS27	1	+	153991674,153992153	0.191919,0.0434783	19,4
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0766129	19
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.14876	18
S100A4	1	-	153543612	0.116438	17
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.380282	27
S100A9	1	+	153361027	3.02116	571
SARS	1	+	109237999	0.027027	3
SCAMP3	1	-	155255978	0.00680272	2
SELL	1	-	169690666	0.00447628	5
SF3B4	1	-	149923316	0.00888889	2
SH3BGRL3	1	+	26281312	0.0759878	25
SLC35E2A	1	-	1727385	0.000394555	2
SLC39A1	1	-	153959098	0.00134048	2
SSR2	1	-	156009047	0.000589102	6
TAGLN2	1	-	159918106	0.002886	2
TMEM50A	1	+	25360818	0.0176991	2
TPM3	1	-	154155303,154156586	0.000510369,0.000155254	9,2
TRAF3IP3	1	+	209782134	0.00265957	2
TTC13	1	-	230906242	0.00302115	2
UBXN11	1	-	26281327	0.0102987	10
UQCRH	1	+	46316656	0.0462957	6
USP24	1	-	55071272	0.0124224	1
ATP5F1C	10	+	7807800	0.0060352	4
CHST15	10	-	124007665	0.000805477	2
GDI2	10	-	5765222	0.00235849	2
HERC4	10	-	67921898,67971957	4.68454e-05,6.01854e-05	5,3
JMJD1C	10	-	63176799	0.00439078	4
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936,100525555	0.00250573,0.000358993	13,1
OGA	10	-	101784442	0.000996016	2
PSAP	10	-	71816297	0.0122485	14
RPS24	10	+	78040688	0.0405376	3
RRP12	10	-	97356700	0.00508906	2
SRGN	10	+	69104811	0.0723589	50
UPF2	10	-	11920021	0.0015674	2
VIM	10	+	17237592	0.211064	91
VPS26A	10	+	69172860	0.00119332	2
VSIR	10	-	71747558,71750428	0.00104706,0.0143326	3,11
AHNAK	11	-	62515904	0.00476758	4
AP001931.1	11	+	57743339	0.00334996	3
AP002990.1	11	-	62559602,62559716	0.00378413,0.000965395	56,14
APLP2	11	+	130122222	0.00266312	4
ARAP1	11	-	72685068	0.00336134	2
ATP5MG	11	+	118409088	0.00179893	3
BANF1	11	+	66003957	0.0216216	4
BRMS1	11	-	66337332	0.000542888	2
CASP1	11	-	105025442	0.00245399	2
CATSPER1	11	-	66016751	0.0144928	2
CFL1	11	-	65854674	0.0453653	29
COA4	11	-	73872666	0.00669643	3
COX8A	11	+	63976422	0.0294118	3
CTSD	11	-	1752751	0.00372093	8
DNAJC4	11	+	64234072	0.00645161	1
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120901	0.0891089,0.0186441	9,11
FERMT3	11	+	64223734	0.0123967	3
FTH1	11	-	61964284	0.0015949	2
GRK2	11	+	67286491	0.00288184	3
GSTP1	11	+	67586452	0.00146161	1
LIN7C	11	-	27494575	0.000736558	3
MAP3K11	11	-	65597754	0.00022205	2
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.00154391	9
MTRNR2L8	11	-	10507886	0.0113208	3
NUDT22	11	+	64229900	0.00740741	3
PICALM	11	-	85957683	3.08923e-05	1
PNPLA2	11	+	825573	0.00281294	2
POLR2L	11	-	837355	0.000994695	3
PPP1CA	11	-	67398182	0.0141888	4
PPP1R14B	11	-	64244479	0.00729927	2
RNH1	11	-	494511	0.000321543	2
RPL27A	11	+	8685613	0.0141106	12
RPLP2	11	+	812872	0.0555556	2
RPS25	11	-	119015711,119015839	0.00803528,0.0667353	6,16
SELENOH	11	+	57743026	0.00483979	3
SIPA1	11	+	65650784	0.0289855	2
SLC15A3	11	-	60937083	0.00358423	3
SPI1	11	-	47354859	0.0144231	9
TALDO1	11	+	764432,765006	0.0830518,0.04061	1,7
TCIRG1	11	+	68050865	0.0641026	5
THYN1	11	-	134248278	0.0162162	3
TPP1	11	-	6612762	0.000622181	4
UBXN1	11	-	62676497	0.00909091	2
AC023055.1	12	-	55757274	0.0168776	3
ARHGDIB	12	-	14942016	0.0237624	12
ARPC3	12	-	110434824	0.0393939	12
ATP2A2	12	+	110288331,110297094,110311389,110328230,110351090	0.000295706,0.000158098,0.000150633,9.30467e-05,0.000153998	1,2,4,4,10
BLOC1S1	12	+	55719222,55719669	0.0512265,0.0111867	5,6
BLOC1S1-RDH5	12	+	55719222,55719669	0.0512265,0.0111867	5,6
CKAP4	12	-	106237876	0.00174368	2
CNOT2	12	+	70344420	0.0129032	2
COX14	12	+	50120361	0.0208333	3
DDIT3	12	-	57516587	0.00904977	2
DNM1L	12	+	32706841	0.0462963	5
GAPDH	12	+	6538361	0.157068	30
IKBIP	12	-	98613404	0.00221729	2
KRR1	12	-	75490860	0.000314677	2
LDHB	12	-	21635341	0.01	2
LTA4H	12	-	96000827	0.000377842	8
LYZ	12	+	69354234	0.357635	363
M6PR	12	-	8940362	0.000625391	2
MYL6	12	+	56161549	0.102405	16
NACA	12	-	56712427,56712737	0.0412721,0.0211718	17,14
NCOR2	12	-	124324414,124328531	0.00175593,0.00362319	2,2
NDUFA12	12	-	94971331	0.000156262	4
PFDN5	12	+	53299306	0.000705467	2
PHB2	12	-	6965351	0.00182315	2
PLBD1	12	-	14503660	0.027027	3
PTPN6	12	+	6960946,6961226	0.0310614,0.0297976	2,5
RPL41	12	+	56117815	0.216495	63
RPLP0	12	-	120196685	0.00260126	6
SLC2A3	12	-	7919229	0.00091617	2
SLC8B1	12	-	113300161,113301554	0.00191943,0.00337569	4,3
SRSF9	12	-	120461667	0.00127226	4
TESC	12	-	117038922	0.000203479	2
TMBIM6	12	+	49763331	0.0045977	2
TPI1	12	+	6870736	0.0169972	6
TUBA1A	12	-	49184795	0.00934579	1
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.00136426	3
ZNF385A	12	-	54369132	0.000805153	2
ANKRD10	13	-	110892691	0.000251921	2
CLN5	13	+	76996175	0.0254306	6
KCTD12	13	-	76880165	0.000599401	3
LCP1	13	-	46125919	0.00658288	11
PARP4	13	-	24420925	0.0103627	2
POLR1D	13	+	27623357	0.0186916	1
RPL21	13	+	27256334,27256545	0.0997545,0.0451596	15,10
AL928654.3	14	+	105488750	0.0434784	4
ATP5MPL	14	-	103912287	0.00119332	2
CALM1	14	+	90405396,90408260	0.00204552,0.00106855	1,4
CGRRF1	14	+	54538512	0.0155039	2
CRIP1	14	+	105488750	0.0434784	4
DAD1	14	-	22564904	0.000276168	2
FOS	14	+	75282228	0.207711	167
GMFB	14	-	54474483	0.000287439	2
MAX	14	-	65075123	0.00223964	6
METTL3	14	-	21498132	0.000786318	4
NEDD8-MDP1	14	-	24213954	0.00832726	14
NFKBIA	14	-	35401510	0.00273523	5
PSME2	14	-	24143364	0.00120337	3
RPS29	14	-	49583571	0.0315789	3
RTRAF	14	+	52004590	0.0276243	5
SRSF5	14	+	69770684	0.00178094	2
TOX4	14	+	21499175	0.000120722	2
TTC7B	14	-	90524563	2.57825e-05	2
AC245033.1	15	-	82536787,82538305,82538879	0.115855,0.00123835,7.00106e-05	38,18,1
ADPGK	15	-	72751368	6.23325e-05	1
ANP32A	15	-	68778534	0.00022409	2
ANPEP	15	-	89784888	0.00652174	3
CSK	15	+	74802846	0.00600601	2
DMXL2	15	-	51447710	0.00157109	2
NOP10	15	-	34341712	0.0106149	2
NPTN	15	-	73560013	0.0010395	2
PKM	15	-	72199028	0.00105319	11
PPIB	15	-	64155811	0.0236967	5
PSMA4	15	+	78549010	0.00985222	2
RPS17	15	-	82536749,82538276	0.105769,0.079706	11,44
SERF2	15	+	43794042	0.0557621	15
TLE3	15	-	70047789	0.000267308	2
AC120114.4	16	+	29819844	0.0222222	2
ALDOA	16	+	30070309,30070412	0.20641,0.0681179	39,20
APOBR	16	+	28498646	0.0141844	2
APRT	16	-	88809338	0.00621118	5
ATP6V0D1	16	-	67438018	0.000142315	3
CES1	16	-	55802850	0.00168966	6
CORO7-PAM16	16	-	4340250	0.000407553	8
COTL1	16	-	84565593,84616003	0.0119904,0.00777202	15,3
COX4I1	16	+	85806805	0.00660066	2
FLYWCH2	16	+	2899286	0.0145985	2
GLG1	16	-	74447426	6.66378e-05	2
METTL26	16	-	634426	0.00625	3
MT1F	16	+	56659148	0.00544959	2
PAGR1	16	+	29819844	0.0222222	2
PAM16	16	-	4340247	0.00724042	8
PPP4C	16	+	30085230	0.0119048	2
PSMB10	16	-	67934501	0.031746	4
RPL13	16	+	89562958,89563164	0.192957,0.0196684	38,6
RPS2	16	-	1962051	0.0259507	43
SEPHS2	16	-	30443630	0.00266667	2
SPSB3	16	-	1776711	0.00519481	2
TCF25	16	+	89883831	0.000562641	3
AC027796.3	17	-	3585148	7.87061e-05	2
AC087289.3	17	-	75898644	0.00100503	11
AC120057.2	17	-	7240426,7240559	0.0355247,0.00325234	44,3
ACTG1	17	-	81509970,81510076	0.0363219,0.0210188	26,12
ARHGDIA	17	-	81867720	0.00519481	6
ASGR1	17	-	7173430	0.00380228	2
C17orf49	17	+	7017402	0.0143737	7
CCL3	17	-	36088255	0.00480769	2
CD300E	17	-	74609886	0.000723066	2
CD300LF	17	-	74694310	0.00132802	1
CD68	17	+	7582113	0.00785855	7
DCXR	17	-	82035967	0.00906344	3
DDX5	17	-	64499615	0.00107991	5
EIF1	17	+	41691301	0.0168421	8
EIF4A1	17	+	7578244,7578755,7578990,7578551,7579004	0.0034613,0.135376,0.00433666,0.177977,0.00662448	11,56,2,11,3
FLII	17	-	18244835	0.000409903	5
GRN	17	+	44353046	0.0253807	10
KRT10	17	-	40818116	0.00557103	2
METTL23	17	+	76733585,76733779	0.0114943,0.0215054	2,2
MRPL38	17	-	75898642	0.0241546	5
NME1-NME2	17	+	51171689	0.269231	49
NME2	17	+	51171689	0.269231	49
NUFIP2	17	-	29255835	0.000229806	2
OVCA2	17	+	2043364	0.0461538	12
P4HB	17	-	81843158	0.000555933	9
PER1	17	-	8144054	0.0011446	2
PFN1	17	-	4945651	0.0604839	15
PITPNA	17	-	1517717,1525813	0.00039524,0.000258463	8,3
PPP1R9B	17	-	50133734	0.0018797	3
PSMB3	17	+	38764146	0.00213716	7
RNASEK-C17orf49	17	+	7017402	0.0246914	2
RPL19	17	+	39204706	0.0344828	2
RPL26	17	-	8377515,8379780	0.165644,0.0734147	26,65
SENP3-EIF4A1	17	+	7578713	0.0120878	68
SLC43A2	17	-	1569266,1590849	0.000315607,0.00016559	1,4
SOCS3	17	-	78356777	0.00121951	2
SPAG7	17	-	4959225	0.0021978	2
SRSF2	17	-	76734114	0.000977517	2
TLK2	17	+	62516545,62523141	0.00015244,0.00116679	1,17
TNFSF12-TNFSF13	17	+	7561599	0.00391645	2
TNFSF13	17	+	7561606	0.00388098	3
TRAPPC1	17	-	7930344	0.00387097	3
UBB	17	+	16382739	0.0211268	3
UNC13D	17	-	75827224	0.0012285	2
LPIN2	18	-	2916993	0.00181873	6
MEX3C	18	-	51192909	0.000856653	3
MYL12A	18	+	3256177	0.027027	7
MYL12B	18	+	3278059	0.0245902	3
PSTPIP2	18	-	45983535	0.000579822	3
PTPN2	18	-	12785477	0.000227273	2
RPL17-C18orf32	18	-	49481680	0.000864927	5
SNRPD1	18	+	21629109	0.000385282	2
AC008763.3	19	+	7682851	0.0745856	27
AC010422.8	19	-	12668070	0.000254907	3
AC010616.2	19	-	41956878	0.00097561	2
AC011462.1	19	+	41424788	0.0111111	2
BCKDHA	19	+	41424788	0.0111111	2
BORCS8-MEF2B	19	-	19145566	0.000199084	7
BST2	19	-	17402938	0.0026455	2
CALM3	19	+	46609261	0.0185185	2
CDC37	19	-	10391133	0.00719424	3
CFD	19	+	863382	0.0138889	2
COPE	19	-	18899513	0.0121212	2
COX6B1	19	+	35658707	0.0309278	3
EEF2	19	-	3976055	0.0361446	18
ERCC1	19	-	45413433	0.0350877	4
ERVK3-1	19	+	58315070	0.0243902	7
FKBP8	19	-	18531750	0.000261438	2
FTL	19	+	48966875	0.264286	37
GMFG	19	-	39328352,39328991	0.031746,0.00498339	6,3
GMIP	19	-	19629475	0.00410678	2
IFI30	19	+	18178100	0.190476	36
JUNB	19	+	12793167	0.0511364	18
JUND	19	-	18279759,18279864	0.0279518,0.0277167	19,15
LENG9	19	-	54461795	0.0136054	4
LILRB3	19	-	54216277	0.000544959	3
LSM7	19	-	2321516	0.000882807	4
LYL1	19	-	13099032	0.0104895	3
MAN2B1	19	-	12646512	0.0186916	1
MEF2B	19	-	19145567	0.00998573	7
MRPL54	19	+	3767462	0.0289855	2
MYDGF	19	-	4657544	0.00434783	2
MYO1F	19	-	8520789	0.00271003	2
NDUFA11	19	-	5894674	0.00251757	13
NDUFA13	19	+	19528125	0.166238	45
NDUFB7	19	-	14566077	0.00398406	3
OSCAR	19	-	54094667	0.0029703	3
PEAK3	19	-	2274621	0.00661626	7
PGLS	19	+	17521227	0.0136986	2
PKN1	19	+	14471607	0.00319431	2
PLD3	19	+	40378342	0.0118343	2
PLIN3	19	-	4838340	0.00235018	2
PRDX2	19	-	12796819	0.0126582	4
PRPF31	19	+	54131485	0.0122699	2
R3HDM4	19	-	896502	0.000495213	3
RAB3D	19	-	11322045	0.000596659	2
RPL18	19	-	48615327,48615858,48616060	0.038835,0.112684,0.0493185	3,16,8
