CD52	1	+	26320434	0.0151515	2
ECHDC2	1	-	52895909	9.21871e-05	2
HIST3H2A	1	-	228456978	0.0044843	2
LAPTM5	1	-	30732468	0.00147167	2
MARCKSL1	1	-	32333831	0.00261438	1
RPS27	1	+	153991676,153992155	0.128713,0.0434783	13,4
SSR2	1	-	156009047	0.000196367	2
UQCRH	1	+	46316590	0.000314663	2
IDI1	10	-	1039151	0.000982801	2
KLF6	10	-	3775995	0.00112454	4
RPS24	10	+	78040633	0.000751033	2
AP002990.1	11	-	62559602	0.00170599	25
CORO1B	11	-	67435509	0.00248376	13
FAU	11	-	65120627,65120879	0.0361446,0.00816993	3,5
IFITM1	11	+	315228	0.0521739	6
IFITM2	11	+	315228	0.0521739	6
MRPL23	11	+	1956556	0.00344432	3
PTPRCAP	11	-	67435509	0.0493274	11
RPS25	11	-	119015711	0.0145068	11
BLOC1S1	12	+	55719524	0.00724638	3
BLOC1S1-RDH5	12	+	55719524	0.00724638	3
CD27	12	+	6451559	0.011976	2
HNRNPA1	12	+	54286964	0.00188608	5
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161506	0.00170213	2
NACA	12	-	56712427,56712702	0.00750882,0.00766547	8,6
RPL41	12	+	56117826	0.13245	40
RPLP0	12	-	120196685	0.000743218	2
NUP58	13	+	25303098	0.0333333	3
RPL21	13	+	27256513	0.0270162	8
RBM25	14	+	73107017,73123898	9.63578e-05,0.000259131	1,9
SERF2	15	+	43793906	0.0225564	3
PSMB10	16	-	67934501	0.0238095	3
RPL13	16	+	89562392,89563128	0.0964895,0.0571557	12,17
RPS2	16	-	1962051,1962431	0.0709677,0.00687548	11,9
XPO6	16	-	28097978	0.00357782	2
ACTG1	17	-	81509970	0.00417246	3
CYTH1	17	-	78674047	8.77193e-05	2
EIF1	17	+	41691267	0.00453515	2
NME1-NME2	17	+	51171631	0.0403226	5
NME2	17	+	51171631	0.0403226	5
NT5C	17	-	75130224	0.00257069	1
PFN1	17	-	4945651	0.0120968	3
RPL26	17	-	8377515,8379736	0.0672269,0.0265111	8,25
UBE2G1	17	-	4269258	9.92753e-05	1
CNN2	19	+	1038986	0.00221893	3
FTL	19	+	48966784	0.0408163	1
GMFG	19	-	39328352	0.00142653	1
JUNB	19	+	12793062	0.0202429	5
JUND	19	-	18279759	0.0117474	8
KLF2	19	+	16327264	0.0202429	5
MEX3D	19	-	1554668	0.00223714	2
RPL18	19	-	48615327,48615812,48616014	0.00206229,0.0542668,0.00581527	1,9,4
RPL28	19	+	55388047,55388377	0.0909262,0.0438036	3,6
RPL36	19	+	5691666	0.0192308	3
RPS11	19	+	49499569	0.0508454	6
RPS15	19	+	1440493	0.0407383	5
RPS16	19	-	39433206	0.0260586	8
RPS28	19	+	8322361	0.0659208	7
RPS9	19	+	54207631,54207519	0.0590614,0.0104822	13,10
CXCR4	2	-	136114348	0.00576923	3
DGUOK	2	+	73956828	0.00095816	6
PTMA	2	+	231712938	0.00177971	2
RPL31	2	+	101006057	0.00169779	3
RPL37A	2	+	216501393	0.00209059	3
TMSB10	2	+	84906667	0.0491803	12
GPCPD1	20	-	5575899	0.00119076	5
LIME1	20	+	63739025	0.08	10
RPS21	20	+	62388500	0.0104802	7
SIK1	21	-	43414482	0.000885347	2
AP000350.4	22	+	23895189	0.0322581	4
MIF	22	+	23895191	0.0235294	2
ARL8B	3	+	5133882	0.00110926	6
CISH	3	-	50606495	0.00180018	2
RPL29	3	-	51993521	0.00694927	10
RPL35A	3	+	197955750,197955852	0.000920631,0.00366258	4,16
RPS3A	4	+	151104286,151104630,151102993,151104152	0.157489,0.0500042,0.0243605,0.0202168	7,9,2,12
TXK	4	-	48066392	0.000568936	3
BTF3	5	+	73505425	0.0106952	1
HNRNPH1	5	-	179614177	0.00192976	15
RAB24	5	-	177301450	0.0136986	4
GPSM3	6	-	32190765	0.00181818	2
HLA-A	6	+	29945641	0.016129	3
HLA-B	6	-	31353871	0.0114566	7
RPS10	6	-	34417453	0.00274348	1
AC105052.3	7	-	102637048	0.000137542	4
ACTB	7	-	5527146	0.00474183	9
KMT2E	7	+	105107279	0.03125	2
UPK3BL1	7	-	102637024	0.008	4
ZC3HAV1	7	-	139060337	0.0100865	7
EEF1D	8	-	143579696	0.00321543	3
PLAT	8	-	42175232	0.00263158	2
RPL30	8	-	98041720,98042601	0.00593716,0.00209424	19,4
RPL8	8	-	144789765	0.0100419	11
SARAF	8	-	30063011	0.000181488	1
AQP3	9	-	33441153	0.00224972	2
EDF1	9	-	136862118	0.00593472	2
RPL35	9	-	124857879	0.00339559	2
SET	9	+	128694832	0.0178571	3
AC004556.1	KI270721.1	+	11704	0.0224719	2
RPL10	X	+	154400908	0.037037	2
RPL36A	X	+	101395736	0.0297689	11
RPL39	X	-	119786505	0.0337079	6
TMSB4X	X	+	12977100	0.0415225	12
