CCT3	1	-	156308967	0.000106614	3
CD247	1	-	167430639	0.00192123	2
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320423	0.0247934	3
DENND2D	1	-	111187173	0.00696056	3
GUK1	1	+	228148850	0.0130719	2
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851598	0.076087	7
LAPTM5	1	-	30732468	0.00294334	4
LCK	1	+	32285874	0.0189873	3
MINOS1	1	+	19626555	0.025974	4
RPL5	1	+	92841905	0.05	2
RPS27	1	+	153991673,153992152	0.367347,0.119565	36,11
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0410959	6
SRSF11	1	+	70228776	0.0257353	7
TPM3	1	-	154155303	0.00033557	6
TSTD1	1	-	161037630	0.00806452	2
TXNIP	1	-	145992434	0.00353107	5
UBXN11	1	-	26281327	0.00205973	2
UFC1	1	+	161158611	0.0168067	2
UQCRH	1	+	46316588	0.0260866	3
AL360181.3	10	+	133420471	0.0294118	9
MTG1	10	+	133420478	0.028754	9
AP002990.1	11	-	62559602	0.00237825	35
ATP5MG	11	+	118409113	0.00226903	4
CORO1B	11	-	67435509	0.00133741	7
FAU	11	-	65120627,65120907	0.046729,0.00856164	5,5
FERMT3	11	+	64223671	0.0111732	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315229	0.137931	16
IFITM2	11	+	315229	0.137931	16
NXF1	11	-	62792122	0.000243932	2
PTPRCAP	11	-	67435509	0.0179372	4
RARRES3	11	+	63546407	0.013245	2
RPL27A	11	+	8685701	0.00383282	6
RPS25	11	-	119015711,119015828	0.00877846,0.0813337	5,17
ARPC3	12	-	110434824	0.00606061	2
ATP5MC2	12	-	53665165	0.0135135	2
DYNLL1	12	+	120498237	0.0188679	2
LDHB	12	-	21635341	0.025	5
MYL6	12	+	56161574	0.00321802	3
NACA	12	-	56712427,56712709	0.00742949,0.0161545	8,13
PEBP1	12	+	118144927	0.016129	2
RPL41	12	+	56117829	0.22623	69
RPLP0	12	-	120196685	0.00294686	7
SLC2A3	12	-	7931350	0.00111732	1
TMBIM4	12	-	66135845	5.97496e-05	2
RPL21	13	+	27256331,27256500	0.0481804,0.0437854	7,9
WBP4	13	+	41082976	0.0322581	2
ATP5MPL	14	-	103912287	0.00119332	2
BATF	14	+	75546781	0.0181818	2
CALM1	14	+	90404794	0.00584795	2
DAD1	14	-	22564904	0.000276128	2
NEDD8-MDP1	14	-	24213954	0.00391499	7
PPP4R3A	14	-	91457610	0.00348432	4
PSME2	14	-	24143364	0.00158998	3
RPS29	14	-	49583571	0.0210526	2
AC245033.1	15	-	82536787,82538330	0.000336098,7.80226e-05	5,1
C15orf38-AP3S2	15	-	89834307	0.001657	2
PPIB	15	-	64155811	0.00947867	2
RPLP1	15	+	69455546	0.047037	1
RPS17	15	-	82536749,82538292	0.00193037,0.00188143	5,1
SERF2	15	+	43793998	0.0444444	10
SNRPA1	15	-	101281509	0.000466636	2
SRP14	15	-	40036687	0.015544	3
ALDOA	16	+	30070348	0.0387931	9
CORO1A	16	+	30189046	0.0243902	2
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806895	0.0011236	2
IL32	16	+	3069466	0.027027	3
MRPS34	16	-	1771889	0.0060423	2
NPIPB3	16	-	21402236	0.0425532	2
RPL13	16	+	89562390,89562961,89563247	0.0158519,0.240726,0.0315209	1,49,13
RPS2	16	-	1962051,1962467	0.146597,0.0109976	27,14
TCF25	16	+	89883438	0.00060741	3
THUMPD1	16	-	20737088	0.00174064	2
AC087289.3	17	-	75898644	0.000182732	2
ARHGDIA	17	-	81867720	0.0017316	2
ARL17B	17	-	46309506	0.000215378	6
CD7	17	-	82314867	0.00235664	3
CEP131	17	-	81189592	0.00829876	2
DDX5	17	-	64499615	0.00172786	8
EIF1	17	+	41691019	0.015544	3
EIF4A1	17	+	7578591	0.0952381	10
JPT1	17	-	75135247	0.000144311	2
MRPL38	17	-	75898642	0.00966184	2
NME1-NME2	17	+	51171728	0.0361991	8
NME2	17	+	51171728	0.0361991	8
OVCA2	17	+	2043307	0.0394089	8
PFN1	17	-	4945651	0.0120311	2
PITPNC1	17	+	67692708	0.0152672	2
RPL19	17	+	39204732	0.0357143	3
RPL26	17	-	8377515,8379753	0.0955882,0.0259179	13,24
MYL12A	18	+	3256143	0.0266667	6
MYL12B	18	+	3278142	0.0195122	4
DUS3L	19	-	5785455	0.00148148	2
GMFG	19	-	39328352	0.0016116	2
GPX4	19	+	1106706	0.0125	2
HCST	19	+	35904266	0.0188679	2
JUNB	19	+	12793188	0.0241287	9
LSM7	19	-	2321516	0.00108023	4
NDUFA13	19	+	19528061	0.100479	20
PDCD5	19	+	32587241	0.00208125	2
PIH1D1	19	-	49446297	0.0012837	1
R3HDM4	19	-	896502	0.000330142	2
RINL	19	-	38867833	0.00155039	2
RPL18	19	-	48615327,48615876,48616078	0.0330579,0.125163,0.0192961	4,28,3
RPL18A	19	+	17863310	0.0425532	2
RPL28	19	+	55388045,55388331	0.152096,0.129063	4,16
RPL36	19	+	5691664	0.0875912	12
RPS11	19	+	49499660	0.0266507	7
RPS15	19	+	1440485	0.072381	9
RPS16	19	-	39433206	0.0977199	30
RPS19	19	+	41869191	0.00549867	28
RPS28	19	+	8322089,8322374	0.0861672,0.0566138	1,6
RPS9	19	+	54207618,54207519	0.098649,0.0167715	21,16
TRIR	19	-	12730639	0.00232288	2
CERKL	2	-	181536675	0.00464191	7
OST4	2	-	27070471	0.00569404	4
POMC	2	-	25160852	0.00877193	2
PTMA	2	+	231712803,231713290	0.00390393,0.00233995	5,4
RPL31	2	+	101006072	0.00112233	2
RPL37A	2	+	216500023,216501460	0.0748262,0.00206654	4,3
TMSB10	2	+	84906645	0.121622	27
FKBP1A	20	-	1368977	0.000638162	2
RPS21	20	+	62387911,62388361	0.0190784,0.0344842	2,7
ATP5PO	21	-	33903452	0.000708566	2
U2AF1	21	-	43092955	0.000392003	3
AP000350.4	22	+	23895182	0.0512821	6
CHCHD10	22	-	23765833	0.00571429	2
EIF3D	22	-	36510849	0.00649351	2
MIF	22	+	23895183	0.038961	3
SELENOM	22	-	31104771	0.010101	2
SMDT1	22	+	42083131	0.0017094	2
SUN2	22	-	38734724	0.00194553	3
TSPO	22	+	43163078	0.0229885	2
C3orf52	3	+	112127731	0.000210801	1
CAND2	3	+	12811342,12811343	0.000816993,0.00306513	4,4
GCSAM	3	-	112120840	0.000272405	2
GPX1	3	-	49357170	0.00739827	6
H1FX	3	-	129314770	0.00408163	2
HACD2	3	-	123491553	0.00059988	1
RHOA	3	-	49359144	0.000594354	1
RPL15	3	+	23919888	0.0155039	6
RPL35A	3	+	197955822	0.0113895	20
SEC62	3	+	169976941	0.00151172	2
HMGB2	4	-	173331694	0.00519481	2
RPS3A	4	+	151104285,151104635,151104184	0.245608,0.132541,0.111046	11,25,22
BTF3	5	+	73505473	0.0510638	12
COX7C	5	+	86620723	0.0015949	2
DUSP1	5	-	172768089	0.00892857	6
HIGD2A	5	+	176389619	0.0163934	2
HNRNPH1	5	-	179614177	0.000385951	3
NPM1	5	+	171410658	0.0215054	2
RACK1	5	-	181236908,181237510	0.00120451,0.0006112	8,3
SQSTM1	5	+	179822071	0.00396825	2
HLA-A	6	+	29945853	0.0326633	13
HLA-B	6	-	31353871	0.0261866	16
HLA-C	6	-	31268748	0.00355731	9
HSP90AB1	6	+	44253756	0.0126582	2
LSM2	6	-	31797395	0.00554017	2
LTB	6	-	31580554	0.00398406	4
RPS10	6	-	34417453	0.00274348	1
YIPF3	6	-	43511826	0.000470588	2
ZNRD1	6	+	30064758	0.0327869	2
AC004922.1	7	+	99394651	0.0218579	12
ACTB	7	-	5527146	0.0100036	18
ARPC1B	7	+	99394657	0.0571187	12
GIMAP1	7	+	150721065	0.0142857	2
GSTK1	7	+	143268964	0.0141844	2
TRBC1	7	+	142793277	0.0147059	2
TRBC2	7	+	142802669	0.0142857	2
URGCP-MRPS24	7	-	43866557	0.00329489	8
ZNF394	7	-	99493239	0.00147167	2
EEF1D	8	-	143579696,143579880	0.00465194,0.00355105	4,2
EIF3E	8	-	108201742	0.0140845	2
PARP10	8	-	143977152	0.000339271	2
RPL30	8	-	98041720,98042643	0.1078,0.00337719	41,7
RPL8	8	-	144789765	0.0108439	16
RPS20	8	-	56072946	0.0108254	8
VPS28	8	-	144423600	0.000826105	2
ANP32B	9	+	98015597	0.0120482	2
RPL35	9	-	124857879	0.0203735	12
TMEM203	9	-	137204081	0.0021692	2
BCAP31	X	-	153700491	0.00449438	2
NDUFB11	X	-	47142215	0.019802	2
PRAF2	X	-	49072030	0.0158228	5
RPL10	X	+	154400900	0.0434783	2
RPL36A	X	+	101395753	0.0284992	11
RPL39	X	-	119786505	0.0842697	15
TMSB4X	X	+	12977126	0.155556	49
