AC098484.3	1	+	42777345	0.00150789	5
AC114490.2	1	-	34981532	0.00167434	4
AC239799.1	1	-	146113651	9.5764e-05	3
C1orf162	1	+	111478300	0.0225989	4
CAPZB	1	-	19338775	0.000501756	1
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320478	0.0454545	8
CTSS	1	-	150730195	0.00011318	2
DPYD	1	-	97077742	0.00324412	4
ENO1	1	-	8860999	0.000850943	6
FCER1G	1	+	161219102	0.0188679	3
FCMR	1	-	206904385	0.000233945	2
G0S2	1	+	209676145	0.0134228	2
ILF2	1	-	153661787	0.00328947	2
IVNS1ABP	1	-	185296387	0.00121433	2
JUN	1	-	58780787	0.001554	2
KLHL12	1	-	202891099	0.00130124	2
LAMTOR5	1	-	110401248	0.0109489	3
LAPTM5	1	-	30732468	0.00883002	12
LMNA	1	+	156139187	0.037037	3
MCL1	1	-	150574550	0.00493012	13
MINOS1	1	+	19629821	0.000877193	3
MINOS1-NBL1	1	+	19626385,19635195	4.06557e-05,0.000195774	1,6
NADK	1	-	1751231	0.00179426	3
NCF2	1	-	183555562	0.0036036	2
NOTCH2NLA	1	-	146152265	0.000514536	2
PATJ	1	+	61925265	3.27654e-05	3
PHACTR4	1	+	28500369	4.18823e-05	2
RPS27	1	+	153991675,153992149	0.155772,0.00422087	15,2
RSRP1	1	-	25242236	0.00105042	3
S100A10	1	-	151982914	0.0322581	8
S100A4	1	-	153543612	0.0273973	4
S100A6	1	-	153534598	0.0206186	2
S100A8	1	-	153390031	0.0422535	3
S100A9	1	+	153361026	0.143617	27
SASS6	1	-	100083562	0.00509915	9
SFPQ	1	-	35176377	0.00239895	3
TMEM35B	1	-	34981534	0.00977995	4
TXNIP	1	-	145992434	0.00353107	5
UQCRH	1	+	46316645	0.000467946	3
ACTR1A	10	-	102479228	0.00117371	2
AL355315.1	10	+	97673835	0.0322581	3
AL360181.3	10	+	133420292	0.023622	3
COMMD3	10	+	22320227	0.00873362	2
MRPS16	10	-	73248842	0.00149328	3
MTG1	10	+	133420292	0.023622	3
NDUFB8	10	-	100523936,100525070	0.000362848,0.00186443	1,8
PARG	10	-	49818278	5.17911e-05	6
PI4K2A	10	+	97673897	0.0193548	3
PSAP	10	-	71816297	0.0096238	11
RPS24	10	+	78040694	0.0386147	3
TIMM23B	10	+	49974850	8.80514e-05	2
TM9SF3	10	-	96518108	0.000481464	2
VIM	10	+	17237555	0.0142116	16
AP001931.1	11	+	57742980	0.003893	2
AP002990.1	11	-	62559602	0.00134625	20
C11orf98	11	-	62662815	0.0128205	3
CCDC73	11	-	32602245	0.00530973	3
CEP57	11	+	95832693	0.000359116	7
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.0027907	6
DNHD1	11	+	6548191	0.000419419	4
FAU	11	-	65120627	0.0195708	16
HSPA8	11	-	123057488	0.00816327	2
IPO7	11	+	9406611,9410031	0.000112829,0.000416758	1,7
LBHD1	11	-	62662816	0.00961538	3
PICALM	11	-	85957683	6.17846e-05	3
PPP1CA	11	-	67398182	0.00852273	3
PPP1R14B	11	-	64244479	0.00729927	2
PTPMT1	11	+	47572360	0.00277998	7
RHOG	11	-	3826977	0.00512821	3
RPS25	11	-	119015711,119017343	0.00306916,0.0103782	6,6
RPS3	11	+	75405566	0.0310025	33
SELENOH	11	+	57742914	0.00430416	3
SF1	11	-	64764605	0.00036846	2
SLC15A3	11	-	60937083	0.00238949	1
SPI1	11	-	47354859	0.00320513	2
TALDO1	11	+	764852	0.00455581	2
AC023055.1	12	-	55757274	0.0253165	6
AC078927.1	12	-	66123916	0.00042343	6
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.0151515	5
ATP5MC2	12	-	53665165	0.0135135	2
BIN2	12	-	51281037	0.00433839	2
CLEC7A	12	-	10116776	0.000203397	2
COX14	12	+	50120456	0.0083682	1
GAPDH	12	+	6538299	0.0542636	7
GLTP	12	-	109850942	0.00124069	2
LTA4H	12	-	96000827	8.44916e-05	2
LYZ	12	+	69354120,69354232	0.0409184,0.078117	36,79
MYL6	12	+	56161432	0.0449927	8
NACA	12	-	56712427,56712752	0.0282678,0.00715178	25,5
PHB2	12	-	6965351	0.00363563	3
PTPN6	12	+	6961219	0.0084507	2
RPL41	12	+	56117806	0.241135	68
RPLP0	12	-	120196685,120197205	0.0441176,0.00321917	6,6
SLC2A3	12	-	7919229	0.00274851	6
TMBIM4	12	-	66135845	0.000179249	6
TUBA1B	12	-	49127781	0.00161681	4
DNAJC15	13	+	43107303	0.0181818	1
LCP1	13	-	46125919	0.00418911	6
RPL21	13	+	27256332,27256546	0.0712734,0.0439438	10,10
ZDHHC20	13	-	21372572	0.000213812	2
DHRS1	14	-	24290597	0.00147493	3
ELMSAN1	14	-	73715121	0.000478583	2
IGHM	14	-	105851704	0.0153257	4
NFKBIA	14	-	35401510	0.00164114	3
PNN	14	+	39177983	0.0210526	2
PPP4R3A	14	-	91457610	0.00174216	2
RPS29	14	-	49583571	0.0210526	2
RTRAF	14	+	52004523	0.0263158	3
TCL1A	14	-	95709966	0.00287047	8
TMED10	14	-	75131469	0.000261404	2
ZFP36L1	14	-	68787659	0.00176803	5
AC245033.1	15	-	82536787,82538291	0.123487,0.00101903	28,14
EIF3J	15	+	44563028	0.0010644	1
NOP10	15	-	34341712	0.00711744	2
PKM	15	-	72199028	0.000175531	2
RPS17	15	-	82536749,82538253	0.123457,0.0493148	10,28
SEC11A	15	-	84669537	0.00020642	2
SERF2	15	+	43793942	0.0414201	7
SPG11	15	-	44562695,44591546	0.00470588,0.00689454	1,5
ALDOA	16	+	30070284	0.0952381	16
ATP6V0D1	16	-	67438018	9.48767e-05	2
COTL1	16	-	84565593	0.0119904	15
METTL26	16	-	634426	0.00833333	4
NTAN1	16	-	15037852	0.00019978	2
PSMB10	16	-	67934501	0.015873	2
RABEP2	16	-	28904420	0.00383142	2
RNPS1	16	-	2253115	0.00235849	2
RPL13	16	+	89562392,89563232	0.26416,0.0974207	33,34
RPS2	16	-	1962051,1962455	0.206704,0.0140062	37,17
SPSB3	16	-	1776711	0.00519481	2
TMEM265	16	+	30744179	0.0169492	4
AC120057.2	17	-	7240426	0.0239495	29
ACTG1	17	-	81509970	0.0111266	8
CARD14	17	+	80200769	0.000581283	3
CD300E	17	-	74609886	0.0010846	3
CD79B	17	-	63928739	0.00411523	2
CISD3	17	+	38733557	0.0196078	2
DDX5	17	-	64499615	0.00194384	9
EIF1	17	+	41691535	0.0267983	19
EIF4A1	17	+	7578753	0.0337079	9
EVI2B	17	-	31303765	0.0120724	6
GRN	17	+	44353012	0.0305556	11
NME1-NME2	17	+	51171670	0.128834	21
NME2	17	+	51171670	0.128834	21
NUFIP2	17	-	29255835	0.000229806	2
P4HB	17	-	81843158	0.000365431	5
PFN1	17	-	4945651	0.0201613	5
PIGS	17	-	28553382	0.000114358	2
PPP1R9B	17	-	50133734	0.00125313	2
