DFFB	1	+	3860999	0.00392927	1
HP1BP3	1	-	20775654	0.00668896	2
SCYL3	1	-	169849630	0.000489956	2
ARL3	10	-	102673730	0.000948467	3
NACA	12	-	56712427	0.0017762	2
AL136295.1	14	-	24189156	0.00775194	2
EAPP	14	-	34529355	0.000402293	4
TM9SF1	14	-	24189142	0.00149365	2
DDX5	17	-	64499615	0.000431965	2
DDX39A	19	-	14408818	0.00112803	2
JUNB	19	+	12793110	0.0237288	7
SCAF1	19	+	49658518	0.0168067	2
RPS21	20	+	62388518	0.00528402	4
BTD	3	+	15642217	0.0253165	2
SQSTM1	5	+	179821749	0.0384615	7
HLA-A	6	+	29945638	0.0218579	4
HLA-B	6	-	31353871	0.0196399	12
HLA-C	6	-	31268748	0.00197628	5
ACTB	7	-	5527146	0.00158061	3
HNRNPA2B1	7	-	26173056	0.000296369	6
TRBC1	7	+	142793311	0.0117647	2
ZNF107	7	+	64711579	0.000684229	2
KAT6A	8	-	41934399	0.000158235	7
RPL8	8	-	144789765	0.00254165	3
