ADAR	1	-	154582056	0.000255004	2
AL713999.1	1	-	155169408	0.0107584	11
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320424	0.0327869	4
DDOST	1	-	20651766	0.00980392	6
DENND2D	1	-	111187173	0.00464037	2
ENO1	1	-	8860999	0.000709119	5
GADD45A	1	+	67687763	0.030303	2
GUK1	1	+	228148787	0.0222222	2
HAX1	1	+	154275502	0.00754717	2
HDAC1	1	+	32333315	0.0369004	10
IFI16	1	+	159055038	0.0145985	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00294334	4
LBR	1	-	225401501	0.00111049	2
LCK	1	+	32285837	0.0247934	3
MRPL20	1	-	1401907	0.0171429	3
NUDT4B	1	+	148749587	0.0449406	3
PRDM2	1	+	13752187,13756017,13756639	0.000139831,0.00013351,0.000721392	1,1,10
PSMB4	1	+	151401907	0.025641	2
PTP4A2	1	-	31906420	0.000269869	2
RPL11	1	+	23695240	0.000609385	2
RPS27	1	+	153991676,153992155	0.376238,0.0869565	38,8
RPS8	1	+	44778732	0.0425532	2
S100A10	1	-	151982914	0.016129	4
SCCPDH	1	+	246767358	0.0344828	2
SSR2	1	-	156009047	0.000196367	2
TPM3	1	-	154155303	0.000111857	2
TRAF5	1	+	211372801	0.020202	2
TXNIP	1	-	145992434	0.00491759	6
UBXN11	1	-	26281327	0.00411946	4
ITGB1	10	-	32900318	0.000243487	2
KAT6B	10	+	74960250	0.0163934	2
MMS19	10	-	97458323	8.80747e-05	2
VIM	10	+	17236619	0.00891261	6
AP001931.1	11	+	57742913	0.00287356	2
AP002990.1	11	-	62559602	0.0038515	57
AP003419.1	11	-	67351571	0.0260047	11
ATP5MG	11	+	118409057	0.00094697	2
CD44	11	+	35189736	0.00276339	8
CORO1B	11	-	67435509	0.000764234	4
CTSW	11	+	65883604	0.0190476	2
FAU	11	-	65120627,65120933	0.0827068,0.0268817	11,15
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315242	0.0930233	12
IFITM2	11	+	315242	0.0930233	12
ILK	11	+	6605319	0.00898876	4
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119017336	0.00246656,0.0391786	5,23
SELENOH	11	+	57742913	0.00287356	2
SIGIRR	11	-	405715	0.0106952	1
AC048338.1	12	-	122207778	0.0011325	12
AC073610.2	12	-	48921962	0.00921659	2
