AL713999.1	1	-	155169408	0.000496401	2
CCT3	1	-	156308967	7.10757e-05	2
CD2	1	+	116768884	0.019802	2
CD52	1	+	26320476	0.0287356	5
GUK1	1	+	228148876	0.0167598	3
HIST3H2A	1	-	228456978	0.0044843	2
PLK3	1	+	44805836	0.0126582	2
PYCR2	1	-	225919876	0.00346021	2
RAB4A	1	+	229303934	0.00208986	2
RHOC	1	-	112701105	0.000866927	2
RPS27	1	+	153991674,153992143	0.226138,0.0478898	22,19
S100A4	1	-	153543612	0.0205479	3
SSR2	1	-	156009047	0.000589102	6
TAGLN2	1	-	159918106	0.002886	2
TMEM50A	1	+	25360854	0.0134228	2
UBXN11	1	-	26281327	0.00205973	2
GHITM	10	+	84152530	0.010989	2
NDUFB8	10	-	100523936	0.000367715	2
PRF1	10	-	70597347	0.00283688	2
RPS24	10	+	78040683	0.000737191	2
VIM	10	+	17236462	0.00187091	2
AP001931.1	11	+	57742247,57742933	0.0446118,0.0555063	1,5
AP002990.1	11	-	62559602	0.00111741	16
ATP5MG	11	+	118408992	0.00097704	2
CCDC85B	11	+	65891519	0.015748	2
CD3D	11	-	118338953	0.00961538	2
CTSW	11	+	65883724	0.0355556	8
FAU	11	-	65120627	0.0115084	9
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315222	0.0366972	4
IFITM2	11	+	315222	0.0366972	4
LDHA	11	+	18407077	0.000481618	3
MED17	11	+	93788150	0.00184275	6
RPS25	11	-	119015711,119017318	0.00249617,0.0185167	5,11
SELENOH	11	+	57742247,57742933	0.0446118,0.0555063	1,5
TCIRG1	11	+	68050891	0.0288462	3
ARHGAP9	12	-	57472254	0.00144823	1
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.00606061	2
ATP2A2	12	+	110288385,110351088	0.000858059,1.83346e-05	4,1
BICDL1	12	+	120016790	0.000117793	2
BIN2	12	-	51281037	0.00433839	2
CD27	12	+	6451506	0.0175439	2
DYNLL1	12	+	120498286	0.0129032	2
GAPDH	12	+	6538298	0.0390625	5
IFNG	12	-	68154767	0.00683761	4
MYL6	12	+	56161466	0.0370361	2
NACA	12	-	56712427	0.0062167	7
NDUFA12	12	-	94971331	7.81311e-05	2
PHB2	12	-	6965351	0.00182315	2
PTPN6	12	+	6961181	0.022082	7
RPL41	12	+	56117787	0.152091	40
RPLP0	12	-	120196685	0.00255151	6
TUBA1A	12	-	49184795	0.0186916	3
AL928654.3	14	+	105488709	0.0625053	3
CALM1	14	+	90404804	0.00568182	2
CRIP1	14	+	105488709	0.0625053	3
HSP90AA1	14	-	102080737	0.00205339	2
LTB4R	14	+	24316790	0.025	2
NFKBIA	14	-	35401510	0.00109409	2
PPP2R5C	14	+	101828867,101829724,101834001,101857222	0.000646924,0.00190133,0.00108033,0.00012615	3,10,10,4
PSME1	14	+	24138805	0.0122324	4
RABGGTA	14	-	24265537	0.000907441	2
RPS29	14	-	49583571	0.0315789	3
AC245033.1	15	-	82536787,82538302,82538810	0.000402714,0.00012476,0.000133255	6,1,2
RPS17	15	-	82536749,82538772	0.00148717,0.00887669	3,5
SERF2	15	+	43793982	0.0239234	5
ALDOA	16	+	30070376	0.05	13
ATP6V0C	16	+	2519931	0.016129	3
ATXN2L	16	+	28837236	0.000422119	2
CORO1A	16	+	30189043	0.0253165	2
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806804	0.00662252	2
IL32	16	+	3069480	0.024	3
MT2A	16	+	56609337	0.0131579	2
RPL13	16	+	89562391,89562968,89563261	0.0190456,0.157177,0.0273445	2,33,11
RPS2	16	-	1962051,1962463	0.117647,0.0148772	22,18
SLX1B	16	+	29458202	0.025641	2
UQCRC2	16	+	21983128	0.0011582	2
VKORC1	16	-	31090841	0.00641026	3
AC120057.2	17	-	7240426	0.00240192	3
ACTG1	17	-	81509970	0.0166667	11
BECN1	17	-	42810133	0.000953743	2
CBX4	17	-	79833155	0.00249066	2
CCL5	17	-	35871490	0.010158	9
CD7	17	-	82314867	0.00157109	2
DDX5	17	-	64499615	0.0012959	6
EIF1	17	+	41691271	0.0224719	10
EIF4A3	17	-	80135213	0.00724638	2
FAM117A	17	-	49710331	0.00216685	2
GHDC	17	-	42189087	0.00176211	2
GRAPL	17	+	19157304	0.000227462	3
PFN1	17	-	4945651	0.0201613	5
RPL26	17	-	8377515,8379740	0.0813008,0.0500529	10,46
SRSF2	17	-	76734114	0.00195503	4
AC011462.1	19	+	41424824	0.00925926	2
AD000671.2	19	-	35739251	0.000976372	5
BCKDHA	19	+	41424824	0.00925926	2
BORCS8-MEF2B	19	-	19145566	0.000284406	9
BST2	19	-	17402938	0.0026455	2
CIRBP	19	+	1274609	0.00671141	2
COX6B1	19	+	35658701	0.021978	2
DEDD2	19	-	42198597	0.00238095	2
DNAJB1	19	-	14514769	0.00254168	2
EEF2	19	-	3976055	0.0060241	3
FTL	19	+	48966833	0.0204082	1
GPX4	19	+	1106596	0.04	2
GZMM	19	+	549913	0.0245902	3
ISYNA1	19	-	18434387	0.000810045	2
JUNB	19	+	12793160	0.0666667	23
JUND	19	-	18279759	0.0366791	24
MEF2B	19	-	19145567	0.0142653	10
NKG7	19	-	51371605	0.0588235	13
RASAL3	19	-	15451623	0.00291262	3
RPL18	19	-	48615327,48616013	0.00599288,0.00383086	8,2
RPL28	19	+	55388049,55388378	0.209815,0.0588267	7,8
RPL36	19	+	5691872	0.00828729	3
RPS11	19	+	49498024,49499638	0.0264562,0.0464063	2,8
RPS15	19	+	1440422	0.038835	3
RPS16	19	-	39433206	0.0228013	7
RPS19	19	+	41869191	0.00511945	27
RPS28	19	+	8322375	0.0285798	3
RPS9	19	+	54207546,54207520	0.0525572,0.0514286	8,9
SSBP4	19	+	18434391	0.0137931	2
TRIR	19	-	12730639	0.00348432	3
UBE2M	19	-	58555711	0.00795756	3
BCL2L11	2	+	111128840	0.0224719	2
CD8A	2	-	86784609	0.00229008	3
CD8B	2	-	86841581	0.00275862	1
DNMT3A	2	-	25227854	0.000257843	3
DUSP2	2	-	96143165	0.0243428	15
GPR75-ASB3	2	-	53670292	0.00952381	2
OST4	2	-	27070471	0.00454762	3
PCBP1	2	+	70088982	0.0297619	5
PTMA	2	+	231712440,231712837	0.00243452,0.00247149	2,3
RPL31	2	+	101006057	0.00113186	2
RPL37A	2	+	216500029,216501385	0.0424671,0.0418894	3,4
SF3B6	2	-	24067583	0.011236	2
TMSB10	2	+	84906674	0.0438247	11
CST7	20	+	24959839	0.0314961	4
LIME1	20	+	63738980,63739100,63738599	0.0874096,0.0250362,0.0168067	6,5,2
RPS21	20	+	62387915,62388520,62388519	0.0283378,0.0170237,0.0113997	4,6,2
COL6A2	21	+	46132656	0.0192308	2
HMGN1	21	-	39342314	0.000387597	2
AP000350.4	22	+	23895178	0.0265487	3
ATP6V1E1	22	-	17592135	0.00371747	2
