CRY2	11	+	45880986	0.000228441	2
LDHA	11	+	18404310	0.0017331	6
STIM1	11	+	4091437	0.018018	2
LDHB	12	-	21635341	0.015	3
AL928654.3	14	+	105488686	0.0114286	2
CRIP1	14	+	105488686	0.0114286	2
FOS	14	+	75282230	0.00248139	2
SLC38A6	14	+	60981614	0.0521739	6
SLIRP	14	+	77720816	0.0261194	7
RPL13	16	+	89562890	0.00243296	2
RPS2	16	-	1962051	0.00296033	5
ACTG1	17	-	81509970	0.00278164	2
ARL17A	17	-	46554043	0.00120773	4
EIF1	17	+	41691105	0.00716846	2
EIF4A1	17	+	7578585	0.020202	2
JUNB	19	+	12793042	0.0264317	6
JUND	19	-	18279759	0.00293686	2
COPS8	2	+	237087696	0.0160428	3
RPS21	20	+	62388248	0.00410678	2
STX16-NPEPL1	20	+	58691552	0.0454545	3
PPP4R2	3	+	73015905	0.0338983	2
TMEM43	3	+	14129156	0.0353982	4
BRD2	6	+	32979517	0.000940391	3
EEF1A1	6	-	73515749	0.00184672	4
HLA-A	6	+	29945648	0.0207254	4
LTB	6	-	31580554	0.00199203	2
PPIA	7	+	44800605	0.0276243	5
URGCP-MRPS24	7	-	43866557	0.00164745	4
