AC118553.2	1	+	100083319	2.37948e-05	2
AL713999.1	1	-	155169408	0.00300602	11
APH1A	1	-	150265398	0.00178094	2
ARID4B	1	-	235131633	0.000101368	3
ATP5PB	1	+	111461108	0.0350877	4
BTG2	1	+	203307800	0.00552486	2
C1orf162	1	+	111478329	0.00970874	1
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320507	0.0536585	11
CDC42SE1	1	-	151050970	0.000915751	3
CTSS	1	-	150730195	0.000219241	3
DDOST	1	-	20651766	0.00490196	3
EPS15	1	-	51461122	0.00152439	4
FCER1G	1	+	161220654,161219245	0.0241935,0.0927152	3,28
FCGR3A	1	-	161541758	0.0263368	33
GNG5	1	-	84498324	0.00170031	5
H3F3A	1	+	226071873,226067269	0.0685279,0.00218978	27,3
HIST2H2AA4	1	+	149851531	0.08	2
HIST3H2A	1	-	228456978	0.0044843	2
LAPTM5	1	-	30732468	0.00294334	4
MCL1	1	-	150574550	0.00106232	3
MINOS1	1	+	19626535	0.0671642	9
MINOS1-NBL1	1	+	19623582,19626535	5.53035e-05,0.0728476	1,13
MNDA	1	+	158849358	0.0247934	3
NBPF14	1	-	148531384	0.000174114	8
OLFML2B	1	-	161983191	0.00414079	2
PARK7	1	+	7985163	0.0183486	2
PTP4A2	1	-	31906420	0.000269869	2
RER1	1	+	2403134	0.00238379	2
RHOC	1	-	112701105	0.0047681	11
RNPEP	1	+	202006015	0.0133779	4
RPS27	1	+	153991677,153992148	0.170125,0.0950874	17,17
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.0564516	14
S100A11	1	-	152032505	0.0448718	7
S100A4	1	-	153543612	0.157534	23
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153360958	0.0166667	2
SFPQ	1	-	35176377	0.00122324	1
SH3BGRL3	1	+	26281477	0.00404858	2
SPATA6	1	-	48399582	0.000659268	7
SSR2	1	-	156009047	0.000294551	3
TAGLN2	1	-	159918106	0.002886	2
TMEM50A	1	+	25361017	0.0160256	5
TXNIP	1	-	145992434	0.00141243	2
UBXN11	1	-	26281327	0.0144181	14
AL360181.3	10	+	133420428	0.0114068	3
ATP5MD	10	-	103389040	0.000634317	2
CALHM2	10	-	103446785	0.00546448	2
GDI2	10	-	5765222	0.00825472	7
IDE	10	-	92474471,92517335	9.43192e-05,4.82224e-05	7,2
MTG1	10	+	133420428	0.0114068	3
