AC114490.2	1	-	34981532	0.00083717	2
AL713999.1	1	-	155169408,155169680	0.00407182,0.00438415	5,4
ARID4B	1	-	235131633	0.00019991	5
ATP1A1	1	+	116404560	0.0172414	2
C1orf131	1	-	231223762	0.00117371	2
CAPZB	1	-	19338775	0.000501756	1
CD52	1	+	26320474	0.0465116	8
CDK11A	1	-	1702729	0.0008726	2
COPA	1	-	160288685	4.44523e-05	2
DENND4B	1	-	153929500	0.00251256	2
GUK1	1	+	228148831	0.0223881	3
HIST2H2AA3	1	-	149842187	0.0677966	8
HIST2H2AA4	1	+	149851624	0.0508475	6
ICMT	1	-	6221192	0.000150921	1
LAPTM5	1	-	30732468	0.00367918	5
MRPL9	1	-	151759642	0.000704473	2
NUDC	1	+	26946329	0.0202703	3
PIP5K1A	1	+	151199748	0.00158228	1
RPL11	1	+	23694792,23696383	0.00438048,0.0496359	8,62
RPL5	1	+	92841922	0.0350877	2
RPS27	1	+	153991676,153992134	0.270059,0.126585	27,21
RUNX3	1	-	24899510	0.00229215	5
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0205479	3
SRM	1	-	11054588	0.00699301	2
SSR2	1	-	156009047	0.000392734	4
TMEM35B	1	-	34981534	0.00488998	2
TXNIP	1	-	145992434	0.00419403	5
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46316571	0.000315607	1
AGAP9	10	-	47501853	0.00671141	2
C10orf95	10	-	102449836	0.00487805	3
HNRNPH3	10	+	68342189	0.0148148	2
RPS24	10	+	78040649	0.00447928	12
AP002990.1	11	-	62559602,62559717	0.00389427,0.000517694	58,7
BSCL2	11	-	62690274	0.00178412	2
C11orf58	11	+	16755018	0.0625	9
CORO1B	11	-	67435509	0.00458057	23
CTSW	11	+	65883653	0.012987	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120729	0.0293914,0.137402	5,20
FOSL1	11	-	65892048	0.00241935	3
HNRNPUL2-BSCL2	11	-	62690274	0.000117841	2
HSPA8	11	-	123057488	0.00816327	2
IFITM1	11	+	315230	0.0683761	8
IFITM2	11	+	315230	0.0683761	8
NAP1L4	11	-	2944430	0.000200642	2
PPP1CA	11	-	67398182	0.00852273	3
PSMA1	11	-	14504875	0.00632911	2
PTPRCAP	11	-	67435509	0.0762332	17
RAD9A	11	+	67392967	0.030303	6
RPL27A	11	+	8685675	0.0199862	19
RPS25	11	-	119015711,119015832,119017321	0.00842281,0.094683,0.00261342	6,27,1
SNX15	11	+	65040570	0.00514139	3
TSSC4	11	+	2403688	0.0277778	2
UCP2	11	-	73974666	0.00973236	4
ARHGDIB	12	-	14942016	0.0158416	8
BIN2	12	-	51281037	0.00433839	2
EMG1	12	+	6986516,6993143,6997426	0.000385555,0.000152686,0.000982585	1,1,14
GAPDH	12	+	6538296	0.0238095	3
GLIPR1	12	+	75500874	0.000621242	3
KLRC1	12	-	10446027	0.0133843	7
LDHB	12	-	21635341	0.035	7
LPCAT3	12	-	6981808,6983578,6986515	0.000480632,0.000167247,0.000239536	9,2,3
NACA	12	-	56712427,56712729	0.0402657,0.0279361	17,18
NOP2	12	-	6563907	0.00262238	6
PFDN5	12	+	53299449	0.0327731	8
RPL41	12	+	56117809	0.25614	73
EBPL	13	-	49668169	0.010989	2
INTS6	13	-	51436425	0.00013708	1
ITM2B	13	+	48253931	0.000136193	2
LCP1	13	-	46125919	0.00299222	5
RPL21	13	+	27256333,27256545	0.162574,0.0715407	24,17
SAP18	13	+	21147298	0.0234375	3
AL928654.3	14	+	105488730,105492266	0.113999,0.000282806	8,1
ATP5MPL	14	-	103912287	0.0017514	2
CALM1	14	+	90404857	0.00493827	2
CRIP1	14	+	105488730,105488946	0.109652,0.00462981	8,1
DEGS2	14	-	100143956	0.0013947	4
DHRS4	14	+	23967384	0.0175439	2
DHRS4L2	14	+	24004581	0.0189573	4
FOS	14	+	75282227	0.014944	12
GPATCH2L	14	+	76180253	0.000980392	2
HSP90AA1	14	-	102082664	0.000733945	2
MTA1	14	+	105460798	0.000861783	13
NFKBIA	14	-	35401510	0.00218818	4
RBM25	14	+	73097030	0.000231187	2
RPS29	14	-	49583571	0.0421053	4
SRSF5	14	+	69770838	0.00156617	2
WDR20	14	+	102223670,102210530	0.000104439,0.000175891	3,3
AC245033.1	15	-	82536787,82538252	0.000356418,0.000182577	6,2
HYPK	15	+	43802080	0.006	3
RPS17	15	-	82536749,82538214	0.00140097,0.00473105	3,5
AC120114.4	16	+	29820029	0.0290909	8
ATP6V0C	16	+	2519922	0.0169492	3
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66565954	0.000699545	2
CKLF-CMTM1	16	+	66565954	0.000699545	2
CORO1A	16	+	30189037	0.0273973	2
CORO7	16	-	4354541	3.26637e-05	2
COTL1	16	-	84565593	0.00559552	7
COX4I1	16	+	85806802	0.00666667	2
GLG1	16	-	74447426	0.000133276	4
IL32	16	+	3069543	0.0159574	2
ITGAL	16	+	30475448	0.0128205	2
NDUFB10	16	+	1961906	0.0116279	2
PAGR1	16	+	29820029	0.0290909	8
RPL13	16	+	89562392,89563024,89563443	0.143842,0.271353,0.0262605	18,72,16
RPS2	16	-	1962051,1962171,1962483	0.0666931,0.312577,0.0104013	13,48,13
TCF25	16	+	89883464	0.00040282	2
AC026954.2	17	-	7312660	0.00503666	13
AC087289.3	17	-	75898644	0.000730927	8
AC120057.2	17	-	7240426	0.012777	15
ACTG1	17	-	81509970	0.0236439	17
ANAPC11	17	+	81900044	0.000368189	2
CCL5	17	-	35871490	0.0158014	14
CHRNB1	17	+	7457704	0.00203874	2
CYBC1	17	-	82442588	0.000487329	2
DDX5	17	-	64499615	0.000647948	3
DPH1	17	+	2043430	0.00155909	5
EIF1	17	+	41691317	0.00814664	3
EIF4A1	17	+	7578547,7578988,7578605,7579005	0.00185422,0.00420014,0.0285802,0.00500762	7,17,3,2
EIF5A	17	+	7312462	0.0186916	13
G6PC3	17	+	44076343,44076309	0.00155159,0.00156189	8,8
GPS2	17	-	7312659	0.0165017	4
HEXIM1	17	+	45150542	0.0110294	3
KRT10	17	-	40818116	0.00557103	2
MRPL38	17	-	75898642	0.0241546	5
NLRP1	17	-	5514121	0.00316456	2
NME1-NME2	17	+	51171677	0.0764706	13
NME2	17	+	51171677	0.0764706	13
OVCA2	17	+	2043430	0.0153374	5
PFN1	17	-	4945651	0.0120968	3
RETREG3	17	-	42579512	6.76384e-05	2
RPA1	17	+	1900080	0.000688468	2
RPL19	17	+	39204724	0.0394737	3
RPL26	17	-	8377515,8379739	0.106557,0.0382979	13,36
RPL27	17	+	43002784,43002914	0.0512976,0.046905	11,13
