HIST2H2AA4	1	+	149851595	0.0224719	2
PSAP	10	-	71816297	0.00174978	2
LRP5	11	+	68441032	5.3268e-05	2
NXF1	11	-	62792122	0.000731797	6
CD27	12	+	6451535	0.013986	2
TCF25	16	+	89883407	0.000407498	2
ZC3H7A	16	-	11765516	0.00101078	3
EIF4A1	17	+	7578595	0.0275229	3
RNF125	18	+	32045841	0.0182927	3
RPS15	19	+	1440436	0.017094	2
RPS21	20	+	62388332	0.00700525	4
AC021660.3	3	-	98521132	9.69438e-05	3
HCLS1	3	-	121631398	0.00894855	4
RPL35A	3	+	197954108	0.000716076	2
CAMK4	5	+	111395274,111395274	0.00371747,0.00371747	2,2
NDUFS4	5	+	53603510	0.000133999	4
NIPBL	5	+	37064981	0.0224719	2
RACK1	5	-	181236908	0.000295334	2
SQSTM1	5	+	179822140	0.0488656	28
ABHD16A	6	-	31686948	0.000132092	2
AL662899.1	6	-	31686961	7.95545e-05	2
BTN3A2	6	+	26373587	0.0125	2
HLA-C	6	-	31268748	0.00197628	5
