AC114490.2	1	-	34981532	0.00167434	4
CAPZB	1	-	19338775	0.000501756	1
CD247	1	-	167430639	0.00192123	2
CD52	1	+	26320447	0.0206897	3
EIF2B3	1	-	44850521	0.0083682	3
ENO1	1	-	8860999	0.000425472	3
ID3	1	-	23557917	0.00191939	2
LAMTOR5	1	-	110401248	0.00729927	2
LAPTM5	1	-	30732468	0.00367918	5
MCL1	1	-	150574550	0.00106232	3
PARK7	1	+	7985154	0.02	2
PDE4DIP	1	+	148981539	0.0210526	2
RCC2	1	-	17406759	0.000858369	2
RPS27	1	+	153991675,153992121	0.233392,0.0678524	23,5
TMEM35B	1	-	34981534	0.00977995	4
TXNIP	1	-	145992434	0.00423729	6
UBXN11	1	-	26281327	0.00205973	2
UROD	1	+	45015514	0.0128205	2
AC022400.6	10	-	73796513	0.000322529	2
NSUN6	10	-	18545560	0.0349382	12
RPS24	10	+	78040692	0.000734754	1
SAR1A	10	-	70147288	0.000385579	2
AP002990.1	11	-	62559602	0.00218113	32
ATP5MG	11	+	118408974	0.000985707	2
CCDC73	11	-	32602245	0.00353982	2
CORO1B	11	-	67435509	0.0026607	13
EEF1G	11	-	62559600	0.0384615	3
FAU	11	-	65120627,65120917	0.0683761,0.0087108	8,5
IFITM1	11	+	315272	0.0440252	6
IFITM2	11	+	315272	0.0440252	6
PTPMT1	11	+	47571634	0.0238019	5
PTPRCAP	11	-	67435509	0.044843	10
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017319	0.00187057,0.020802	4,12
SPTY2D1	11	-	18606400	0.000578035	2
ARHGDIB	12	-	14942016	0.0039604	2
BLOC1S1	12	+	55719551	0.00907029	4
BLOC1S1-RDH5	12	+	55719551	0.00907029	4
CCDC91	12	+	28334086	6.80226e-05	2
DDIT3	12	-	57516587	0.00904977	2
LDHB	12	-	21635341	0.025	5
MYL6	12	+	56161466	0.0361436	2
NACA	12	-	56712427,56712747	0.00605287,0.00516464	6,4
RPL41	12	+	56117827	0.137503	41
RPLP0	12	-	120196685	0.00218411	5
SETD1B	12	+	121832582	0.000853606	2
SLC2A3	12	-	7931350	0.0027933	5
TMBIM4	12	-	66135845	0.000268873	9
ITM2B	13	+	48261002,48261227	0.000564438,0.00101946	2,5
RPL21	13	+	27256528	0.0403269	13
AL928654.3	14	+	105488705	0.00526317	1
CRIP1	14	+	105488705	0.00526317	1
NFKBIA	14	-	35401510	0.00164114	3
PNN	14	+	39178024	0.0514706	7
RPS29	14	-	49583571	0.0421053	4
AC245033.1	15	-	82536787,82538268	0.00692149,0.000298982	15,4
CCDC32	15	-	40531330	8.83392e-05	2
CSK	15	+	74802612	0.020202	2
RPS17	15	-	82536749,82538230	0.00308601,0.0248353	4,15
SERF2	15	+	43793930	0.0382166	6
ALDOA	16	+	30070237	0.0165289	2
LAT	16	+	28990500	0.00409836	2
NPIPB13	16	-	30235498	0.000424268	2
NPIPB5	16	+	22523212	0.000741656	3
PYDC1	16	-	31215961	0.00501882	3
RPL13	16	+	89562392,89563158	0.145842,0.109014	18,42
RPS2	16	-	1962051,1962396	0.133333,0.014872	16,19
SNX20	16	-	50671624	0.00168445	3
STUB1	16	+	682585	0.0208333	2
XPO6	16	-	28097978	0.00357782	2
AARSD1	17	-	42950525	0.00222222	3
ATP5PD	17	-	75039017	0.00200602	2
CRLF3	17	-	30782683,30785590	0.00072597,0.000388019	9,4
DCXR	17	-	82035967	0.0060423	2
EIF4A1	17	+	7578575	0.0561798	5
NME1-NME2	17	+	51171652	0.0206897	3
NME2	17	+	51171652	0.0206897	3
OVCA2	17	+	2043310	0.00970874	1
PFN1	17	-	4945651	0.0282258	7
RPL26	17	-	8377515,8379722	0.0952381,0.0219436	10,21
RPL27	17	+	43002876	0.0289433	11
SLC35B1	17	-	49700933	0.00100969	5
TIAF1	17	-	29073520	0.0120846	4
MYL12A	18	+	3256024	0.0188679	2
AC008763.3	19	+	7682852	0.0220386	8
AD000671.2	19	-	35739251	0.000585823	3
CDC37	19	-	10391133	0.00479616	1
GMFG	19	-	39328352,39329448	0.00456575,0.0160931	5,2
JUNB	19	+	12793160	0.057971	20
JUND	19	-	18279759	0.00293686	2
MAN2B1	19	-	12646512	0.0186916	1
POLD1	19	+	50417916	0.00819672	6
RPL13A	19	+	49491099,49491728,49492308	0.00373281,0.00455904,0.0233567	2,4,25
RPL18	19	-	48615327,48615855,48616057	0.04,0.112672,0.00633058	4,15,4
RPL28	19	+	55388047,55388372	0.170583,0.0530329	5,7
RPL36	19	+	5691622	0.0420311	3
RPS11	19	+	49498041,49499638	0.0147307,0.0450272	1,7
RPS15	19	+	1440477	0.0383856	4
RPS16	19	-	39433206	0.0358306	11
RPS19	19	+	41869191	0.0178133	29
RPS28	19	+	8322297	0.00900901	2
RPS9	19	+	54207535,54207644,54207521	0.106101,0.0276254,0.0196078	14,6,18
SNRPD2	19	-	45687453	0.00816327	2
UBA52	19	+	18575233	0.0240964	2
UBE2M	19	-	58555711	0.0132626	5
VAV1	19	+	6857218	0.018018	2
BIN1	2	-	127048026	0.00601202	3
DARS	2	-	135906676	0.00312989	2
DUSP2	2	-	96143165	0.00304414	2
HSPD1	2	-	197494639	0.00182949	5
MTLN	2	-	110211528	0.00242131	2
OST4	2	-	27070471	0.0022805	2
PNO1	2	+	68176078	0.0015674	2
PTMA	2	+	231712442,231713012	0.00149784,0.00464916	1,7
RPL31	2	+	101006390	0.00142857	3
RPL37A	2	+	216500031,216501467	0.123288,0.03125	9,4
TMSB10	2	+	84906656	0.158798	37
AL121845.3	20	+	63736283	0.00824176	3
DYNLRB1	20	+	34540811	0.0160428	3
PPDPF	20	+	63521955	0.0263158	2
RPS21	20	+	62388335	0.0634157	11
ZGPAT	20	+	63736047	0.0234375	3
BRWD1	21	-	39236717	0.000143062	4
U2AF1L5	21	-	6484622	0.000782881	6
DDX17	22	-	38483439	0.0012024	3
NOL12	22	+	37691423,37693335	0.0799363,0.000523034	6,1
PARVB	22	+	44169121	0.00677201	3
PPP6R2	22	+	50444353	0.025	3
RAC2	22	-	37225260	0.00141643	2
Z83844.1	22	+	37691423,37693426	0.0799601,0.000499268	6,1
ARIH2OS	3	-	48917787	0.00408998	2
QRICH1	3	-	49029706	0.00268456	2
RBSN	3	-	15084734,15085898	0.00040309,0.000588983	2,3
RPL29	3	-	51993521	0.0159833	23
RPL35A	3	+	197955746,197955848	0.00128681,0.00381605	5,17
RPS3A	4	+	151104287,151104634,151104232	0.166942,0.104305,0.00296077	8,19,4
ANXA6	5	-	151101104	0.0058309	2
BTF3	5	+	73505350	0.0178571	2
CAMK4	5	+	111403194,111402757	0.00118231,0.00124673	10,10
DUSP1	5	-	172768089	0.00446429	3
HNRNPH1	5	-	179614177	0.000385951	3
IL6ST	5	-	55935094	0.000348176	8
IRF1	5	-	132486663	0.00753769	3
KIAA1191	5	-	176346060	0.00129955	2
NPM1	5	+	171410731	0.0180723	3
RACK1	5	-	181236908,181237509	0.00121343,0.00104535	8,6
RNF44	5	-	176526696	0.000370233	2
SQSTM1	5	+	179821799,179822188	0.0888129,0.0102986	20,6
ABHD16A	6	-	31686948	0.000264183	4
AL662899.1	6	-	31686961	0.000159109	4
C6orf106	6	-	34587287	0.000610314	2
CCND3	6	-	41934932	0.0019861	2
CLIC1	6	-	31730580	0.0114943	3
GPSM3	6	-	32190765	0.00181818	2
HLA-A	6	+	29945769	0.0477707	15
HLA-B	6	-	31353871	0.0392744	23
HLA-C	6	-	31268748	0.00592885	14
IER3	6	-	30743198	0.00221484	2
KIFC1	6	+	33409853	0.0245399	4
AC004922.1	7	+	99394652	0.0163636	9
ARPC1B	7	+	99394666	0.041261	9
BRAT1	7	-	2537876	0.0104167	2
GIMAP1	7	+	150721092	0.011976	2
LUC7L2	7	+	139400321	0.00117786	1
PVRIG	7	+	100221409	0.0126582	2
TRBC1	7	+	142793356	0.0372093	8
AGPAT5	8	+	6709465	0.0127551	5
EEF1D	8	-	143579696	0.00854364	7
RPL30	8	-	98041720,98042642	0.0466149,0.0013684	18,3
RPL8	8	-	144789765	0.0143558	16
RPS20	8	-	56072946	0.00811908	6
ANXA1	9	+	73170258	0.0264901	4
DPP7	9	-	137110541	0.00145576	4
RPL35	9	-	124857879	0.0118846	7
SEC61B	9	+	99230511	0.0229885	2
GPM6B	X	-	13771030	0.00142328	5
IDS	X	-	149502659	0.00377358	2
IL2RG	X	-	71107403	0.00218103	2
RPL10	X	+	154400912	0.0344828	2
RPL36A	X	+	101395737	0.00164294	6
RPL39	X	-	119786505	0.0842697	15
SLC25A6	X	-	1386151	0.00444444	2
TMSB4X	X	+	12977172	0.110803	40
