AL713999.1	1	-	155169408	0.000959491	3
ARHGAP30	1	-	161046947	0.00260756	2
ATP1A1	1	+	116404541	0.0206186	2
ATP5PB	1	+	111461209	0.0186047	4
C1orf123	1	-	53214098	0.00357143	2
C1orf162	1	+	111478354	0.012987	3
CAPZB	1	-	19338775	0.00175615	7
CD48	1	-	160678745	0.0196078	6
CD52	1	+	26320512	0.0809524	17
CTSS	1	-	150730195	0.000790209	13
DDOST	1	-	20651766	0.0114379	6
DRAM2	1	-	111117332	0.00241838	2
EFHD2	1	+	15429015	0.00677966	2
FCER1G	1	+	161219217	0.040146	11
GNB1	1	-	1785284	0.000977517	2
GNG5	1	-	84498324	0.00226979	7
GUK1	1	+	228148875	0.0168539	3
H3F3A	1	+	226071977	0.0341365	17
HDGF	1	-	156742106	0.00149031	2
HIST2H2AA4	1	+	149851591	0.0352941	3
HMGCL	1	-	23801884	5.52792e-05	2
IVNS1ABP	1	-	185296387,185306749	0.00182149,0.0142857	3,3
KDM1A	1	+	23083454	0.0222222	2
KIAA0319L	1	-	35433489	0.0014245	2
LYPLA2	1	+	23795537	0.00167364	1
MCL1	1	-	150574550	0.00495751	14
MINOS1	1	+	19626537	0.0220588	3
MMACHC	1	+	45513379	0.00120077	5
MNDA	1	+	158849504	0.0337079	9
MTHFR	1	-	11785722	0.000137108	2
NCF2	1	-	183555562	0.00720721	4
PARK7	1	+	7985240	0.0215054	4
PPIH	1	+	42676699	0.000862069	8
PRDX1	1	-	45511035	0.0136519	4
RAD54L	1	+	46261181	0.0197368	3
RER1	1	+	2403122	0.00241838	2
RHOC	1	-	112701105	0.00173385	4
RIT1	1	-	155897807	0.000775194	2
RPS27	1	+	153991675,153992149	0.066312,0.0460373	6,7
S100A10	1	-	151982914	0.0685484	17
S100A11	1	-	152032505	0.0512821	8
S100A12	1	-	153373705	0.0330579	4
S100A4	1	-	153543612	0.116438	17
S100A6	1	-	153534598	0.0618557	6
S100A8	1	-	153390031	0.056338	4
S100A9	1	+	153360924,153361027	0.64305,0.135967	55,25
SELL	1	-	169690666	0.00179051	2
SH3BGRL3	1	+	26281514	0.0773639	27
TAGLN2	1	-	159918106	0.011544	8
TMEM50A	1	+	25360945	0.00833333	2
TXNIP	1	-	145992434	0.00211864	3
UBAP2L	1	+	154263286	0.0149254	2
UBR4	1	-	19074505	0.00920245	3
UBXN11	1	-	26281327	0.0144181	14
UQCRH	1	+	46316683	0.0296283	6
ATP5F1C	10	+	7807106	0.015873	2
DNAJC1	10	-	21756536	0.0133333	2
FRAT2	10	-	97332496	0.0014556	2
JMJD1C	10	-	63167220	0.00242718	1
LIPA	10	-	89213568	0.00317712	3
PPP2R2D	10	+	131934522	0.000262847	6
PSAP	10	-	71816297	0.0096238	11
RPS24	10	+	78040674	0.000739645	2
SRGN	10	+	69104542	0.00473934	2
VIM	10	+	17236292,17237582	0.00610662,0.0015502	2,2
AHNAK	11	-	62515904	0.017824	14
AP001931.1	11	+	57742928	0.0745045	7
AP002990.1	11	-	62559602	0.0035883	53
AP003419.1	11	-	67351571	0.0141844	6
ARL2	11	+	65022037	0.010989	2
ATP5MG	11	+	118407094,118409110	0.0263997,0.0348504	3,6
BRMS1	11	-	66337332	0.000542888	2
CCDC88B	11	+	64357269	0.0171429	3
CFL1	11	-	65854674	0.033261	21
CPT1A	11	-	68754888	0.000725953	1
CTSD	11	-	1752751	0.00511628	10
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120939	0.100719,0.0144928	14,8
FCHSD2	11	-	72836744	0.000977517	2
FERMT3	11	+	64223663	0.0175439	3
GSTP1	11	+	67586422,67586462	0.0080066,0.00643592	7,5
HSPA8	11	-	123057488	0.0163265	4
LMO2	11	-	33858575	0.000802955	5
MPEG1	11	-	59208509	0.000907029	2
MS4A6A	11	-	60172013	0.00198223	12
PHLDA2	11	-	2928272	0.00315956	2
PPP1CA	11	-	67398182	0.00852273	3
PTPMT1	11	+	47571713	0.0282947	6
RHOG	11	-	3826977	0.0119658	7
RNH1	11	-	494511	0.000803859	5
RPS25	11	-	119015711,119017322	0.00249117,0.0121424	5,7
SELENOH	11	+	57742928	0.0745045	7
SIGIRR	11	-	405715	0.0106952	1
SLC15A3	11	-	60937083	0.00238949	1
SPI1	11	-	47354859	0.00961538	6
TALDO1	11	+	764959	0.0607987	8
TCIRG1	11	+	68050830	0.0465116	2
TPP1	11	-	6612762	0.000466636	3
TRMT112	11	-	64316459	0.00475624	3
UBE2L6	11	-	57551655	0.0042735	3
AC023055.1	12	-	55757274	0.0295359	7
AC048338.1	12	-	122207778	0.000377501	4
ANAPC5	12	-	121308356	0.000201045	2
ARHGDIB	12	-	14942016	0.0158416	8
ARPC3	12	-	110434824	0.0212121	7
ATP2A2	12	+	110309241,110317163,110323982	0.000102819,0.000327047,0.000408313	2,11,16
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0135135	2
BLOC1S1	12	+	55719572	0.00865801	4
BLOC1S1-RDH5	12	+	55719572	0.00865801	4
COX14	12	+	50120303	0.0232558	2
COX6A1	12	+	120440741	0.0147059	3
CTDSP2	12	-	57819926	0.000544218	2
DIABLO	12	-	122207661	0.000213129	4
DYNLL1	12	+	120498395	0.030303	8
GAPDH	12	+	6538370	0.055	11
GATC	12	+	120463749	0.0003003	2
HCAR3	12	-	122714755	0.00244499	2
HEBP1	12	-	12974863	0.0045045	2
LRRK2	12	+	40368038	0.014652	4
LTA4H	12	-	96000827	0.000126737	3
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161518	0.0451018	6
NACA	12	-	56712427,56712774	0.0347826,0.0192406	4,14
NDUFA12	12	-	94971331	7.81311e-05	2
NFE2	12	-	54292110	0.00760456	2
PTPN6	12	+	6961278	0.0635667	16
RPL41	12	+	56117813	0.16955	49
RPLP0	12	-	120196685	0.004086	10
SRSF9	12	-	120461667	0.000636132	2
TMBIM6	12	+	49758678,49764874	0.00625,0.00638563	2,9
TNFRSF1A	12	-	6328756	0.000426167	1
TUBA1A	12	-	49184795	0.00934579	1
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.000909504	2
KCTD12	13	-	76880165	0.0017982	9
LCP1	13	-	46125919	0.00777977	13
LPAR6	13	-	48411044	0.00581395	2
NUP58	13	+	25303459	0.00443459	2
RASA3	13	-	113977782	0.00127877	2
RPL21	13	+	27256483	0.0428926	12
AL928654.3	14	+	105488788	0.0546882	7
CALM1	14	+	90405039	0.00340716	2
