AKR7A2	1	-	19303964	0.00647249	2
AL713999.1	1	-	155169408	0.000959522	3
CD244	1	-	160830159	0.00118577	3
CD48	1	-	160678745	0.00980392	3
CDA	1	+	20618747	0.0167598	3
CSDE1	1	-	114716912	0.00159236	2
CTSS	1	-	150730195	0.000506133	8
DDOST	1	-	20651766	0.00815717	4
ENO1	1	-	8860999	0.000425472	3
GTF2B	1	-	88852931	0.00711744	2
GUK1	1	+	228148787	0.0333333	3
HIST2H2AA3	1	-	149842187	0.0338983	4
IFI6	1	-	27666060	0.00625	2
LAMTOR5	1	-	110401248	0.0109489	3
MCL1	1	-	150574550	0.00389518	11
MINOS1	1	+	19626577	0.0454545	8
MNDA	1	+	158849441	0.0147059	3
NBPF14	1	-	148531384	6.52926e-05	3
NDUFS5	1	+	39034563	0.0149254	1
NRAS	1	-	114704468	0.000491884	2
NUDC	1	+	26946309	0.015625	2
PLPP3	1	-	56494746	0.00110865	2
PPP1R15B	1	-	204403386	0.000739372	2
PTCH2	1	-	44819843	0.00236686	2
PTP4A2	1	-	31906420	0.000269869	2
RPS27	1	+	153992144	0.0175747	10
S100A10	1	-	151982914	0.0322581	8
S100A11	1	-	152032505	0.0448718	7
S100A12	1	-	153373705	0.0413223	5
S100A4	1	-	153543612	0.0479452	7
S100A6	1	-	153534598	0.0412371	4
S100A8	1	-	153390031	0.169014	12
S100A9	1	+	153360910,153361027	1.05336,0.307716	75,58
SNRPE	1	+	203870036	0.0192308	2
SSU72	1	-	1541672	0.00508906	2
TAGLN2	1	-	159918106	0.002886	2
TMEM50A	1	+	25360883	0.011236	2
TXNIP	1	-	145992434	0.00706215	10
UBXN11	1	-	26281327	0.0113285	11
UFC1	1	+	161158711	0.00913242	2
AGAP9	10	-	47501853	0.00671141	2
GHITM	10	+	84152513	0.0121212	2
LIPA	10	-	89213568	0.00158856	1
NCOA4	10	-	46005087	0.000492732	2
PDCD4	10	+	110898373	0.00701754	2
PIK3AP1	10	-	96593311	0.000883002	2
PPA1	10	-	70202829	0.00615385	2
PSAP	10	-	71816297	0.00437445	5
REEP3	10	+	63610222	0.000665969	7
RGS10	10	-	119499827	0.00701754	2
RPS24	10	+	78040696	0.0357105	3
SRGN	10	+	69104601	0.016632	8
VIM	10	+	17237591	0.104115	45
AHNAK	11	-	62515904	0.00238379	2
AP001931.1	11	+	57742246,57742970	0.0675836,0.00138124	1,1
AP002990.1	11	-	62559602	0.00230972	34
AP003419.1	11	-	67351571	0.0236407	10
APLP2	11	+	130122047	0.00611543	8
ARAP1	11	-	72685068	0.00672269	4
ATP5MG	11	+	118407036,118409052	0.0534545,0.00148819	4,3
CARD16	11	-	105041522	0.000998502	2
CTSD	11	-	1752751	0.00465116	10
CYB561A3	11	-	61348744	0.000923574	4
DNAJC4	11	+	64234152	0.012766	3
EEF1G	11	-	62559600	0.0384615	3
EHBP1L1	11	+	65592395	0.0215054	2
FAU	11	-	65120627	0.0101879	8
HSPA8	11	-	123057488	0.00816327	2
LMO2	11	-	33858575	0.000642364	4
MPEG1	11	-	59208509	0.00226757	5
MS4A6A	11	-	60172013	0.00110529	6
PICALM	11	-	85957683	6.17846e-05	3
PPP1CA	11	-	67398182	0.00568182	2
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017202	0.00135528,0.0163277	3,11
SELENOH	11	+	57742246,57742961	0.0675662,0.00139863	1,1
SLC15A3	11	-	60937083	0.00597372	5
SPI1	11	-	47354859	0.00480769	3
TALDO1	11	+	764909	0.0407916	4
TMEM123	11	-	102396331	0.000788955	2
TMEM179B	11	+	62790018	0.017094	2
TMEM223	11	-	62789970	0.00306748	2
UCP2	11	-	73974666	0.00486618	2
AC078927.1	12	-	66123916	0.000282287	4
ARHGAP9	12	-	57472254	0.00217234	3
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.030303	10
ASB8	12	-	48147787	0.00126743	1
C2CD5	12	-	22448582	0.00169924	2
CLEC7A	12	-	10116776	0.000203397	2
COX6A1	12	+	120440712	0.0114286	2
CPSF6	12	+	69274358	0.000103988	2
DYNLL1	12	+	120498410	0.0143369	4
GAPDH	12	+	6538354	0.048913	9
GLIPR1	12	+	75498942	0.00118695	3
HNRNPA1	12	+	54286730	0.00124121	3
KDM5A	12	-	280128	0.000563169	3
KMT2D	12	-	49018974	0.00249554	7
LDHB	12	-	21635341	0.01	2
LLPH	12	-	66116554	0.000274537	2
LTA4H	12	-	96000827	0.000211229	5
LYZ	12	+	69354119,69354232	0.00639859,0.18089	5,183
M6PR	12	-	8940362	0.000625391	2
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161482	0.052081	4
NACA	12	-	56712427,56712743	0.00888572,0.00493168	10,3
NCOR2	12	-	124324414	0.00175593	2
NDUFA12	12	-	94971331	0.000117197	3
NFE2	12	-	54292110	0.00760456	2
OAS1	12	+	112919725	0.0174419	3
ORAI1	12	+	121641739	0.03125	3
RPL41	12	+	56117829	0.154098	47
RPLP0	12	-	120196685	0.00293989	7
SELPLG	12	-	108622276	0.00378788	3
STAT6	12	-	57095407	0.000335965	4
TMBIM4	12	-	66135845	0.000146193	4
TPI1	12	+	6870592	0.0143541	3
UBE2N	12	-	93405689	0.000386026	1
YBX3	12	-	10699088	0.00136426	3
ZNF385A	12	-	54369132	0.00120773	3
KCNRG	13	+	50020349	0.0245902	3
LCP1	13	-	46125919	0.00658288	11
NUP58	13	+	25303127	0.0420168	5
RPL21	13	+	27256332,27256520	0.0228894,0.0563367	3,13
ZDHHC20	13	-	21372572	0.000320718	3
ACIN1	14	-	23058563	0.000180979	2
AL928654.3	14	+	105488785	0.0396828	5
CRIP1	14	+	105488785	0.0396828	5
DAD1	14	-	22564904	0.000377823	3
EIF5	14	+	103345025	0.00110812	4
NFKBIA	14	-	35401510	0.00382932	7
RTRAF	14	+	52004518	0.0183486	2
SLC7A7	14	-	22773221	0.000877193	2
AC245033.1	15	-	82536787,82538249	0.0769383,0.000654501	13,9
C15orf38-AP3S2	15	-	89834307	0.001657	2
NOP10	15	-	34341712	0.0213523	6
NPTN	15	-	73560013	0.0010395	2
PKM	15	-	72199028	0.000351062	4
RPS17	15	-	82536749,82538211,82538785	0.0771566,0.0868746,0.00665622	8,12,3
SERF2	15	+	43793949	0.0738636	13
SPG21	15	-	64963020	0.000280978	2
SQOR	15	+	45691173	0.013986	2
ALDOA	16	+	30070411	0.108475	32
ATP6V0C	16	+	2520092	0.100865	35
ATP6V0D1	16	-	67438018	9.48767e-05	2
CIAO2B	16	-	66932054	0.00187931	3
CKLF	16	+	66566185	0.00196972	6
CKLF-CMTM1	16	+	66565849,66570020	0.00123544,0.000519507	3,3
COTL1	16	-	84565593	0.00959233	12
