AL713999.1	1	-	155169408	0.0016999	6
ATP5PB	1	+	111461206	0.00943396	2
CREG1	1	-	167541012	0.00233463	3
CTSS	1	-	150730195	0.000563029	9
FCER1G	1	+	161219150	0.0193237	4
JUN	1	-	58780787	0.001554	2
LAPTM5	1	-	30732468	0.00515085	7
MCL1	1	-	150574550	0.00212465	6
MNDA	1	+	158849364	0.015748	2
MRPL20	1	-	1401907	0.0114286	2
POLR3GL	1	+	145978845	0.00502513	2
PUM1	1	-	30931505	0.00175953	3
S100A10	1	-	151982914	0.0282258	7
S100A8	1	-	153390031	0.028169	2
S100A9	1	+	153361002	0.097561	16
SORT1	1	-	109309567	0.000446927	2
TAGLN2	1	-	159918106	0.004329	3
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.0030896	3
UFC1	1	+	161158585	0.0215054	2
MICU1	10	-	72367326	0.000163599	2
NCOA4	10	-	46005087	0.000492732	2
NDST2	10	-	73801910	0.00925926	5
PSAP	10	-	71816297	0.00699913	8
VSIR	10	-	71747558	0.00135355	5
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00124179	18
APLP2	11	+	130121834	0.00179533	2
ATP5MG	11	+	118408983	0.00147203	3
BSCL2	11	-	62690274	0.00267618	2
CCDC73	11	-	32602245	0.00353982	2
CELF1	11	-	47465932	0.000317612	2
EHBP1L1	11	+	65592474	0.0116279	2
FAU	11	-	65120627,65120909	0.0458716,0.00859107	5,5
HNRNPUL2-BSCL2	11	-	62690274	0.000176762	3
LAMTOR1	11	-	72097291	0.00181159	2
LMO2	11	-	33858575	0.000481773	3
PPP1CA	11	-	67398182	0.00852273	3
RPS25	11	-	119015711,119017319	0.00125244,0.014921	2,9
SMCO4	11	-	93478471	0.00557621	3
TALDO1	11	+	764889	0.00420168	2
ARHGAP9	12	-	57472254	0.00144823	1
ARHGDIB	12	-	14942016	0.0118812	6
ARPC3	12	-	110434824	0.0121212	4
CLEC2D	12	+	9681116	0.0131579	2
DYNLL1	12	+	120498255	0.016129	2
GAPDH	12	+	6538309	0.0503597	7
KRR1	12	-	75490860	0.000223514	2
LTA4H	12	-	96000827	8.44916e-05	2
NACA	12	-	56712427	0.00703957	7
RPL41	12	+	56117758	0.0982906	23
RPLP0	12	-	120196685	0.00185001	4
SLC2A3	12	-	7919229	0.00091617	2
TPI1	12	+	6870549	0.0120482	2
TUBA1A	12	-	49184795	0.00934579	1
YBX3	12	-	10699088	0.000909504	2
KCTD12	13	-	76880165	0.0003996	2
LCP1	13	-	46125919	0.00239378	4
RPL21	13	+	27256479	0.041658	8
NFKBIA	14	-	35401510	0.00382932	7
SEC23A	14	-	39031918	0.00151515	2
AC245033.1	15	-	82536787,82538307	0.0309363,0.000337529	8,5
B2M	15	+	44718134	0.0118683	31
