AL713999.1	1	-	155169408	0.0019069	7
CD52	1	+	26320515	0.0187793	4
LAPTM5	1	-	30732468	0.00441501	6
LCK	1	+	32285872	0.0192308	3
MACO1	1	+	25484272	0.0215827	3
MINOS1	1	+	19626545	0.0277778	4
PYCR2	1	-	225919876	0.00346021	2
RPS27	1	+	153991676,153992155	0.267327,0.0652174	27,6
UBXN11	1	-	26281327	0.00205973	2
YY1AP1	1	-	155659442	0.000100761	2
AL355315.1	10	+	97673853	0.036036	4
ATP5MD	10	-	103389040	0.000911897	2
PI4K2A	10	+	97673929	0.0213904	3
RPS24	10	+	78040226,78040644	0.0495421,0.0667303	1,1
VDAC2	10	+	75231123	0.0149254	2
ZFAND4	10	-	45615500	0.00075358	2
AP002990.1	11	-	62559602,62559727	0.00344092,0.000705993	51,10
CORO1B	11	-	67435509	0.00114635	6
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120963	0.0368098,0.00757576	6,4
HSPA8	11	-	123057488	0.0122449	3
IFITM1	11	+	315223	0.1	11
IFITM2	11	+	315223	0.1	11
MTA2	11	-	62593213	0.00302572	2
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119015812	0.0102015,0.0597114	5,12
ARHGDIB	12	-	14942016	0.00792079	4
BIN2	12	-	51281037	0.00433839	2
BTG1	12	-	92140277	0.0013151	5
CD27	12	+	6451512	0.025	3
CD69	12	-	9752485	0.00201005	2
CDKN1B	12	+	12721097	0.0036553	7
DGKA	12	+	55953903	0.0148148	2
DIP2B	12	+	50748664	7.18081e-05	4
LDHB	12	-	21635341	0.015	3
NACA	12	-	56712427,56712724	0.00623203,0.00480427	7,3
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117659,56117827	0.0473321,0.130727	6,39
RPLP0	12	-	120196685	0.00256868	6
TPI1	12	+	6870619	0.0211864	5
LCP1	13	-	46125919	0.00119689	2
RCBTB1	13	-	49531945	0.000919118	2
RPL21	13	+	27256334,27256523	0.0600087,0.0451403	9,10
DEGS2	14	-	100143956	0.00069735	2
NFKBIA	14	-	35401510	0.00164114	3
RPS29	14	-	49583571	0.0315789	3
AC245033.1	15	-	82536787,82538302	0.0326087,9.25271e-05	4,1
PPIB	15	-	64155811	0.014218	3
RASGRP1	15	-	38488102	0.00122399	2
RPS17	15	-	82536749,82538264	0.0326087,0.00369344	3,4
SERF2	15	+	43793952	0.0167598	3
AC120114.4	16	+	29819936	0.010989	2
ALDOA	16	+	30070342	0.0176991	4
IL32	16	+	3069502	0.0136054	2
LAT	16	+	28990011	0.000548847	2
PAGR1	16	+	29819936	0.010989	2
RPL13	16	+	89562948,89563334	0.211387,0.0184074	40,8
RPS2	16	-	1962051,1962456	0.122222,0.00856698	22,10
TERF2IP	16	+	75654426	0.0141844	2
AC087289.3	17	-	75898644	0.00045683	5
AC120057.2	17	-	7240426	0.00640512	7
ACTG1	17	-	81509970	0.0250348	18
CD7	17	-	82314867	0.00157109	2
EIF1	17	+	41692249	0.00140548	2
EIF4A1	17	+	7578640	0.0194805	3
EVI2B	17	-	31303765	0.00603622	3
MRPL38	17	-	75898642	0.00966184	2
NME1-NME2	17	+	51171688	0.0331492	6
NME2	17	+	51171688	0.0331492	6
PFN1	17	-	4945651	0.0201613	5
RPL26	17	-	8377515,8379782	0.0848485,0.0423629	14,37
TOB1	17	-	50862222	0.00264201	2
MALT1	18	+	58710778	0.00266667	2
MYL12A	18	+	3256023	0.0190476	2
AC008763.3	19	+	7682738	0.0481928	12
COPE	19	-	18899513	0.0181818	3
COX6B1	19	+	35658684	0.027027	2
EEF2	19	-	3976055	0.0160643	7
ERVK3-1	19	+	58315057	0.00729927	2
FOSB	19	+	45473469,45475178,45472081	0.00273699,0.00355594,0.00956938	1,8,10
GMFG	19	-	39328352	0.0016116	2
JAK3	19	-	17824785	0.00102197	2
JUNB	19	+	12793059	0.0204918	5
LGALS14	19	+	39709386	0.0547945	4
PLD3	19	+	40378284	0.018018	2
RPL18	19	-	48615327,48615871,48616073	0.00919379,0.0752805,0.00524125	5,9,3
RPL28	19	+	55388049,55388368	0.131656,0.0634552	4,10
RPL36	19	+	5691607	0.0412371	4
RPS15	19	+	1440424	0.047619	5
RPS16	19	-	39433206	0.0488599	15
RPS19	19	+	41871415,41869189	0.0526316,0.0030349	2,16
RPS28	19	+	8322090,8322342	0.125395,0.00793662	1,2
