AC114490.2	1	-	34981532	0.00083717	2
ADSS	1	-	244408493	0.0018315	2
AL713999.1	1	-	155169408,155169663	0.000828206,0.000440688	3,1
ATP5IF1	1	+	28238085	0.0237038	5
ATP5PB	1	+	111461143	0.0134228	2
C1orf74	1	-	209779207	0.000829417	3
CACYBP	1	+	175010171	0.0217391	2
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320452	0.0466667	7
CDKN2C	1	+	50974372	0.0196078	2
CSDE1	1	-	114716912	0.00159236	2
DNM3	1	+	172418422	0.0190476	2
GNG5	1	-	84498324	0.000568182	2
GUK1	1	+	228148803	0.0188679	2
HP1BP3	1	-	20742660	0.00093633	2
ID3	1	-	23557917	0.00287908	3
LAPTM5	1	-	30732468	0.00367918	5
LCK	1	+	32285810	0.0212766	2
MINOS1	1	+	19626498	0.0206186	2
MRPL20	1	-	1401907	0.0114286	2
NBPF15	1	-	144421385	0.00184388	3
ODF2L	1	-	86358816	0.00019256	5
POLR3GL	1	+	145978722	0.0109091	3
PRDX1	1	-	45511035	0.00682594	2
RPL5	1	+	92841918	0.0377358	2
RPS27	1	+	153991674,153992148	0.240005,0.0690233	23,11
RSRP1	1	-	25242236	0.000607507	1
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0821918	12
SRSF11	1	+	70228694	0.0210526	4
SV2A	1	-	149903317	0.00294811	5
TAGLN2	1	-	159918106	0.00721501	5
TMEM35B	1	-	34981534	0.00488998	2
TRAF3IP3	1	+	209779466	0.00294141	3
TXNIP	1	-	145992434	0.00493313	6
UBXN11	1	-	26281327	0.00205973	2
ATP5MD	10	-	103389040	0.00157124	4
GDI2	10	-	5765222	0.00235849	2
GLRX3	10	+	130179521	0.0155039	2
NDUFB8	10	-	100523936	0.000907249	4
PFKP	10	+	3136709	0.0153846	2
RPS24	10	+	78040659	0.042552	2
VIM	10	+	17237553	0.000925926	2
AP002990.1	11	-	62559602	0.00343858	51
AP003419.1	11	-	67351571	0.0212766	9
ATP5MG	11	+	118409138	0.00312294	6
BTBD10	11	-	13388000	0.000118326	4
C11orf98	11	-	62662815	0.00854701	2
CD3D	11	-	118338953	0.00961538	2
CORO1B	11	-	67435509	0.00152847	8
EIF4G2	11	-	10797049	0.00261097	2
ETS1	11	-	128458760	0.00211752	8
FAU	11	-	65120627,65120962	0.0555556,0.0132325	9,7
HSPA8	11	-	123057616	0.0597519	6
IFITM1	11	+	315223	0.136364	14
IFITM2	11	+	315223	0.136364	14
LBHD1	11	-	62662816	0.00641026	2
MTA2	11	-	62593213	0.00605144	4
PPP1R14B	11	-	64244479	0.00729927	2
PRPF19	11	-	60890729	0.00458716	2
PTPRCAP	11	-	67435509	0.0358744	8
RPS25	11	-	119015711	0.0467197	37
TMEM123	11	-	102396331	0.00118343	3
AC048338.1	12	-	122207778	0.000566251	6
ARHGDIB	12	-	14942016	0.0138614	7
ARPC3	12	-	110434824	0.0151515	5
BIN2	12	-	51281037	0.00433839	2
BLOC1S1	12	+	55719510	0.0075	3
BLOC1S1-RDH5	12	+	55719510	0.0075	3
CD27	12	+	6451494	0.0196078	2
CD69	12	-	9752485	0.00703518	7
CNOT2	12	+	70294296,70294296	0.0184049,0.0184049	3,3
GAPDH	12	+	6538257	0.091954	8
HNRNPA1	12	+	54286965	0.00170058	4
LDHB	12	-	21635341	0.015	3
MYL6	12	+	56161493	0.0370345	3
NACA	12	-	56712427,56712732	0.0203195,0.0331624	8,22
PEBP1	12	+	118145089	0.00699301	2
RPL41	12	+	56117820	0.290541	85
RPLP0	12	-	120196685	0.00369758	9
ALOX5AP	13	+	30764276	0.0176471	3
LCP1	13	-	46125919	0.00179533	3
POLR1D	13	+	27623355	0.0190476	2
RPL21	13	+	27256334,27256522	0.122346,0.0683475	18,16
AL928654.3	14	+	105488724	0.0937519	6
AP4S1	14	+	31083836	0.030837	7
CALM1	14	+	90405243	0.00252845	2
CRIP1	14	+	105488724	0.0937519	6
DAD1	14	-	22564904	0.000276121	2
DEGS2	14	-	100143956	0.00174338	5
DHRS1	14	-	24290597	0.000983284	2
GON7	14	-	93202893	0.00251889	2
HSP90AA1	14	-	102080737	0.00205339	2
PSME2	14	-	24143364	0.00154361	3
RPS29	14	-	49583571	0.0315789	3
AC245033.1	15	-	82536787,82538263	0.00637141,0.000141636	11,2
PKM	15	-	72199028	0.000263296	2
PPIB	15	-	64155811	0.00947867	2
RPLP1	15	+	69455544	0.0540541	2
RPS17	15	-	82536749,82538225	0.00249816,0.018073	3,11
SERF2	15	+	43793954	0.0276243	5
AC012184.2	16	+	70356623,70366133	4.42369e-05,0.000123744	1,6
ALDOA	16	+	30070348	0.0431034	10
CENPBD1	16	-	89969772	0.00189155	3
CKLF	16	+	66565921	0.000707714	2
CKLF-CMTM1	16	+	66565921	0.000707714	2
COTL1	16	-	84565593	0.00319744	4
COX4I1	16	+	85806803	0.00996678	3
DDX19A	16	+	70373381,70361509	0.000174267,0.000221631	3,3
IL32	16	+	3069528	0.0346821	5
RPL13	16	+	89562389,89563021	0.131641,0.198718	16,52
RPS2	16	-	1962051,1962484	0.153846,0.0199045	32,25
RSL1D1	16	-	11833849	0.000120912	2
ST3GAL2	16	-	70377723	0.00152022	6
TRADD	16	-	67154179	0.00426439	2
AC087289.3	17	-	75898644	0.000365464	4
ACTG1	17	-	81509970	0.00834492	6
ATP5PD	17	-	75039017	0.00200602	2
BCAS3	17	+	60774705	0.000106085	9
CD7	17	-	82314867	0.00314218	4
DDX5	17	-	64499615	0.0012959	6
EIF1	17	+	41692226,41692668	0.00696355,0.00490562	9,9
EIF4A1	17	+	7578545	0.0508475	3
NDUFAF8	17	+	81241095	0.0379747	3
NME1-NME2	17	+	51171699	0.114583	22
NME2	17	+	51171699	0.114583	22
OXLD1	17	-	81665035	0.0023753	3
PFN1	17	-	4945651	0.0282258	7
PLSCR3	17	-	7389726	0.000652529	2
PSMB3	17	+	38764096	0.000794798	2
RPL19	17	+	39204728	0.05	4
RPL26	17	-	8377515,8379762	0.151724,0.0708831	22,64
RPL27	17	+	43002783,43002944	0.0668576,0.040473	14,7
TAX1BP3	17	-	3662895	0.00234742	2
TMEM256-PLSCR3	17	-	7389733	0.000373972	2
TSEN54	17	+	75524538	0.00970874	1
UBB	17	+	16382686	0.0449438	4
UNC13D	17	-	75827224	0.0012285	2
LMAN1	18	-	59327822	0.000611621	1
MBP	18	-	77012778	0.000495663	2
MYL12A	18	+	3256165	0.0404858	10
MYL12B	18	+	3278170	0.0171674	4
NARS	18	-	57600655	0.000286	2
PTPN2	18	-	12785477	0.000227273	2
AES	19	-	3052909	0.00528541	5
COPE	19	-	18899513	0.0121212	2
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0180723	9
EMP3	19	+	48330415	0.00276549	5
FKBP8	19	-	18531750	0.000392157	3
FTL	19	+	48966877	0.0211268	3
FXYD7	19	+	35154036	0.0166667	2
GMFG	19	-	39328352	0.00483481	6
GPX4	19	+	1106646	0.02	2
JUNB	19	+	12793244	0.0979021	42
JUND	19	-	18279759	0.0117474	8
KLF2	19	+	16327873	0.010514	9
MYO1F	19	-	8540318	0.00315856	5
NDUFB7	19	-	14566077	0.00265604	1
PRMT1	19	+	49688338	0.0215054	2
RPL18	19	-	48615327,48615872	0.042735,0.10765	5,25
RPL18A	19	+	17863303	0.05	2
RPL28	19	+	55388046,55388304,55403250	0.164912,0.107734,0.0756303	5,10,9
RPL36	19	+	5691654	0.0396871	4
