ACBD6	1	-	180269652	3.52082e-05	2
CD48	1	-	160678745	0.00980392	3
CD52	1	+	26320438	0.0588235	8
CDC42SE1	1	-	151050970	0.000610501	2
CLSTN1	1	-	9729025	0.000128932	2
DDI2	1	+	15653449	0.000386721	7
FCMR	1	-	206904385	0.000233945	2
GNB1	1	-	1785284	0.00146628	3
GPR161	1	-	168079542	0.00183701	11
LAPTM5	1	-	30732468	0.00294334	4
MARCKSL1	1	-	32333831	0.00261438	1
MED8	1	-	43383916,43384966	0.00095254,0.0257119	1,1
MINOS1	1	+	19626542	0.0283688	4
RPL22	1	-	6185019	0.00121065	2
RPS27	1	+	153991674,153992142	0.279817,0.0740906	27,13
TAGLN2	1	-	159918106	0.002886	2
TDRKH	1	-	151770106	0.000553465	5
TXNIP	1	-	145992434	0.00211864	3
UBXN11	1	-	26281327	0.00205973	2
UQCRH	1	+	46316673	0.000542425	3
MCU	10	+	72703075,72714497,72873309	0.000416638,0.000751565,5.92132e-05	4,16,10
RPS24	10	+	78040678	0.000738552	2
VDAC2	10	+	75231127	0.0289855	4
AP001931.1	11	+	57742924	0.00282885	2
AP002990.1	11	-	62559602	0.00271142	40
AP003419.1	11	-	67351571	0.00472813	2
ATP5MG	11	+	118409113	0.00135385	2
CFL1	11	-	65854674	0.00302572	2
CORO1B	11	-	67435509	0.00343905	18
FADS3	11	-	61873518	0.00677966	2
FAU	11	-	65120627,65120918	0.0847458,0.017452	10,10
IFITM1	11	+	315272	0.0188679	3
IFITM2	11	+	315272	0.0188679	3
PIK3C2A	11	-	17141321	0.000272442	2
PTPRCAP	11	-	67435509	0.0403587	9
RPL27A	11	+	8685641	0.0127796	9
RPS25	11	-	119015711,119015819,119017328	0.00948297,0.0699785,0.00762298	5,12,4
SELENOH	11	+	57742924	0.00282885	2
STK33	11	-	8391870	0.00312989	2
TSSC4	11	+	2403743	0.015748	2
ARHGDIB	12	-	14942016	0.00990099	5
CD69	12	-	9752485	0.0231156	23
CTDSP2	12	-	57819926	0.000544218	2
LTA4H	12	-	96000827	8.44916e-05	2
MYL6	12	+	56162418	0.03125	3
NACA	12	-	56712427,56712713	0.00712094,0.00709201	8,5
RPL41	12	+	56117815	0.19244	56
RPLP0	12	-	120196685	0.00592342	15
TUBA1A	12	-	49184795	0.0140187	3
ZDHHC17	12	+	76819812	5.91669e-05	3
RPL21	13	+	27256332,27256558	0.0560903,0.0556215	8,11
CALM1	14	+	90404722	0.0111111	3
COCH	14	+	30894994	0.0540541	4
IGHM	14	-	105851704,105854219	0.0306513,0.0162602	8,2
PSME1	14	+	24138762	0.00704225	2
TCL1A	14	-	95709966	0.00179404	5
AC245033.1	15	-	82536787,82538287	0.00498342,0.000148864	9,2
PIGB	15	+	55336185,55355646	0.000120395,0.000105319	1,2
RPS17	15	-	82536749,82538249	0.00134167,0.0082174	3,9
BOLA2B	16	-	30192933	0.00714286	3
COX4I1	16	+	85806804	0.00993377	3
GCSH	16	-	81081937	0.000218221	2
NPIPB4	16	-	21837623	0.000416869	6
RPL13	16	+	89562949,89563264	0.268232,0.0320739	51,13
RPS2	16	-	1962051,1962440	0.134146,0.0130752	22,16
TCF25	16	+	89883725	0.000382702	2
AC120057.2	17	-	7240426	0.0135795	16
ACTG1	17	-	81509970	0.00834492	6
CCR7	17	-	40553768	0.0020555	2
CD79B	17	-	63928739	0.0205761	10
DCXR	17	-	82035967	0.0060423	2
DDX5	17	-	64499615	0.00107991	5
EIF4A1	17	+	7578557	0.056338	4
GRAP	17	-	19020672	0.0005124	5
GRAPL	17	+	19150822	0.000447294	3
KRT10	17	-	40818116	0.00557103	2
PFN1	17	-	4945651	0.0120968	3
PITPNA	17	-	1517717	0.000188439	4
PLSCR3	17	-	7389726	0.00261011	8
RPL19	17	+	39204726	0.0384615	3
RPL26	17	-	8377515,8379699	0.0073447,0.038532	23,37
SDF2	17	-	28648355	0.000625391	2
TMC6	17	-	78120176	0.00252207	2
TMEM256-PLSCR3	17	-	7389733	0.00149589	8
TRAPPC1	17	-	7930344	0.00258065	2
WBP2	17	-	75845698	0.000282765	2
GAREM1	18	-	32124876	0.000259988	2
MYL12A	18	+	3256072	0.0194805	3
AC003002.2	19	+	57438327	0.0231214	4
AC008750.8	19	-	51350372,51353132	0.000369468,0.00651598	1,7
AC008763.3	19	+	7682671	0.0164835	3
CDC37	19	-	10391133	0.00479616	1
COPE	19	-	18899890	0.000591366	2
EEF2	19	-	3976055	0.00803213	3
FTL	19	+	48966782	0.0425532	2
GMFG	19	-	39328352	0.0016116	2
GPX4	19	+	1106704	0.0189873	3
GSK3A	19	-	42230185	0.00328947	2
JUND	19	-	18279759	0.0117474	8
NDUFA11	19	-	5894674	0.000443197	3
RPL18	19	-	48615327,48615808,48616010	0.0062381,0.134591,0.00921827	3,19,6
RPL28	19	+	55388045,55388369	0.174515,0.0763062	5,12
RPL36	19	+	5691659	0.0546875	7
RPS11	19	+	49498044,49499658	0.0540863,0.0467188	6,10
RPS15	19	+	1440472	0.0554797	6
RPS16	19	-	39433206	0.0521173	16
RPS19	19	+	41869189	0.00701821	37
RPS28	19	+	8322091,8322319	0.0841341,0.0408285	1,2
RPS9	19	+	54207630,54207522	0.0635546,0.0104493	14,10
SNRPD2	19	-	45687453	0.0163265	4
TBCB	19	+	36125789	0.017094	2
AC068547.1	2	-	151802650	5.97059e-05	4
ARPC2	2	+	218254061	0.0205479	3
BIN1	2	-	127048026	0.00400802	1
CCDC115	2	-	130338240	0.00145985	1
COPS8	2	+	237087764	0.0156863	4
CXCR4	2	-	136114348	0.0115385	6
MOB1A	2	-	74152527	0.00049505	2
OST4	2	-	27070471	0.0022805	2
PCBP1	2	+	70088921	0.0186916	1
PTMA	2	+	231712867	0.00339667	4
RAB6D	2	-	131361110	0.00108401	2
RPL37A	2	+	216500031,216501415	0.109244,0.0526709	7,6
TMSB10	2	+	84906628	0.107317	22
RPS21	20	+	62388362,62388515	0.107244,0.00652668	22,2
TMEM189-UBE2V1	20	-	50081123	0.00121655	2
UBE2V1	20	-	50081123	0.000130031	1
PWP2	21	+	44131035	0.0227273	6
SIK1	21	-	43414482	0.00132802	3
BCR	22	+	23315688	0.0120482	2
IGLC2	22	+	22901436	0.070922	10
IGLC3	22	+	22906701,22906803	0.175921,0.0490363	7,6
IGLL5	22	+	22896105	0.00879765	6
TSPO	22	+	43163108	0.017094	2
GPX1	3	-	49357170	0.013545	10
RPL29	3	-	51993521	0.0187545	26
RPL35A	3	+	197955774	0.00590768	26
POLR2B	4	+	57031050	0.0483871	3
RPS3A	4	+	151104287,151104652,151104143	0.166667,0.0773481,0.00950872	8,14,12
SEL1L3	4	-	25747426	0.00300601	3
CD74	5	-	150401636	0.0227464	37
COX7C	5	+	86620703	0.00162075	2
DUSP1	5	-	172768089	0.0119048	8
GPBP1	5	+	57262914	0.0123457	2
NDUFA2	5	-	140645284	0.00478469	2
NPM1	5	+	171410859	0.0170068	5
RACK1	5	-	181236908,181237610	0.00204682,0.00169826	13,9
ATP6V1G2-DDX39B	6	-	31530218	0.000878802	10
CCND3	6	-	41934932	0.0019861	2
CLIC1	6	-	31730580	0.0114943	3
DDX39B	6	-	31530218	0.0177719	9
GPSM3	6	-	32190765	0.00272727	3
HLA-B	6	-	31353871	0.0180033	11
HLA-C	6	-	31268748	0.00434783	11
HLA-DMA	6	-	32948612	0.0159363	4
HLA-DMB	6	-	32934628	0.0116959	4
HLA-DPB1	6	+	33086684	0.0399711	6
HLA-DQA1	6	+	32643652	0.00150182	7
HLA-DQB1	6	-	32659466	0.00270584	7
HLA-DRB1	6	-	32578768	0.068323	22
HLA-DRB5	6	-	32517535	0.0491994	9
KLHDC3	6	+	43021209	0.00420168	2
LTB	6	-	31580554	0.00298805	3
PSMB8	6	-	32840716	0.0123967	3
SF3B5	6	-	144094880	0.00561798	2
TRIM26	6	-	30184454	0.00140746	2
AC004922.1	7	+	99394652	0.0327273	18
ACTB	7	-	5527146	0.00684932	13
ARF5	7	+	127591503	0.0147059	3
ARPC1B	7	+	99394659	0.0757893	17
BRI3	7	+	98291355	0.0267857	3
DNAH11	7	+	21901372	0.0169492	2
ELMO1	7	-	36854360	0.00252101	3
FAM3C	7	-	121348850	0.00124224	2
NCF1	7	+	74789278	0.0169492	2
EEF1D	8	-	143579696	0.00214362	2
JPH1	8	-	74237232	2.55879e-05	2
RPL30	8	-	98041720,98042643	0.0924087,0.00196292	29,4
RPL8	8	-	144789765,144789871	0.0190565,0.0827549	7,21
RPS20	8	-	56072946	0.00811908	6
TCEA1	8	-	53966551	0.00128866	2
VPS28	8	-	144423600	0.000826105	2
AL138752.2	9	-	37588412	1.17093e-05	5
ANP32B	9	+	98015597	0.0180723	3
KLF4	9	-	107484851	0.00222469	2
MLANA	9	+	5908800	0.0217391	2
RPL35	9	-	124857879	0.0186757	11
TRMT10B	9	+	37762786	0.014218	3
CMC4	X	-	155061621	0.0361991	8
COX7B	X	+	77905271	0.0326053	3
MTCP1	X	-	155061621	0.00284385	11
RPL36A	X	+	101395750	0.0334055	13
RPL39	X	-	119786505	0.0955056	17
TMSB4X	X	+	12977194	0.0652742	25
TSC22D3	X	-	107713220	0.00308166	4
