AL031281.2	1	+	22092155	0.0031348	2
AL713999.1	1	-	155169408,155172522	0.00259212,0.00135181	10,1
ARID4B	1	-	235131633	0.000168947	5
C1orf74	1	-	209779207	0.000552944	2
CAPZB	1	-	19338775	0.000501756	1
CD52	1	+	26320521	0.0730594	16
CDC42	1	+	22092155	0.0031348	2
CDC42SE1	1	-	151050970	0.000915751	3
DIO1	1	+	53911084	0.00012038	2
IVNS1ABP	1	-	185296387	0.00121433	2
LAPTM5	1	-	30732468	0.00220751	3
RPS27	1	+	153991673,153992147	0.136427,0.0920194	13,14
S100A4	1	-	153543612	0.0205479	3
TAGLN2	1	-	159918106	0.004329	3
TRAF3IP3	1	+	209779466	0.00217984	2
UFC1	1	+	161158588	0.0208333	2
UQCRH	1	+	46316590	0.00186291	11
ITGB1	10	-	32900318	0.000243487	2
RUFY2	10	-	68341106	0.000429092	2
VIM	10	+	17236547	0.0017331	2
AP002990.1	11	-	62559602	0.00245847	36
CORO1B	11	-	67435509	0.00363011	19
DDB1	11	-	61299450	0.00140647	2
EEF1G	11	-	62559600	0.025641	2
FAU	11	-	65120627,65120936	0.0588235,0.0126126	8,7
HSPA8	11	-	123057488	0.0163265	4
IFITM1	11	+	315225	0.0982143	11
IFITM2	11	+	315225	0.0982143	11
PPP1CA	11	-	67398182	0.00852273	3
PTPRCAP	11	-	67435509	0.058296	13
RPS25	11	-	119015711	0.0274647	22
RPS3	11	+	75404832,75405679	0.162048,0.00356745	30,5
SF1	11	-	64764605	0.00036846	2
SIGIRR	11	-	405715	0.0106952	1
UCP2	11	-	73974666	0.00973236	4
ZNF195	11	-	3359996	0.000182415	2
ARHGDIB	12	-	14942016	0.00594059	3
ARPC3	12	-	110434824	0.0181818	6
CD69	12	-	9752485	0.00301508	3
CNOT2	12	+	70294313,70294222	0.0277778,0.0561798	5,5
COX6A1	12	+	120440619	0.0243902	2
GAPDH	12	+	6538282	0.0178571	2
GRIP1	12	-	66347430	0.00167879	3
HNRNPA1	12	+	54284561	0.00806452	2
LDHB	12	-	21635341	0.01	2
MYL6	12	+	56161482	0.00173762	1
NACA	12	-	56712427,56712684	0.00423234,0.0140787	4,12
PHB2	12	-	6965351	0.00182315	2
RPL41	12	+	56117826	0.149007	45
RPLP0	12	-	120196685	0.00148644	4
RPL21	13	+	27256435,27256547	0.0212354,0.0181574	5,6
AL928654.3	14	+	105488750	0.0549453	5
CALM1	14	+	90404581	0.0155039	2
CRIP1	14	+	105488750	0.0549453	5
DEGS2	14	-	100143956	0.00069735	2
ELMSAN1	14	-	73719381	0.000660939	7
IGHG3	14	-	105764502	0.00566974	8
IGHG4	14	-	105620505	0.00640114	9
RTRAF	14	+	52004582	0.0115607	2
NGRN	15	+	90271936	0.027027	4
NOP10	15	-	34341712	0.00711744	2
ST20-MTHFS	15	-	79845149	0.0333333	2
AC040162.1	16	-	67930924,67934672	0.00133819,0.00811592	5,5
ALDOA	16	+	30070354	0.0533333	12
AP1G1	16	-	71738941	5.87389e-05	2
ATP6V0C	16	+	2519862	0.025641	3
CENPT	16	-	67828156	0.000721327	3
CORO1A	16	+	30189073	0.0366972	4
COTL1	16	-	84565593	0.00159872	2
COX4I1	16	+	85806804	0.00662252	2
GDE1	16	-	19501688	0.000129609	2
METTL26	16	-	634426	0.00625	3
