BICDL1	12	+	119999965	0.012987	2
CNOT2	12	+	70294234,70294234	0.019802,0.019802	2,2
TMEM263	12	+	106967470	0.0246914	2
GH2	17	-	63880214	0.0165289	4
LASP1	17	+	38921770	8.05088e-05	2
NME1-NME2	17	+	51171646	0.057554	8
NME2	17	+	51171646	0.057554	8
FOSB	19	+	45475177,45472080	0.00171821,0.00287356	4,3
IER2	19	+	13154906	0.00477099	5
JUNB	19	+	12793032	0.0138249	3
UBE2M	19	-	58555711	0.00530504	2
TMSB10	2	+	84906509	0.0348837	3
HLA-B	6	-	31353871	0.00327332	2
HLA-C	6	-	31268748	0.00158103	4
BUD23	7	+	73684567	0.012966	8
RINT1	7	+	105543923,105543925	0.00143472,0.0002405	2,2
ZC3HAV1	7	-	139060337	0.00864553	6
LEPROTL1	8	+	30105094	0.0116279	2
