AL031281.2	1	+	22092124	0.00329489	2
APH1A	1	-	150265398	0.00356189	4
ARHGAP30	1	-	161046947	0.00260756	2
ARID4B	1	-	235131633	0.000599721	17
ATP1A1	1	+	116404565	0.0247934	3
ATP5IF1	1	+	28238021	0.00191693	3
ATP5PB	1	+	111461287	0.0477816	14
B4GALT3	1	-	161171309	0.00395257	1
C1orf162	1	+	111478395	0.0294118	8
C1orf43	1	-	154206695	0.000381728	3
CACYBP	1	+	175010257	0.011236	2
CAPZB	1	-	19338775	0.00125439	5
CCT3	1	-	156308967	0.000177689	5
CD1B	1	-	158327950	0.00701754	2
CD1C	1	+	158293543	0.0298507	2
CD48	1	-	160678745	0.0392157	12
CD52	1	+	26320482	0.0333333	6
CDC42	1	+	22092124	0.00329489	2
CDC42SE1	1	-	151050970	0.001221	4
CERS2	1	-	150965172	0.00205128	2
CITED4	1	-	40861050	0.00383142	2
CSDE1	1	-	114716912	0.00159236	2
DAP3	1	+	155738325	0.0153846	2
DDOST	1	-	20651766	0.0294112	17
DEGS1	1	+	224193440	0.004158	4
DENND4B	1	-	153929500	0.00251256	2
DUSP23	1	+	159782491	0.0196078	3
EFHD2	1	+	15430343	0.00123229	2
ELOVL1	1	-	43363396	0.00385356	2
ENO1	1	-	8860999	0.00241101	17
FCER1A	1	+	159308169	0.122363	29
FCER1G	1	+	161219246	0.0528053	16
FCGR2B	1	+	161677919	0.0191257	7
GNB1	1	-	1785284	0.00146628	3
GNG5	1	-	84498324	0.000568182	2
GPBP1L1	1	-	45627303	0.00420168	4
GSTM1	1	+	109693611	0.00123546	5
GSTM2	1	+	109675073	0.0379747	9
GUK1	1	+	228148917	0.0227273	5
H3F3A	1	+	226071984	0.0871287	44
HAX1	1	+	154275760	0.0338983	2
HDGF	1	-	156742106	0.00223547	3
HIST2H2AA3	1	-	149842187	0.0169492	2
HIST2H2AA4	1	+	149851572	0.0454545	3
HLX	1	+	220884856	0.0131579	2
HNRNPR	1	-	23303962	0.000616238	4
HNRNPU	1	-	244840637	0.000101528	1
IARS2	1	+	220147730	0.0210526	2
ID3	1	-	23557917	0.00191939	2
JAK1	1	-	64833228	0.00225056	3
LAMTOR2	1	+	156058500	0.0155039	2
LAPTM5	1	-	30732468	0.00515085	7
LSM10	1	-	36393429	0.00914634	3
MINOS1	1	+	19626477	0.0263158	2
MNDA	1	+	158849490	0.0474308	12
MRPL20	1	-	1401907	0.0171429	3
MYCL	1	-	39895425	0.00102775	2
NCF2	1	-	183555562	0.0126126	7
NDUFS2	1	+	161214264	0.00619195	2
NVL	1	-	224305083	0.000234174	3
PARK7	1	+	7985244	0.0526316	10
PEF1	1	-	31629861	0.00399467	3
PEX11B	1	-	145911349	0.00246609	2
PRDX1	1	-	45511035	0.00682594	2
PTP4A2	1	-	31906420	0.000269869	2
RER1	1	+	2403138	0.00237248	2
RPL11	1	+	23695297	0.000598982	2
RPS27	1	+	153991677,153992155	0.421569,0.0879121	43,8
S100A10	1	-	151982914,151983031	0.0342447,0.141277	8,18
S100A11	1	-	152032505	0.0512821	8
S100A4	1	-	153543612	0.136986	20
S100A6	1	-	153534598	0.0515464	5
S100A9	1	+	153361023	0.237838	44
SCAMP3	1	-	155255978	0.00680272	2
SDHB	1	-	17018721	0.0125786	2
SELL	1	-	169690666	0.00537153	6
SFPQ	1	-	35176377	0.0030415	4
SH3BGRL3	1	+	26281393	0.0829268	34
SSR2	1	-	156009047	0.000981836	10
SSU72	1	-	1541672	0.00508906	2
SYF2	1	-	25222678	0.00340716	2
SYNC	1	-	32680359	0.00134228	2
TAGLN2	1	-	159918106	0.025974	18
TNFAIP8L2	1	+	151159408	0.0192308	3
TPM3	1	-	154155303,154161953	0.00194911,0.00011837	34,1
TRAPPC3	1	-	36136569	0.00468966	2
UBXN11	1	-	26281327	0.0164779	16
UFC1	1	+	161158758	0.0300752	8
UQCRH	1	+	46316676	0.0468734	9
UROD	1	+	45015446	0.0227273	2
ZNF593	1	+	26170792	0.0192308	2
ADAM8	10	-	133262402	0.00155521	2
ATP5F1C	10	+	7807736	0.0379704	4
BORCS7	10	+	102863034	0.0181818	2
BORCS7-ASMT	10	+	102863034	0.0181818	2
COMMD3	10	+	22320222	0.0178571	4
ECHS1	10	-	133362479	0.00515464	2
GDI2	10	-	5765222	0.00707547	6
GLRX3	10	+	130179515	0.0243902	3
MARCH5	10	+	92353961	0.00108932	3
NDST2	10	-	73801910	0.00555556	3
NDUFB8	10	-	100526399	0.00496675	14
NSMCE4A	10	-	121961756	0.00819672	2
PIK3AP1	10	-	96593311	0.000883002	2
PPA1	10	-	70202829	0.0215385	7
PSAP	10	-	71816297	0.00787402	9
RBM17	10	+	6115617	0.0327869	2
RGS10	10	-	119499827	0.0140351	4
RPS24	10	+	78040697	0.0919776	9
SRGN	10	+	69104663	0.00368324	2
TMEM273	10	-	49154724	0.000166486	2
VIM	10	+	17237584	0.0134026	23
ACER3	11	+	76871483	0.000615195	2
AHNAK	11	-	62433541,62515904	0.00584795,0.0143027	2,12
AP001931.1	11	+	57742245,57743186	0.147973,0.0305824	4,10
AP002990.1	11	-	62559602,62559705	0.00557073,0.00192313	83,28
AP003419.1	11	-	67351571	0.00472813	2
APLP2	11	+	130144811	0.000235059	5
ARL2	11	+	65021955	0.02	2
BANF1	11	+	66003934	0.0308642	5
C11orf58	11	+	16754932	0.0172414	1
C11orf98	11	-	62662815	0.025641	6
CARD16	11	-	105041522	0.00248415	4
CASP1	11	-	105025442	0.00613497	5
CCDC73	11	-	32602245	0.00884956	5
CCDC85B	11	+	65891574	0.010989	2
CFL1	11	-	65854674	0.0408472	26
COA4	11	-	73872666	0.00446429	2
COX8A	11	+	63976510	0.0315789	6
CTSC	11	-	88293591	0.00483092	2
EEF1G	11	-	62559600	0.0384615	3
FAM168A	11	-	73400486	0.000709824	5
FAU	11	-	65120627	0.0566025	48
FTH1	11	-	61964284	0.0015949	2
GSTP1	11	+	67586538,67586501	0.0179012,0.0136155	20,13
H2AFX	11	-	119093853	0.00180343	2
HSPA8	11	-	123057488	0.0285714	7
LAMTOR1	11	-	72097291	0.00271739	3
LBHD1	11	-	62662816	0.0224359	7
LMO2	11	-	33858575	0.00160591	10
MPEG1	11	-	59208509	0.00133296	2
MRPL21	11	-	68891275	0.000215796	2
MS4A6A	11	-	60172013	0.000319642	2
NDUFS8	11	+	68036615	0.00941176	7
NDUFV1	11	+	67612355	0.00904977	2
NKAPD1	11	+	112080723	0.00666667	2
PPP1R14B	11	-	64244479	0.014573	3
PSMA1	11	-	14504875	0.0126582	4
PTPMT1	11	+	47571703	0.0686671	16
RHOG	11	-	3826977	0.017094	10
RPL27A	11	+	8685682	0.144198	39
RPS25	11	-	119015711,119015828,119017349	0.00864925,0.0916212,0.00375017	6,41,2
RPS3	11	+	75404812,75405631	0.372246,0.0670645	83,21
RPS6KB2	11	+	67435280	0.018018	2
SELENOH	11	+	57742245,57742966	0.0852573,0.0934281	2,12
SIK3	11	-	116843401,116865586,116865743	9.67866e-05,0.000136601,3.64713e-05	8,8,2
SPI1	11	-	47354859	0.0368419	22
TALDO1	11	+	764890	0.0493957	3
TBRG1	11	+	124630468	0.000655701	2
TCIRG1	11	+	68050895	0.0185185	2
THYN1	11	-	134248278	0.0162162	3
TMEM223	11	-	62789970	0.00306748	2
UBE2L6	11	-	57551655	0.002849	2
AC006064.6	12	-	6556885	9.08183e-05	2
AC023055.1	12	-	55757274	0.0632911	15
AC078927.1	12	-	66123916	0.000117211	1
ARHGDIB	12	-	14942016,14942121	0.0196136,0.0227378	9,9
ARPC3	12	-	110434824	0.0818182	27
ATP5F1B	12	-	56638178	0.0208333	3
ATP5MC2	12	-	53665165	0.0337838	5
BLOC1S1	12	+	55719209,55719673	0.0342892,0.0260692	3,5
BLOC1S1-RDH5	12	+	55719209,55719673	0.0246283,0.0259855	2,7
C12orf45	12	+	104995034	0.00540541	3
CDK2AP1	12	-	123260970	0.00392157	3
CLEC4A	12	+	8138485	0.030303	6
CNOT2	12	+	70346422,70294295,70294204	0.00128375,0.0123457,0.028169	2,2,2
COX14	12	+	50120337	0.0416667	5
COX6A1	12	+	120440700	0.0429448	7
CTDSP2	12	-	57819926	0.000544218	2
DDX47	12	+	12829748	0.0154639	3
DYNLL1	12	+	120498387	0.0507812	13
EID3	12	+	104305028	0.0543478	5
ERP29	12	+	112023451	0.0109034	14
GAPDH	12	+	6538370	0.125	25
GLIPR1	12	+	75499141	0.00111923	3
GTSF1	12	-	54455949	0.00114636	3
H2AFJ	12	+	14774915	0.0363636	2
HCAR3	12	-	122714755	0.00244499	2
HNRNPA1	12	+	54285033,54286659,54286962	0.00605676,0.000926905,0.00546041	4,2,14
ITGA5	12	-	54395260	0.00193798	2
ITGB7	12	-	53191317	0.00179695	2
KMT2D	12	-	49018974	0.000713012	2
LDHB	12	-	21635341	0.025	5
LTA4H	12	-	96000827	0.000163672	3
LYZ	12	+	69354124,69354232	0.014203,0.331832	12,336
M6PR	12	-	8940362	0.000938086	3
MAP3K12	12	-	53479668	0.00198282	3
MLF2	12	-	6747995	0.00250313	2
MYL6	12	+	56161564	0.0662945	11
NAA25	12	-	112029549,112052042,112059002,112066725	0.000105132,7.24223e-05,5.21011e-05,8.16546e-05	7,3,1,2
NACA	12	-	56712427,56712737	0.0790912,0.0250789	34,16
NCKAP1L	12	+	54543037	0.000248324	6
NDUFA12	12	-	94971331	0.000234393	6
NOP2	12	-	6556862	0.00171674	2
ORAI1	12	+	121641839	0.0153061	3
PA2G4	12	+	56112984	0.0208333	2
PEBP1	12	+	118145159	0.00561798	2
PFDN5	12	+	53298150,53299450	0.00359325,0.0597786	5,19
PHB2	12	-	6965351	0.007281	7
PHETA1	12	-	111360650	0.00098668	2
PTPN6	12	+	6961302	0.0182648	8
RPL41	12	+	56117805	0.608541	171
RPLP0	12	-	120196685,120197261	0.136842,0.00567188	26,11
SELPLG	12	-	108622276	0.00252525	2
SLC38A2	12	-	46358188	0.000550479	5
SRSF9	12	-	120461667	0.000954198	3
TMBIM4	12	-	66135845,66137962	0.000144496,0.000164666	4,5
TPI1	12	+	6870660	0.0252708	6
TUBA1A	12	-	49184795	0.0560748	12
TUBA1B	12	-	49127781	0.00323363	8
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.00181901	4
ZNF385A	12	-	54369132	0.00161031	4
ALOX5AP	13	+	30764285	0.0111732	2
ELF1	13	-	40932027	0.000103066	2
KCTD12	13	-	76880165	0.000799201	4
LCP1	13	-	46125919	0.00598444	10
MYCBP2	13	-	77044654	0.00276625	2
POLR1D	13	+	27623328	0.025641	2
RPL21	13	+	27256333,27256690	0.23078,0.0389275	35,15
SAP18	13	+	21147591	0.00475059	2
AL096870.1	14	-	24332309	0.0125786	2
AL928654.3	14	+	105488696,105488897	0.0287611,0.0049951	4,1
ATP5MPL	14	-	103912287	0.00175243	2
CALM1	14	+	90404686,90408259	0.0156898,0.00139968	3,5
CRIP1	14	+	105488741	0.0259068	5
DEGS2	14	-	100143956	0.00104603	2
ERH	14	-	69380122	0.0120482	5
FOS	14	+	75281910	0.00411523	2
GPR132	14	-	105049388	0.000434405	1
NDRG2	14	-	21016762	0.000590667	3
NFKBIA	14	-	35401510	0.00437637	8
PLD4	14	+	104933145	0.0165746	3
PNN	14	+	39181955	0.0217391	2
PSMA3	14	+	58271946	0.0392157	2
PSME1	14	+	24138880	0.00497512	2
PSME2	14	-	24143364	0.00276872	6
RPL36AL	14	-	49618518	0.00754717	2
RPS29	14	-	49570983,49583571	0.00102519,0.0421053	7,4
RTRAF	14	+	52004613	0.0294118	6
SRP54	14	+	35029283	0.0152672	2
SYNJ2BP-COX16	14	-	70326063	0.0148699	4
TTC7B	14	-	90524563	2.57825e-05	2
ZFP36L1	14	-	68787659	0.00212164	6
AC245033.1	15	-	82536787,82538281,82538855	0.0200914,0.00130401,0.000406544	46,19,6
EID1	15	+	48879277	0.00931099	5
IMP3	15	-	75639084	0.00378072	2
LACTB	15	+	63141979	0.0114943	2
MAN2C1	15	-	75355791	0.0175439	2
MORF4L1	15	+	78897449	0.0052356	2
NOP10	15	-	34341712	0.0284698	8
NPTN	15	-	73560013	0.0010395	2
OAZ2	15	-	64687572	0.00163265	2
PKM	15	-	72199028	0.00105319	11
