CC2D1B	1	-	52350592	0.00170882	5
YIPF1	1	-	53851718	0.000239664	2
RPS25	11	-	119015711	0.00224719	5
DDIT3	12	-	57516587	0.00904977	2
TMEM263	12	+	106967595	0.0242718	5
B2M	15	+	44717948	0.00247321	6
CTDSPL2	15	+	44517117	0.000132485	2
JMJD8	16	-	681670	0.0013245	2
RPL13	16	+	89562990	0.00382555	5
RPS2	16	-	1962051	0.00118413	1
DCXR	17	-	82035967	0.0060423	2
JUND	19	-	18279759	0.010279	7
PEAK3	19	-	2274621	0.00283554	3
RPL28	19	+	55388385	0.00537634	2
RPS21	20	+	62388077	0.00632911	2
NPM1	5	+	171410776	0.014218	3
HLA-B	6	-	31353871	0.00327332	2
HLA-C	6	-	31268748	0.00118577	3
ACTB	7	-	5527146	0.00210748	3
H2AFV	7	-	44834227	0.00911854	3
SVOPL	7	-	138594284	0.00104348	2
RPL30	8	-	98041720	0.000932256	3
TLE4	9	+	79576411	0.0166667	3
