ADAR	1	-	154582056	0.000510009	4
APH1A	1	-	150265398	0.00178094	2
CD48	1	-	160678745	0.0163399	5
CD52	1	+	26320444	0.0211268	3
HIST2H2AA3	1	-	149842187	0.0423729	5
HIST2H2AA4	1	+	149851619	0.0265487	3
LCK	1	+	32285894	0.0280899	5
MAST2	1	+	46032896	0.0430108	8
MRPS21	1	+	150308287	0.0338983	2
NBPF10	1	-	146064698	0.00247066	4
PARK7	1	+	7985169	0.0173913	2
RNF19B	1	-	32936444	0.00237248	2
RPS27	1	+	153991676,153992140	0.144566,0.0780253	14,12
RUNX3	1	-	24899510	0.00076599	2
SARS	1	+	109237999	0.018018	2
SRSF11	1	+	70231347	0.00140696	4
TAGLN2	1	-	159918106	0.00577201	4
UBXN11	1	-	26281327	0.0030896	3
UQCRH	1	+	46316627	0.000605772	3
NDUFB8	10	-	100523936	0.000367715	2
PIP4K2A	10	-	22534848	0.00085034	2
SPOCK2	10	-	72059034	0.000536913	1
ALG9	11	-	111786255	5.94746e-05	4
AP001931.1	11	+	57742244,57743103	0.0705765,0.00349258	1,3
AP002990.1	11	-	62559602	0.000263123	4
AP003419.1	11	-	67351571	0.0189034	7
CORO1B	11	-	67435509	0.00133741	7
COX8A	11	+	63976428	0.0185185	2
FAU	11	-	65120627,65120966	0.0542169,0.0152381	9,8
IFITM1	11	+	315271	0.164557	26
IFITM2	11	+	315271	0.164557	26
PPP1CA	11	-	67398182	0.00568182	2
PTPRCAP	11	-	67435509	0.0134529	3
RPS25	11	-	119015711,119017342	0.00358287,0.0214932	7,12
RPS3	11	+	75404816,75405637	0.0983568,0.0522721	19,15
SELENOH	11	+	57742898	0.0734233	4
SIGIRR	11	-	405715	0.0160428	3
TP53I11	11	-	44932347	0.000415628	2
ARHGDIB	12	-	14942016	0.0039604	2
ARID2	12	+	45904543	0.0382514	7
ATP5MC2	12	-	53665165	0.0135135	2
CD27	12	+	6451590	0.010101	2
HNRNPA1	12	+	54284630	0.00630915	2
KLRC4-KLRK1	12	-	10372352	5.66572e-05	2
KLRG1	12	+	9010760	0.00163532	2
KLRK1	12	-	10372352	0.00262812	2
MYL6	12	+	56161494	0.0360333	3
NACA	12	-	56712427,56712663	0.00362229,0.00328236	4,2
RPL41	12	+	56117798	0.189781	52
RPLP0	12	-	120196685	0.00259707	6
SRSF9	12	-	120461667	0.000636132	2
STX2	12	-	130801253	0.000451019	5
RPL21	13	+	27256511	0.0364604	11
AL928654.3	14	+	105488789	0.0143885	4
CALM1	14	+	90404686,90404989	0.00941807,0.00334483	2,1
CHURC1	14	+	64932262	0.031746	2
CRIP1	14	+	105488789	0.0143885	4
PPP2R5C	14	+	101765430	0.0184049	3
AC018512.1	15	-	43772616	0.000206067	5
AC245033.1	15	-	82536787,82538253	0.000260279,0.00017854	4,2
IMP3	15	-	75639084	0.00378072	2
RPS17	15	-	82536749,82538215,82538789	0.000711226,0.0042033,0.00249839	1,4,1
SERF2	15	+	43796086	0.00216169	5
SPG11	15	-	44579204,44600563	0.00165716,0.0011236	7,4
SQOR	15	+	45691179	0.0201342	3
AC120114.4	16	+	29819962	0.0240385	5
ALDOA	16	+	30070337	0.0542986	12
ATP6V0C	16	+	2519912	0.0239521	4
C16orf54	16	-	29742462	0.00110254	2
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66565898	0.0017838	5
CKLF-CMTM1	16	+	66565898	0.0017838	5
DDX19A	16	+	70356478	0.00961538	3
IL32	16	+	3069484	0.0387597	5
MT2A	16	+	56609409	0.00892857	2
PAGR1	16	+	29819962	0.0240385	5
RPL13	16	+	89562390,89563314	0.116567,0.0369164	14,19
RPS2	16	-	1962051,1962431	0.0903226,0.00839689	14,10
AC104581.2	17	-	7925930	0.000641711	3
AC120057.2	17	-	7240426	0.00240192	3
AC134669.1	17	-	31305212	0.000676819	6
ACTG1	17	-	81509970	0.0180807	13
CCL5	17	-	35871490	0.00677201	6
CHD3	17	+	7912758	0.000466092	4
EIF1	17	+	41691200	0.0106952	3
EIF4A1	17	+	7578566	0.025	2
JPT1	17	-	75135247	0.000144311	2
MED1	17	-	39407713	6.3589e-05	2
NME1-NME2	17	+	51171677	0.0235294	4
NME2	17	+	51171677	0.0235294	4
PFN1	17	-	4945651	0.0241935	6
RPL19	17	+	39204732	0.047619	4
RPL26	17	-	8377515,8379787	0.0647059,0.0325103	11,28
SAT2	17	-	7626233	0.00176367	2
SRSF2	17	-	76734114	0.000977517	2
TAOK1	17	+	29546878	0.000518672	2
TMC6	17	-	78120176	0.00504414	4
TRAPPC1	17	-	7930344	0.00387097	3
TSEN54	17	+	75524530	0.0151515	3
ABHD3	18	-	21659179	6.95024e-05	3
KIAA1328	18	+	37139219	1.11504e-05	2
MYL12A	18	+	3256097	0.0167598	3
MYL12B	18	+	3278097	0.03125	5
ROCK1	18	-	20946905	0.000150512	2
RPL17-C18orf32	18	-	49481680	0.000566289	3
AC008763.3	19	+	7682664	0.0114286	2
AC010463.1	19	+	17275293	0.00296736	4
BABAM1	19	+	17275294	0.00108196	4
EEF2	19	-	3976055	0.0060241	3
GIPC1	19	-	14477759	0.00113701	1
GMFG	19	-	39328352	0.0016116	2
HCST	19	+	35904262	0.0196078	2
JUND	19	-	18279759	0.00293686	2
LSM7	19	-	2321516	0.000441404	2
MKNK2	19	-	2037464	0.000327332	2
MYO1F	19	-	8540318	0.00126342	1
NDUFA11	19	-	5894674	0.000443197	3
NDUFB7	19	-	14566077	0.00265604	1
NKG7	19	-	51371605	0.0271493	6
RPL18	19	-	48615327,48615770	0.00471272,0.00360403	6,3
RPL28	19	+	55388047,55388346	0.100235,0.0471375	3,6
RPL36	19	+	5691667	0.0364964	5
RPS11	19	+	49499625	0.00402013	6
RPS15	19	+	1440486	0.0718721	9
RPS16	19	-	39433206	0.0325733	10
RPS19	19	+	41869192	0.00341232	18
RPS28	19	+	8322089,8322342	0.088745,0.0540633	1,4
RPS9	19	+	54207577,54207521	0.0652085,0.0115063	11,11
TBCB	19	+	36125818	0.0342466	5
ZNF420	19	+	37130166	0.00180505	2
CALM2	2	-	47160081	0.0011383	2
FAHD2B	2	-	97083582	0.0116279	2
GYPC	2	+	126696430	0.0173611	5
MDH1	2	+	63607125	0.0144928	2
MOB1A	2	-	74152527	0.00148515	6
MRPL35	2	+	86210703	0.0118343	2
OST4	2	-	27070471	0.00454664	3
PDCD1	2	-	241849880	0.00121359	2
PTMA	2	+	231713284	0.00214592	4
RPL31	2	+	101006059	0.00113058	1
RPL37A	2	+	216501437	0.0296954	5
RTN4	2	-	54972186	0.00309598	3
TMSB10	2	+	84906671	0.0927419	23
CEP250	20	+	35511772	0.0136986	2
COMMD7	20	-	32702690	5.02702e-05	1
CST7	20	+	24959865	0.0196078	3
RPS21	20	+	62388518	0.00902256	6
SLA2	20	-	36612317	0.00121139	2
ITGB2	21	-	44885952	9.47104e-05	2
U2AF1	21	-	43092955	0.000456625	3
C22orf39	22	-	19351367	8.74095e-05	5
CHCHD10	22	-	23765833	0.00571429	2
DDX17	22	-	38483439	0.000801603	2
RABL2B	22	-	50767500	0.000978953	2
RAC2	22	-	37225260	0.00354108	5
GPX1	3	-	49357170	0.00493218	4
RPL29	3	-	51993521	0.0104239	14
RPL35A	3	+	197954131	0.00426136	12
TEX264	3	+	51704153	0.0145985	2
RPL34	4	+	108625257	0.0444444	2
RPS3A	4	+	151104285,151104651,151104238	0.130435,0.0659341,0.0421456	6,12,11
BTF3	5	+	73505410	0.0174419	3
C5orf58	5	+	170251715	0.0333333	2
CD74	5	-	150401636	0.00658683	11
CYSTM1	5	+	140243521	0.0181818	2
GZMK	5	+	55034054	0.0546875	7
NPM1	5	+	171410689	0.016129	2
PPP2CA	5	-	134194333	0.000581734	2
