AL713999.1	1	-	155169408	0.00139437	5
ARHGEF11	1	-	156934839	0.00172414	2
ARL8A	1	-	202133403	0.00179856	2
ATP5PB	1	+	111461212	0.0137615	3
CAPZB	1	-	19338775	0.00100351	3
CD48	1	-	160678745	0.0130719	4
CD52	1	+	26320481	0.0223464	4
CTSS	1	-	150730195	0.00016977	3
ENO1	1	-	8860999	0.000567295	4
FCER1G	1	+	161219189	0.0121951	3
FCGR3A	1	-	161541758	0.00319234	4
FGR	1	-	27612063	0.00588235	5
HNRNPU	1	-	244840637	0.000101528	1
JAK1	1	-	64833228	0.00150038	2
LMNA	1	+	156139290	0.0108696	2
MCL1	1	-	150574550	0.00177054	5
NBPF10	1	-	146064698	0.00123533	2
NBPF14	1	-	148531384	6.52926e-05	3
NCF2	1	-	183555562	0.0036036	2
PLK3	1	+	44805810	0.0151515	2
RHOC	1	-	112701105	0.00130039	3
RPL5	1	+	92841919	0.037037	2
RPS27	1	+	153991676,153992129	0.0945854,0.00441673	9,2
S100A10	1	-	151982914	0.0403226	10
S100A11	1	-	152032505	0.0320513	5
S100A4	1	-	153543612	0.0205479	3
S100A6	1	-	153534598	0.0206186	2
S100A9	1	+	153360918	0.025	2
SH3BGRL3	1	+	26281336	0.0623229	22
UBXN11	1	-	26281327	0.0092688	9
UQCRH	1	+	46316634	0.0606053	8
YBX1	1	+	42702201	0.00504079	5
ALOX5	10	+	45445857	0.0117647	2
CAMK1D	10	+	12829019	0.0151515	2
GDI2	10	-	5765222	0.00235849	2
PCGF6	10	-	103302795	4.4964e-05	2
PIK3AP1	10	-	96593311	0.0013245	3
PSAP	10	-	71816297	0.0192476	22
SRGN	10	+	69104693	0.0122164	7
VIM	10	+	17236731	0.00149477	2
AP001931.1	11	+	57742248,57743350	0.0572515,0.00725967	1,8
AP002990.1	11	-	62559602	0.000932652	13
APLP2	11	+	130121231	0.00391389	2
ARAP1	11	-	72685068	0.00336134	2
CFL1	11	-	65854674	0.00907716	6
EHBP1L1	11	+	65592451	0.0134228	2
EIF4G2	11	-	10797049	0.00519907	3
FAU	11	-	65120627,65120885	0.056,0.00990099	7,6
FIBP	11	-	65883920	0.00175131	3
FKBP2	11	+	64244056	0.0740741	2
FTH1	11	-	61964284	0.00398724	5
HSPA8	11	-	123057488	0.00816327	2
LMO2	11	-	33858575	0.000802955	5
MPEG1	11	-	59208509	0.00181406	4
PPP1CA	11	-	67398182	0.00568182	2
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017317	0.00249831,0.0152488	5,9
SELENOH	11	+	57742998	0.0586397	9
SLC15A3	11	-	60937083	0.00238949	1
SPI1	11	-	47354859	0.00641026	4
TCIRG1	11	+	68050864	0.025974	2
UCP2	11	-	73974666	0.0121655	5
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0121212	4
ATP5MC2	12	-	53665165	0.0202703	3
BTG1	12	-	92140277	0.00104317	3
CDK2AP1	12	-	123260970	0.00784314	6
CHPT1	12	+	101727034	0.00328407	2
GAPDH	12	+	6538340	0.0235294	4
GLIPR1	12	+	75498859	0.0007743	2
LARP4	12	+	50480003	7.81555e-05	3
M6PR	12	-	8940362	0.000625391	2
MYL6	12	+	56161508	0.0319964	3
NACA	12	-	56712427,56712749	0.0079126,0.00135624	8,1
NDUFA12	12	-	94971331	0.000117197	3
RPL41	12	+	56117813	0.186851	54
RPLP0	12	-	120196685	0.00510873	13
SRSF9	12	-	120461667	0.000954198	3
SYCP3	12	-	101728900	0.0769173	1
TUBA1A	12	-	49184795	0.00934579	1
TUBA1B	12	-	49127781	0.00121261	3
YBX3	12	-	10699088	0.00136426	3
LCP1	13	-	46125919	0.005386	9
RPL21	13	+	27256533	0.0118732	13
TPT1	13	-	45333470,45337178,45337308	0.00107868,0.0683285,0.0861457	4,20,14
ACIN1	14	-	23058563	0.000180979	2
IRF9	14	+	24166382	0.0268817	5
NEDD8	14	-	24216851	0.00234926	3
PSME1	14	+	24138732	0.00787402	2
RPS29	14	-	49583571	0.0210526	2
SLC7A7	14	-	22773221	0.000877193	2
AC245033.1	15	-	82536787	0.000402426	6
CIAO2A	15	-	64072558	0.00011318	2
DUT	15	+	48341583	0.0129032	2
NMB	15	-	84655128	0.00816327	2
PLCB2	15	-	40287906	0.00247525	2
RAB8B	15	+	63224521	0.00205479	2
RPS17	15	-	82536749	0.00230947	6
SERF2	15	+	43794036	0.0190114	5
TRIP4	15	+	64445214	0.0147059	2
ALDOA	16	+	30070399	0.0530035	15
COTL1	16	-	84565593	0.0335731	42
COX4I1	16	+	85806802	0.0133333	4
DYNC1LI2	16	-	66720892	0.000521785	2
FAM173A	16	+	722331	0.0152672	2
METTL26	16	-	634426	0.00416667	2
MT2A	16	+	56609494	0.0338362	7
NTHL1	16	-	2039814	0.000617538	3
PDPK1	16	+	2597795	0.0243902	3
PSMB10	16	-	67934501	0.015873	2
PYCARD	16	-	31201484	0.02	2
RPL13	16	+	89563074	0.113435	35
RPS2	16	-	1962051,1962440	0.109756,0.01	18,13
AC120057.2	17	-	7240426	0.00800641	10
AC134669.1	17	-	31305212	0.000225606	2
ACTG1	17	-	81509970	0.00834492	6
AMZ2	17	+	68251257	0.0175439	3
CSNK1D	17	-	82239022	0.00314795	3
DDX5	17	-	64499615	0.000863931	4
EIF1	17	+	41691229	0.0223325	9
EIF4A1	17	+	7578776	0.0172414	5
FLII	17	-	18244835	0.000163961	2
INTS2	17	-	61865366	3.57711e-05	2
MAFG	17	-	81918269	0.000461361	2
NME1-NME2	17	+	51171726	0.0547945	12
NME2	17	+	51171726	0.0547945	12
PFN1	17	-	4945651	0.0443548	11
PSMB3	17	+	38762433	0.00105374	1
RPL26	17	-	8377515,8379717	0.00319697,0.0217097	10,20
RPRML	17	-	46978155	0.00817996	4
SLC16A3	17	+	82239267	0.0103093	3
SRSF1	17	-	58003359	0.000558659	1
RPL17-C18orf32	18	-	49481680	0.000413956	2
AC008763.3	19	+	7682725	0.0211864	5
AC010616.2	19	-	41956878	0.00097561	2
CAPN12	19	-	38730186	0.000558036	2
CEBPA	19	-	33299933	0.0014245	2
EEF2	19	-	3976055	0.0140562	7
FTL	19	+	48966876	0.156028	22
IFI30	19	+	18177996,18178100	0.271652,0.0577228	23,10
JUND	19	-	18279759	0.0132159	9
KDELR1	19	-	48382569	0.00276625	2
MAN2B1	19	-	12646512	0.0186916	1
MRPL54	19	+	3767565	0.0116279	2
MYDGF	19	-	4657544	0.00434783	2
NDUFA13	19	+	19528077	0.00938661	11
PKN1	19	+	14471544	0.00346021	3
PLAUR	19	-	43648575	0.00636943	2
RPL18	19	-	48615327	0.00766247	10
RPL18A	19	+	17863304	0.0487805	2
RPL28	19	+	55388046,55388371	0.144667,0.0681523	4,11
RPS11	19	+	49499620	0.0381526	9
RPS15	19	+	1440426	0.0280374	3
RPS16	19	-	39433206	0.0293028	8
RPS19	19	+	41869192	0.00417062	22
RPS28	19	+	8322393	0.00983666	3
RPS9	19	+	54207647,54207522	0.0639939,0.0135841	15,13
TMEM259	19	-	1009647	0.00207756	3
TYROBP	19	-	35904400	0.00251062	7
ZNF548	19	+	57398712	0.000510204	3
ANKRD44	2	-	196994525	0.00353357	3
ARPC2	2	+	218254207	0.010274	3
CALM2	2	-	47160081	0.00170746	3
CHAC2	2	+	53774651	0.0396825	5
COPS9	2	-	240130825	0.00888889	2
DGUOK	2	+	73958787	0.000495131	5
GGCX	2	-	85544722	0.000383803	1
NR4A2	2	-	156324431	0.00169587	3
PCBP1	2	+	70089035	0.00904977	2
RAB6D	2	-	131361110	0.00108401	2
RPL31	2	+	101006403	0.00189304	4
RPL37A	2	+	216500030,216501425	0.0904067,0.0460091	6,5
SNRNP27	2	+	69904429	0.0247934	3
STARD7	2	-	96184858	0.00106895	1
TMEM214	2	+	27041538	0.000535189	2
TMSB10	2	+	84906669	0.138211	34
WBP1	2	+	74460844	0.0306748	5
ZEB2	2	-	144384080,144389836,144404666,144423600,144424232,144426683,144428874,144445361,144445515	0.000148094,8.69013e-05,6.55355e-05,0.000103299,4.40337e-05,3.89718e-05,3.80168e-05,6.57334e-05,3.13941e-05	16,9,6,7,3,2,2,3,1
ZFP36L2	2	-	43222401	0.00153274	2
CTSZ	20	-	58995184	0.00431034	2
DIDO1	20	-	62887213	0.000538068	2
FKBP1A	20	-	1368977	0.00223357	7
MAFB	20	-	40685847	0.00246184	5
PSMA7	20	-	62136734	0.0245902	3
RPS21	20	+	62388507	0.00670241	5
SLA2	20	-	36612317	0.00121139	2
TGIF2-RAB5IF	20	+	36612204	0.0326797	5
ATP5PO	21	-	33903452	0.000932498	3
ITGB2	21	-	44885952	0.000284131	6
U2AF1L5	21	-	6484622	0.000913361	7
AP000350.4	22	+	23895179	0.0263158	3
CHCHD10	22	-	23765833	0.00571429	2
EIF3L	22	+	37888558	0.034188	4
MIF	22	+	23895178	0.0277778	2
MYH9	22	-	36281276	0.00143781	2
RAC2	22	-	37225260	0.00141643	2
RPS19BP1	22	-	39529092	0.00139567	1
SMDT1	22	+	42083190	0.00406835	5
SNU13	22	-	41675032	0.000375164	2
TSPO	22	+	43163174	0.0218579	4
CNBP	3	-	129169483	0.00411371	3
CX3CR1	3	-	39263493	0.00154004	3
GOLIM4	3	-	168008676	0.00125628	2
GPX1	3	-	49357170	0.00493218	4
HIGD1A	3	-	42784297	0.00204082	2
NFKBIZ	3	+	101859563	0.015625	3
RHOA	3	-	49359144	0.00118871	3
RPL29	3	-	51993521	0.0132036	19
RPL35A	3	+	197955835	0.043956	4
RPSA	3	+	39412433	0.0307692	2
SERP1	3	-	150541993	0.000811688	2
TFDP2	3	-	141944427	5.36673e-05	3
TMA7	3	+	48443986	0.0192308	2
XXYLT1	3	-	195226723,195237970	0.000128847,4.35455e-05	5,1
CCNI	4	-	77047157	0.00188501	2
COMMD8	4	-	47450795	0.00350051	2
H2AFZ	4	-	99948087	0.00534759	1
PLAC8	4	-	83090047	0.000431127	2
PYURF	4	-	88520984	0.00221484	2
RPS3A	4	+	151104285,151104617,151104074	0.134989,0.0608175,0.00419111	6,10,5
AC008575.1	5	+	112864755	0.00314839	6
BTF3	5	+	73505455	0.0230415	5
CSF1R	5	-	150053290	0.000603622	3
DDX41	5	-	177511576	0.00934579	1
DUSP1	5	-	172768089	0.0282738	19
HIGD2A	5	+	176389660	0.0184049	3
LMAN2	5	-	177331561	0.003125	2
NPM1	5	+	171410678	0.0176991	2
RAB24	5	-	177301450	0.0205479	6
RACK1	5	-	181236908,181237581	0.00214396,0.000406808	14,2
SRP19	5	+	112865161	0.00841515	6
ABRACL	6	+	139043209	0.00326797	1
AIF1	6	+	31616969	0.0289855	2
BAK1	6	-	33572546	0.00126904	1
CLIC1	6	-	31730580	0.0153257	4
EEF1A1	6	-	73515749,73517732	0.0226955,0.0701726	49,12
HLA-A	6	+	29945756	0.0365449	11
HLA-B	6	-	31353871	0.0360065	22
HLA-C	6	-	31268748	0.0055336	14
HLA-DPB1	6	+	33086765	0.0521457	12
HLA-DRB1	6	-	32578768	0.0524275	16
LST1	6	+	31588842	0.0077821	2
MTO1	6	+	73509236	0.00016275	4
PPP1R18	6	-	30676388	0.00340909	3
RAB32	6	+	146554828	0.00896861	2
RIPOR2	6	-	24839358	0.00223048	3
RPS10	6	-	34417453	0.00411523	3
SGK1	6	-	134169245	0.00391389	4
TAPBP	6	-	33299693	0.00193611	4
AC004922.1	7	+	99394652	0.0980138	21
AC093668.2	7	-	102483343	6.99472e-05	1
AC105052.1	7	-	102582522	0.000244969	7
ACTB	7	-	5527146,5527290	0.0340354,0.00136878	64,2
ARPC1B	7	+	99394118,99394743	0.0866713,0.0745781	1,21
ATP6V1F	7	+	128865729	0.0264901	4
BRI3	7	+	98291433	0.0263158	5
CHCHD2	7	-	56101568	0.0070922	2
HNRNPA2B1	7	-	26173056	9.87898e-05	2
MTPN	7	-	135926760	0.000631912	1
RAC1	7	+	6402689	0.0164609	4
RASA4B	7	-	102483138	0.00441501	2
RSPH10B	7	-	5925549	0.000223376	4
URGCP-MRPS24	7	-	43866557	0.00164745	4
ZC3HAV1	7	-	139060337	0.00432277	3
AZIN1	8	-	102826356	0.000904977	2
CEBPD	8	-	47736908	0.00746269	3
EEF1D	8	-	143579696	0.00428725	4
EIF3E	8	-	108201742	0.0140845	2
EIF4EBP1	8	+	38060090	0.0129032	2
LYN	8	+	56014168	0.00108654	4
NCOA2	8	-	70109761	0.000175095	5
RNF139	8	+	124487737	0.0215054	2
RPL30	8	-	98041720,98042642	0.0465081,0.00229259	13,5
RPL8	8	-	144789765	0.0168968	19
RPS20	8	-	56072946	0.00541272	4
SARAF	8	-	30063011	0.000272232	3
C9orf16	9	+	128163854	0.0083682	1
CBWD1	9	-	121037	5.28541e-05	3
DENND4C	9	+	19373542	6.30345e-05	3
FCN1	9	-	134909584	0.0187793	4
KLF4	9	-	107484851	0.00222469	2
NINJ1	9	-	93121488	0.00115997	3
SET	9	+	128694966	0.00662252	2
SSNA1	9	+	137190169	0.00784314	2
WASHC1	9	-	14520	0.00699301	2
AP1S2	X	-	15825805	0.000135676	2
GLA	X	-	101397802	0.00152439	3
HSD17B10	X	-	53431257	0.00638978	2
RPL36A	X	+	101395784	0.00188887	6
RPL39	X	-	119786505	0.0730337	13
SAT1	X	+	23786184	0.0304878	10
TMSB4X	X	+	12977208	0.191436	76
TSC22D3	X	-	107713220	0.00231125	3
