C1orf56	1	+	151050637	0.0223464	4
CREG1	1	-	167541012	0.00155642	2
CTSS	1	-	150730195	0.00011318	2
EIF3I	1	+	32231423	0.0132159	3
ENO1	1	-	8860999	0.000283648	2
MCL1	1	-	150574550	0.000708215	2
MINOS1	1	+	19626471	0.0428571	3
NCF2	1	-	183555562	0.0036036	2
PGD	1	+	10420144	0.00506329	2
PRDX1	1	-	45511035	0.00682594	2
RPS27	1	+	153991673	0.0306122	3
S100A11	1	-	152032505	0.0192308	3
S100A12	1	-	153373705	0.0247934	3
S100A4	1	-	153543612	0.0410959	6
S100A6	1	-	153534598	0.0309278	3
S100A8	1	-	153390031	0.112676	8
S100A9	1	+	153361023	0.264865	49
SRSF4	1	-	29147742	0.0029985	2
UBXN11	1	-	26281327	0.00411946	4
VIM	10	+	17236608	0.0101686	7
ATP5MG	11	+	118409021	0.00185799	3
CARD16	11	-	105041522	0.000998502	2
COX8A	11	+	63976543	0.0134529	3
CTSD	11	-	1752751	0.00372093	8
FAU	11	-	65120627,65120955	0.0451613,0.00932836	7,5
MS4A6A	11	-	60172013	0.000319642	2
NUMA1	11	-	72002863	0.00301659	2
RHOG	11	-	3826977	0.0034188	2
RPS25	11	-	119015711,119017167	0.000696854,0.00968725	1,7
SPI1	11	-	47354859	0.00480769	3
TALDO1	11	+	764943	0.00377358	2
AC026786.1	12	+	133202345	0.0218579	4
ARHGDIB	12	-	14942016	0.0039604	2
ARPC3	12	-	110434824	0.0181818	6
CLEC7A	12	-	10116776	0.000203397	2
COX6A1	12	+	120440616	0.0253165	2
GAPDH	12	+	6538348	0.0337079	6
HCAR3	12	-	122714755	0.00244499	2
NACA	12	-	56712427	0.0053286	6
NDUFA12	12	-	94971331	7.81311e-05	2
ORAI1	12	+	121641783	0.0142857	2
PLXNC1	12	+	94301091	0.0390625	5
RPL41	12	+	56117790	0.0488722	13
SELPLG	12	-	108622276	0.00252525	2
TUBA1A	12	-	49184795	0.00934579	1
RPL21	13	+	27256461	0.00541526	5
NOP10	15	-	34341712	0.00711744	2
SERF2	15	+	43794000	0.00881057	2
ALDOA	16	+	30070337	0.0361991	8
ATP6V0C	16	+	2519978	0.0343348	8
CCDC189	16	-	30757422	0.00166389	3
COTL1	16	-	84565593	0.00559552	7
RPL13	16	+	89563015	0.0115533	9
RPS2	16	-	1962051	0.0059145	9
AC026954.2	17	-	7312660	0.0043796	11
AC120057.2	17	-	7240426	0.00880705	11
ACTG1	17	-	81509970	0.00834492	6
DDX5	17	-	64499615	0.000647948	3
EIF1	17	+	41691123	0.026936	8
GPS2	17	-	7312659	0.019802	6
GRN	17	+	44352863	0.0189573	4
RPL26	17	-	8377515	0.00337871	10
AC090227.1	18	-	49795792	0.000130387	4
MYL12B	18	+	3278114	0.0112994	2
AC008763.3	19	+	7682791	0.0993377	29
AC010422.8	19	-	12668070	0.000169938	2
AC011462.1	19	+	41424774	0.0361446	6
BCKDHA	19	+	41424774	0.0361446	6
BLVRB	19	-	40447764	0.000477496	4
BST2	19	-	17402938	0.0026455	2
CD33	19	+	51239800	0.0178571	2
DUS3L	19	-	5785455	0.00444444	6
EEF2	19	-	3976055	0.00401606	1
FTL	19	+	48966878	0.111888	16
GMFG	19	-	39328352	0.00482128	5
IFI30	19	+	18178046	0.111111	15
JUNB	19	+	12793093	0.0179856	5
JUND	19	-	18279759	0.0161527	11
MAN2B1	19	-	12646512	0.0186916	1
NDUFA11	19	-	5894674	0.0010203	6
NDUFA13	19	+	19527770,19528138	0.00134105,0.0677811	1,23
RPL18	19	-	48615327,48615812	0.00225544,0.00609315	3,5
RPL28	19	+	55388046,55392081	0.0901593,0.000743497	2,3
RPS15	19	+	1440459	0.0214286	3
RPS28	19	+	8322351	0.0365696	3
RPS9	19	+	54207575,54207522	0.0333292,0.00522466	5,5
TMED1	19	-	10832437	0.00113723	3
TYROBP	19	-	35904400	0.0171993	9
WDR83OS	19	-	12668070	0.00449438	2
AUP1	2	-	74526644	0.00462963	2
CHCHD5	2	+	112586345	0.00881057	2
IL1B	2	-	112829750	0.00491803	3
RPL31	2	+	101006047	0.0011383	2
SMPD4	2	-	130151391	9.02323e-05	2
TMSB10	2	+	84906644	0.0904977	20
APMAP	20	-	24962924	0.00225225	2
RPS21	20	+	62388360	0.0033389	2
GATD3A	21	+	44137219	0.00266193	3
ITGB2	21	-	44885952	9.47104e-05	2
CRELD2	22	+	49927412	0.0190476	2
DGCR2	22	-	19036281	0.000774293	2
TSPO	22	+	43163067	0.0263158	2
ATG3	3	-	112532508	0.00118554	1
BCL6	3	-	187721376	0.000190749	1
CLEC3B	3	+	45035987	0.047619	3
CNBP	3	-	129169483	0.00206398	1
GPX1	3	-	49357170	0.0147965	12
RPL15	3	+	23919849	0.00574713	2
RPL29	3	-	51993521	0.00486449	7
RPL35A	3	+	197955759	0.00112511	5
NAAA	4	-	75913656	0.00154679	2
RPS3A	4	+	151104607,151104196	0.0287251,0.00228137	5,3
CD14	5	-	140631727	0.015625	2
CD74	5	-	150401636	0.0011976	2
DOK3	5	-	177501906	0.0026362	3
DUSP1	5	-	172768089	0.0104167	7
HNRNPH1	5	-	179614177	0.000257301	2
NPM1	5	+	171410704	0.0143885	2
RACK1	5	-	181236908	0.000866214	5
CLIC1	6	-	31730580	0.00766284	2
HLA-A	6	+	29945723	0.0149254	4
HLA-B	6	-	31353871	0.0376079	22
HLA-C	6	-	31268748	0.00355731	9
LST1	6	+	31588819	0.00854701	2
TAPBP	6	-	33299693	0.000968054	2
