AKR7A2	1	-	19303964	0.0194175	5
AL358472.7	1	-	153959150	0.000666371	3
AL445685.3	1	-	52020152	0.000159439	1
AL713999.1	1	-	155169408	0.00173433	6
APH1A	1	-	150265398	0.00534283	6
ARHGAP30	1	-	161046947	0.0065189	5
ARHGEF2	1	-	155946850	0.000750939	3
ARL8A	1	-	202133403	0.00359712	4
ATP5PB	1	+	111461217	0.0224215	5
ATP6V0B	1	+	43978261	0.035461	10
C1orf162	1	+	111478490	0.0463215	17
C1orf43	1	-	154206695	0.000508971	4
CACYBP	1	+	175010199	0.0166667	2
CAPZB	1	-	19338775	0.00125439	5
CCT3	1	-	156308967	0.000142151	4
CD48	1	-	160678745	0.0392157	12
CD52	1	+	26320503	0.079602	16
CD58	1	-	116514534	0.000630252	3
CD84	1	-	160541094	0.000226603	2
CEP170	1	-	243124427	0.000989609	2
CERS2	1	-	150965172	0.00307692	3
CLK2	1	-	155262867	0.00857143	3
CLSTN1	1	-	9729025	0.000128932	2
COPA	1	-	160288685	0.000155583	7
CSDE1	1	-	114716912	0.00315247	3
CTNNBIP1	1	-	9848275	0.000819001	2
CTSS	1	-	150730195	0.000509309	9
DAP3	1	+	155739010	0.00368098	3
DDOST	1	-	20651766	0.00326797	2
DENND4B	1	-	153929500	0.00251256	2
DHX9	1	+	182887563	0.0155039	2
DPYD	1	-	97077742	0.00162206	2
EDEM3	1	-	184690230	0.000782881	3
ENO1	1	-	8860999	0.00354262	24
FCER1A	1	+	159308203	0.0332103	9
FCER1G	1	+	161219248	0.170492	52
FCGR2B	1	+	161677797	0.0245902	6
FUBP1	1	-	77948404	0.0042735	2
GGPS1	1	+	235342915	0.013986	2
GNG5	1	-	84498324	0.00415961	14
GSTM2	1	+	109674999	0.0245399	4
GUK1	1	+	228148847	0.02	3
HAX1	1	+	154275789	0.0113636	1
HDGF	1	-	156742106	0.00149031	2
HIST2H2AA3	1	-	149842187	0.059322	7
HIST2H2AA4	1	+	149851621	0.147826	17
IQGAP3	1	-	156525404	0.00185014	2
JAK1	1	-	64833228	0.00225056	3
JUN	1	-	58780787	0.001554	2
KDM1A	1	+	23083516	0.0197368	3
LAMTOR2	1	+	156058440	0.0289855	2
LAMTOR5	1	-	110401248	0.0218978	6
LAPTM5	1	-	30732468	0.01766	24
LBR	1	-	225401501	0.00111049	2
LRRC8D	1	+	89935818	0.0115607	2
MAD2L2	1	-	11674479	0.00677966	2
MARCKSL1	1	-	32333831	0.00522876	3
MCL1	1	-	150574550	0.00814448	23
MINOS1	1	+	19626553	0.0328947	5
MNDA	1	+	158849492	0.0392157	10
MRPL20	1	-	1401907	0.0114286	2
MTMR11	1	-	149928651	0.00628931	3
NBPF14	1	-	148531384	4.35284e-05	2
NBPF15	1	-	144421385	0.00184388	3
NCF2	1	-	183555562	0.0432432	24
NDUFS2	1	+	161214313	0.00806452	3
NRDC	1	-	51789190	0.000693963	2
PARK7	1	+	7985212	0.056962	9
PATJ	1	+	61925268	2.18429e-05	2
PHC2	1	-	33323622	0.00161031	2
PKN2	1	+	88833705	0.0077821	2
PRDX1	1	-	45511035	0.0341297	10
PTPN7	1	-	202147012	0.000233291	2
PYCR2	1	-	225919876	0.00692042	4
RABGAP1L	1	+	174958069	0.0182927	3
RCC2	1	-	17406759	0.00339378	7
RER1	1	+	2403158	0.0023175	2
RIT1	1	-	155897807	0.000775194	2
RPL11	1	+	23696404	0.000674764	3
RPL22	1	-	6185019	0.00177825	2
RPL5	1	+	92841921	0.0357143	2
RPS27	1	+	153991677,153992150	0.302635,0.197493	30,37
RPS8	1	+	44778736	0.0392157	2
RRAGC	1	-	38838197	0.00216469	2
RSRP1	1	-	25242236	0.00070028	2
S100A10	1	-	151982914	0.157258	39
S100A11	1	-	152032505	0.115385	18
S100A12	1	-	153373705	0.0826446	10
S100A4	1	-	153543612	0.219178	32
S100A6	1	-	153534598	0.154639	15
S100A8	1	-	153390031	0.225352	16
S100A9	1	+	153361024	1.56989	292
SDF4	1	-	1216907	0.00175131	3
SELENOF	1	-	86862444	0.00134771	5
SELL	1	-	169690666	0.00626679	7
SF3B4	1	-	149923316	0.00888889	2
SH3BGRL3	1	+	26281520	0.101512	47
SLC39A1	1	-	153959098	0.00201072	3
